,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,0.47963292777367345,0.6203090472240218,0.6258575970086074,-0.26679495273371,-0.270987484768238,-0.2829955371926295
current_assets,0.23518314804968898,0.28049880446231523,0.3819174027297894,-0.26679495273371,-0.270987484768238,-0.2829955371926295
current_liabilities,-0.3595779247864379,-0.4103745101845465,-0.27689943112872445,-0.26679495273371,-0.270987484768238,-0.2829955371926295
equity,2.163860667112328,2.1252151344095798,2.057041010176568,-0.26679495273371,-0.270987484768238,-0.2829955371926295
financial_profit,-0.5946294992757545,-0.616980897352042,-0.6219152006466996,-0.26679495273371,-0.270987484768238,-0.2829955371926295
gross_profit,-0.30117909473085697,-0.3203900118455125,-0.3036471271909329,-0.26679495273371,-0.270987484768238,-0.2829955371926295
net_income,-0.5707627769280216,-0.5384968469329693,-0.5830429198676542,-0.26679495273371,-0.270987484768238,-0.2829955371926295
other_profit,-0.5740846102595566,-0.5693391516760741,-0.6268124280569177,-0.26679495273371,-0.270987484768238,-0.2829955371926295
profit_before_tax,-0.5680415539290499,-0.5219022130636785,-0.5645042369449901,-0.26679495273371,-0.270987484768238,-0.2829955371926295
revenue,0.7595642676908975,0.9045953647696742,0.9417470528707955,-0.26679495273371,-0.270987484768238,-0.2829955371926295
total_assets,3.071389296790032,3.004745529992448,2.991795977825847,-0.26679495273371,-0.270987484768238,-0.2829955371926295
total_debt,0.32641819502962294,0.27485405593493906,0.31521838459615803,-0.26679495273371,-0.270987484768238,-0.2829955371926295
roa,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,-0.2633397664495126,-0.25286195969051456,-0.2674351923978327
roe,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,-0.2621974300249988,-0.24702218530638512,-0.2620009731052318
debt_ratio,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,0.0362379227836377,-0.03009786968370994,0.11556981157357317
current_ratio,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,4.22715797921108,4.232585575997435,4.2175565067988305
gross_margin,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,-0.012142588034099094,-0.08478159875245816,0.028550737247941316
net_profit_margin,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,-0.2573817319478756,-0.22764030832449242,-0.247003627380099
revenue_growth,-0.5811104346480809,-0.6046763293911649,-0.6195365830531211,-0.26679495273371,-0.13833183702101892,-0.18929081642562728
