,2021,2022,2023,2021,2022,2023
cost_of_goods_sold,-0.17153130525102595,-0.08774891332921661,0.10575305282458823,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
current_assets,1.3485026164611276,0.9273722009287514,0.7143405132821234,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
current_liabilities,1.7342590700216363,0.6161363702239028,0.8251015111970553,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
equity,0.027806174325126633,1.7127291680451115,1.639199296365518,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
financial_profit,-0.6501174927744788,-0.5867651605513731,-0.6158864553312854,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
gross_profit,-0.4607231686760332,-0.4468504490274419,-0.43688138468071447,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
net_income,-0.641090583728613,-0.6885374763525302,-0.6979280317749399,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
other_profit,-0.6031214123682004,-0.5948249058206816,-0.6286884558364599,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
profit_before_tax,-0.641090583728613,-0.6885374763525302,-0.6979280317749399,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
revenue,-0.01970150607238703,0.06215437692612372,0.3019428683787633,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
total_assets,2.4990812670233202,3.1308156738086264,3.097372007797463,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
total_debt,1.8595815717069373,0.8213327664807324,0.8251015111970553,-0.3678576226210639,-0.20429985490179625,-0.4021255931552505
roa,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,-0.4049653998699812,-0.28207695668123156,-0.4770353406771873
roe,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,-0.5483642573397615,-0.32983425254207227,-0.5251067959991519
debt_ratio,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,2.7516215743297567,0.9973798980918964,1.2820662963189124
current_ratio,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,2.913169873815778,3.7649748725394736,3.579261368090874
gross_margin,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,0.6335373158524261,0.5143181052811994,0.5019429351662246
net_profit_margin,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,-0.5628500127143873,-0.6442998162014107,-0.7009944211643983
revenue_growth,-0.6116935209912565,-0.5967537392827822,-0.6330712002348895,-0.3678576226210639,-1.5688635916662996,1.1653730761277328
