,2021,2022,2023,2021,2022,2023
cost_of_goods_sold,0.6697403038674311,0.9674977290721374,0.9263209082348305,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
current_assets,1.5538125650260992,1.459955495562368,1.4852071327726113,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
current_liabilities,-0.4110652819614821,-0.44538292645569094,-0.44403162582952843,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
equity,1.9895287122309258,1.8868672213677626,1.8036654976946795,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
financial_profit,-0.566638246658899,-0.8228187210001215,-0.5195189383946878,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
gross_profit,-0.18969751252365988,-0.09634509893127434,-0.11349253008250569,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
net_income,-0.21771111316927202,-0.3914128244757639,-0.22400442296106451,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
other_profit,-0.7290373805534683,-0.6938969390276183,-0.7954239286661715,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
profit_before_tax,-0.08948318617331937,-0.3157825564634221,-0.08090448948147763,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
revenue,1.2243154946979946,1.5682505253775112,1.5821160196783768,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
total_assets,2.3549730154779334,2.1733592420381473,2.1690165003371367,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
total_debt,-0.3788284059414036,-0.4106058804074986,-0.40393663261983537,-0.27262714313328906,-0.26102779732878917,-0.27138850509279594
roa,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.1615983849035956,-0.20509976007123812,-0.15075035669799414
roe,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.14675647763347457,-0.19889884957787196,-0.13362013081042923
debt_ratio,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.1955709592065068,-0.20861131509930814,-0.19055845617874564
current_ratio,-0.7442727091884113,-0.697097895236648,-0.769287641526052,4.234437412583268,4.23944631540903,4.2345283452414115
gross_margin,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.08852964965585092,-0.12175470810127169,-0.09008747867639656
net_profit_margin,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.09782908045108131,-0.19016053812096084,-0.12063958139945365
revenue_growth,-0.7442727091884113,-0.697097895236648,-0.769287641526052,-0.27262714313328906,-0.1825875764929081,-0.2922102803648409
