,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.012456065645355,2.096573446673876,2.1299548326924778,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
current_assets,-0.1127611633304304,-0.1048803598304164,-0.1161269174335167,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
current_liabilities,-0.23538966669753145,-0.12062462990916219,-0.12320773695558897,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
equity,0.6552490130188774,0.5396762552076688,0.4545675436845654,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
financial_profit,-0.7052060147529455,-0.699231124110154,-0.6848660296628742,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
gross_profit,-0.07083773741046656,-0.05081164898667937,0.018668643365587496,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
net_income,-0.4873819316117936,-0.4832917449424299,-0.4542277364854123,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
other_profit,-0.6589777989584854,-0.6485370769309994,-0.6527951302557123,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
profit_before_tax,-0.4416578834766934,-0.43869582262032863,-0.40210440872373177,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
revenue,2.611235740524937,2.713020243160316,2.81088281362268,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
total_assets,1.7227298433955744,1.537273141365098,1.3859481904580333,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
total_debt,0.3978634196839407,0.33033843923504513,0.26912130788847105,-0.38887959152424817,-0.4533265203845749,-0.46889599815761457
roa,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,-0.13074665260266816,-0.10934128661142106,-0.045945479305011465
roe,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,0.07723806096823665,0.17498113605375729,0.3067751920453894
debt_ratio,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,1.1231858052598112,1.4120034366554608,1.4247005672596877
current_ratio,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,3.9568253514435687,3.787483343625884,3.7500291913496593
gross_margin,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,0.22958517906594417,0.2984002200364822,0.3475224857235056
net_profit_margin,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,-0.20065305431966424,-0.22898812017846087,-0.21947043501791863
revenue_growth,-0.6696174122900485,-0.6672584454731192,-0.662259338884997,-0.38887959152424817,0.1053795150331964,0.06314045583606227
