,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,0.015226171956934039,-0.04353224969384545,-0.06870933202128801,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
current_assets,0.03499057919165852,0.2302306602638495,0.49800348247729614,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
current_liabilities,-0.08776974828158238,-0.11959808621100489,-0.2196725510058498,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
equity,0.9416398197228154,0.9727545061424271,1.0897103975979667,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
financial_profit,-0.6709057184285999,-0.7797574878535056,-0.8683591517473228,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
gross_profit,-0.15693647182383022,-0.0011053973536737387,0.14419076291114105,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
net_income,-0.6234339378859663,-0.5196469580533181,-0.4086072113121509,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
other_profit,-0.5469506810585292,-0.5934479490383345,-0.6287415469905996,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
profit_before_tax,-0.6234339378859663,-0.5196469580533181,-0.38021880898878635,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
revenue,0.4048973369344148,0.5514694561674923,0.7294693567087325,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
total_assets,3.3123271032206105,3.2807801735608093,3.215587170262131,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
total_debt,1.8243950629925967,1.7122099996593438,1.4723106050947345,-0.35396211689884727,-0.4120130766233056,-0.3899316401925382
roa,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,-0.41683381746402365,-0.36372767988448607,-0.28388955313565306
roe,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,-0.5170058256535597,-0.29267957726758315,-0.15457420851194084
debt_ratio,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,1.5781850544535483,1.0511064687368044,0.5303548161323879
current_ratio,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,3.632840308706975,3.8507253183221173,4.055437546787148
gross_margin,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,0.9333308268593986,0.861853024749507,0.5762040720898693
net_profit_margin,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,-0.6090090272173234,-0.2488601134125969,-0.0932703557321023
revenue_growth,-0.5462922255220792,-0.5958156727909889,-0.6535661675694291,-0.35396211689884727,0.08573947823590473,0.048917364680749226
