,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.5498270390562072,2.520403827211102,2.553564308145931,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
current_assets,0.7109003579811999,0.5726486638954016,0.731273371551263,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
current_liabilities,0.1305796060776955,0.14543785933928433,0.20859010997387148,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
equity,0.10799897773194059,0.19848731719547552,0.0066430327023817674,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
financial_profit,-0.6168298970493267,-0.6531208419963345,-0.6274636857370304,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
gross_profit,-0.5170379334516346,-0.48113381299966007,-0.5271019701734491,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
net_income,-0.5882380617124416,-0.5915270395685844,-0.5888466624707446,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
other_profit,-0.5963190612572241,-0.6094959769663499,-0.606876371847715,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
profit_before_tax,-0.5819128251532779,-0.5861902262503662,-0.5851977097717141,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
revenue,2.6475597423376636,2.6480985839192464,2.629436340571562,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
total_assets,0.8411929395509917,0.9527537414769695,0.8182071452753333,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
total_debt,0.1305796060776955,0.14543785933928433,0.20859010997387148,-0.3038687117382719,-0.2952685091132667,-0.360049437299288
roa,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,-0.27951204469813967,-0.2646160565253995,-0.3340957935764965
roe,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,-0.25438141406871434,-0.23597780436109292,-0.2995445185690552
debt_ratio,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,0.9383263329613799,1.0410365454776587,1.1308926398773715
current_ratio,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,4.078371775707697,4.0383062676228345,3.9323575947207483
gross_margin,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,-0.2394625162894331,-0.18679823957150654,-0.29876607210133055
net_profit_margin,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,-0.2930488810152549,-0.28057173346499986,-0.3486385007963128
revenue_growth,-0.6026143557413556,-0.6088285649422097,-0.6029740025990802,-0.3038687117382719,-0.5681568698182929,0.5383878980365321
