,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,-0.47375171116080284,-0.4972111031032837,-0.5026822024567309,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
current_assets,1.9044863099088296,1.94283611422569,1.981195685039876,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
current_liabilities,0.08830042193005039,0.08753693480136222,0.10881774783973137,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
equity,2.032198168255838,2.001320691397231,1.9680827002233912,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
financial_profit,-0.46085112347550805,-0.4576505161189478,-0.4836428309478584,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
gross_profit,-0.5054040563176505,-0.4533358567846811,-0.4588804900481785,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
net_income,-0.511220200187454,-0.5199625174781386,-0.5173556294168833,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
other_profit,-0.5024322141930722,-0.4981791208141462,-0.5151039472271007,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
profit_before_tax,-0.5108212993980844,-0.5189967809832658,-0.5170115822907452,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
revenue,-0.4669083706256206,-0.42857759152601854,-0.443248751565006,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
total_assets,2.7682906927268944,2.7596476923384996,2.7472117642960616,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
total_debt,0.2238451605064081,0.2363576325793226,0.26081512313276667,-0.2599332095606945,-0.34894347978660534,-0.2835672532656862
roa,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.2595835735918247,-0.34828007058025534,-0.2832409424592716
roe,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.2594824260465597,-0.3480806955175658,-0.28313869077947534
debt_ratio,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.009382907807874138,-0.09826161901290947,-0.018269146030783442
current_ratio,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,4.233608668941487,4.037966685150402,4.1481691458238705
gross_margin,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.0913929914749711,0.44828328849660826,0.5968128440227884
net_profit_margin,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.23463504573122876,-0.32563248771062575,-0.2693719073920952
revenue_growth,-0.5122473968528327,-0.5219693683619463,-0.5183139409399035,-0.2599332095606945,0.8213266566136108,-0.4881542639967992
