,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.7904030703627742,2.811228385596615,2.805274099525871,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
current_assets,0.03503907958009517,-0.03456234475666764,-0.03565710484585989,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
current_liabilities,-0.024552692439016238,-0.10995697269639879,-0.12409273524658533,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
equity,-0.3549424362864439,-0.31065300581393723,-0.3016784982250609,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
financial_profit,-0.47426963064648126,-0.45784725958587497,-0.4546625315671116,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
gross_profit,-0.332232965484111,-0.31761583317315495,-0.30106126284672063,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
net_income,-0.45762224805614515,-0.4379747864397136,-0.4361748068050058,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
other_profit,-0.4677947746880537,-0.4421316510109701,-0.4509762345991731,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
profit_before_tax,-0.4549542218033769,-0.43477788266404077,-0.43236094948715914,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
revenue,2.927596536511923,2.9447488641970927,2.953231214759263,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
total_assets,0.10169936269096497,0.039301307563775104,0.03294264981939326,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
total_debt,-0.011484561412568598,-0.10000982844659236,-0.11405447552133399,-0.3667233207800253,-0.3182292896942682,-0.34460950813622815
roa,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,-0.30526947314383346,-0.2399864034244249,-0.2623288397914372
roe,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,-0.057333240884735605,-0.04343761109230476,-0.07502686609923039
debt_ratio,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,2.304839614531872,1.9655828639136375,1.8578747159166547
current_ratio,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,3.4148876082415525,3.582752058158722,3.689115448392235
gross_margin,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,-0.23331039730788056,-0.1937466157955964,-0.20705698165148959
net_profit_margin,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,-0.3564109412966464,-0.3069524775324351,-0.33296078425738496
revenue_growth,-0.4681263597613659,-0.44996414182430466,-0.44867562356578816,-0.3667233207800253,-0.9454603378963804,-0.5343025948746079
