,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.1213577824367693,2.0940015526966387,2.0064968008454827,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
current_assets,0.5516319222829218,0.8290123501599218,0.9657428292198658,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
current_liabilities,0.04854779220621184,0.21728887527220073,0.368780123675436,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
equity,-0.0074461291869982295,0.0034476874273963805,0.008508890815105866,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
financial_profit,-0.6574345445242854,-0.653426876895639,-0.6750865968660947,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
gross_profit,0.18020728407276596,-0.020777016589838465,-0.007287291292740733,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
net_income,-0.5444763411640701,-0.6662182597358492,-0.6104860182193549,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
other_profit,-0.6695897764991062,-0.6813836663794793,-0.7154248362037805,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
profit_before_tax,-0.49154364597440464,-0.6511493519516882,-0.5827581058277014,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
revenue,2.9927957802342027,2.7718472890372827,2.7268848084784985,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
total_assets,0.8564634919617307,1.06465999685117,1.0825289716223243,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
total_debt,0.20835671652442067,0.39014794823402166,0.368780123675436,-0.37304971752195454,-0.3172818264180868,-0.39471420636647236
roa,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,-0.18643565215433916,-0.3102256711651733,-0.24790036498786175
roe,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,0.06231608540307046,-0.29912419591759365,-0.02698089978011268
debt_ratio,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,1.0783607464907485,1.2278940076495795,1.2693961788155526
current_ratio,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,3.98224385106575,3.9503226927757367,3.914922773995342
gross_margin,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,0.20887094888821495,0.1600669464628144,0.16859132765601936
net_profit_margin,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,-0.2957096519080353,-0.31372450581542427,-0.3182399398836095
revenue_growth,-0.6555529046243082,-0.6710643611608766,-0.7052399571317822,-0.37304971752195454,-0.6078273569728986,-0.023218599417662564
