,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,1.575964505941838,1.5630289426619535,1.1346964571729496,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
current_assets,0.5111987689574303,0.14668947906348553,0.29560869873606727,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
current_liabilities,-0.011085152103099634,-0.05964277529045064,-0.1343737725750582,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
equity,0.6209396607489305,0.7348197222538927,0.8933132728567131,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
financial_profit,-0.8264919159584856,-0.7596695450282762,-0.8138282357042396,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
gross_profit,-0.08366049030155917,-0.36554601806088927,-0.39750862111085455,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
net_income,-0.38803923435903076,-0.5499002881762867,-0.38503836885655035,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
other_profit,-0.736360608576415,-0.6685231677432405,-0.49032010262297726,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
profit_before_tax,-0.28643952017749763,-0.5109381629524113,-0.29257545845508864,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
revenue,2.273730000022153,1.9025647716396685,1.492383412151367,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
total_assets,2.1112957608048304,2.471295770097641,2.8162602999892803,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
total_debt,0.7089301156740258,1.0313942008051438,1.1677514510432954,-0.407948839533998,-0.3962216984454022,-0.4303405528817134
roa,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,-0.0526650104606333,-0.23763477022831767,-0.16117777463439867
roe,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,0.32491085482756554,-0.04638391793193908,0.15279431267125793
debt_ratio,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,0.938053337407547,1.3783603096810386,0.967945780956992
current_ratio,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,3.9758631781614677,3.887558390164569,3.9653686217254474
gross_margin,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,0.18872702830299146,0.02644329201178636,-0.01704358455429493
net_profit_margin,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,-0.07155447429696399,-0.2030467622592773,-0.002634567453592907
revenue_growth,-0.7814259843818744,-0.7050818470386043,-0.755195576089272,-0.407948839533998,-0.05063616009303354,0.2588338458691498
