,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,-0.38713076875732627,-0.2106223004974072,-0.35424131088607563,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
current_assets,1.3922504819944215,1.6626003174560935,1.4808655966120947,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
current_liabilities,1.2214718461433094,0.40871164020044154,0.49011221518538,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
equity,0.9162161431200625,1.0047122039374354,1.3235981057572532,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
financial_profit,-0.6598212034349487,-0.6289783067044952,-0.5961843565338064,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
gross_profit,-0.38281701982791655,-0.4653581706406676,-0.48091999759541626,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
net_income,-0.4634392932576437,-0.5270636743001411,-0.5385951902919344,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
other_profit,-0.6649371332102298,-0.6285822489357641,-0.5951507367780461,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
profit_before_tax,-0.4135348619157551,-0.5005965182339659,-0.52312834544938,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
revenue,-0.10531922569636612,-0.04763461872808015,-0.24034980011817972,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
total_assets,2.8901528695844187,2.982145349831972,3.0580420005283835,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
total_debt,1.3093081506653974,1.3490872934845415,1.139632378112913,-0.5014079389421002,-0.3447040833377083,-0.2797926833669795
roa,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,-0.30121103371882035,-0.2884967377518201,-0.24602423275311452
roe,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,-0.05123327143197579,-0.22043653145831027,-0.21549400470797006
debt_ratio,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,1.462792291506552,0.7526880766505164,0.7620664196896587
current_ratio,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,3.3561226608378387,4.081570846905092,3.918199077563271
gross_margin,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,1.2808565285496256,0.2176642916318249,0.42522988681675394
net_profit_margin,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,0.7709760305040821,0.004757258149585421,0.06820316624221838
revenue_growth,-0.6646285693439177,-0.6283458524099946,-0.5948115083633122,-0.5014079389421002,-0.4112982040743886,-1.3546681124470634
