,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.8206807299339736,2.7907793651945303,2.784148756446607,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
current_assets,-0.104428011559222,-0.0039458706309275,-0.008860413901862327,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
current_liabilities,-0.2944585018853153,-0.2739147744480542,-0.1974678232700445,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
equity,0.016576449596001956,0.07794036685543157,0.036686515128377666,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
financial_profit,-0.4601301038106434,-0.4784924809516413,-0.4861749266598992,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
gross_profit,-0.36239041526885224,-0.37624579738823694,-0.38077963818825195,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
net_income,-0.3914045785165271,-0.4167071443700498,-0.4268908238041923,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
other_profit,-0.43684153095903805,-0.477911894496599,-0.49444567226772046,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
profit_before_tax,-0.37346305818148956,-0.399079818417571,-0.40927064383933653,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
revenue,2.9184412642473596,2.8984084562767345,2.8958322375448455,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
total_assets,0.1826009013288287,0.3040545328074188,0.3318069516868116,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
total_debt,-0.29412649784941125,-0.257760721137946,-0.19734268386990195,-0.2985019605228256,-0.288653446570214,-0.3530886848287537
roa,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,-0.07430058540479106,-0.12116057820866646,-0.1365245310049596
roe,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,0.003779488125449917,-0.05374961014851668,-0.015741101398965052
debt_ratio,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,0.2429507707949946,0.2751962251873613,0.6215989771176985
current_ratio,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,4.201793078650623,4.20255368084865,4.1097310777639375
gross_margin,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,-0.23784793639072388,-0.2261300503143856,-0.2633575008586481
net_profit_margin,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,-0.2558493289788191,-0.2496346697899535,-0.30040515767321424
revenue_growth,-0.46015094958223796,-0.4838748884704413,-0.49246311928649056,-0.2985019605228256,-0.36323363873192005,0.22176245399919614
