,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.144281290790238,2.1257822316296315,2.2054312479637646,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
current_assets,0.4815822431183022,0.35642319767352,0.31335305892725684,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
current_liabilities,0.6488934279914003,0.7362753174072473,0.7040849267230054,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
equity,-0.2664590570039166,-0.25432755727489514,-0.21563970367417473,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
financial_profit,-0.7554361196029875,-0.7715009713769796,-0.7360376713572381,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
gross_profit,-0.43304875432100964,-0.4353614361837727,-0.4015243207632419,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
net_income,-0.6334737428094264,-0.6504182261526096,-0.6252982783116717,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
other_profit,-0.6699753668918074,-0.6494597879040404,-0.6748325742254507,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
profit_before_tax,-0.6152232240154513,-0.6397325338686854,-0.6121035030753361,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
revenue,2.3910728241859527,2.366853213899249,2.487608418919573,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
total_assets,1.3818216314566985,1.421939695269728,1.288683904250429,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
total_debt,0.9829912082907891,1.0159247077802926,0.8495674639099413,-0.3830534986353279,-0.34653795702329926,-0.3868333719111685
roa,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,-0.32222591180685295,-0.3263908849196822,-0.31983680424045063
roe,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,-0.07083852791781337,-0.24321199301571952,-0.09032018766484069
debt_ratio,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,2.76824661298268,3.0564018696549002,3.0344782062320172
current_ratio,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,3.032483865139659,2.7309326758152226,2.762206701281309
gross_margin,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,-0.08565857192123226,-0.03237414397854679,-0.030641332656553714
net_profit_margin,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,-0.34231198421717884,-0.33267962283935437,-0.34539839199138045
revenue_growth,-0.6652894801698259,-0.6603425501283835,-0.6547561384695512,-0.3830534986353279,-0.6942224164372278,-0.36848772802607715
