,2013,2014,2013,2014
current_assets,1.560142480764283,1.31027526260682,-0.28964425342229366,-0.3579901796194707
current_liabilities,-0.47250066856482453,-0.5438834591185662,-0.28964425342229366,-0.3579901796194707
equity,-0.542013522888305,-0.525249583970045,-0.28964425342229366,-0.3579901796194707
financial_profit,-0.6832111418020722,-0.3055005090182667,-0.28964425342229366,-0.3579901796194707
net_income,-0.6855572178823841,-0.3023381484491229,-0.28964425342229366,-0.3579901796194707
other_profit,-0.4742864371097493,-0.672976239774373,-0.28964425342229366,-0.3579901796194707
profit_before_tax,-0.6840021631190328,-0.30743907793851505,-0.28964425342229366,-0.3579901796194707
total_assets,1.9048510256369744,2.093371685281945,-0.28964425342229366,-0.3579901796194707
total_debt,1.9728071678132455,1.9456450294776169,-0.28964425342229366,-0.3579901796194707
roa,-0.47405738071203385,-0.672976239774373,-0.28989964741857227,-0.325090566083886
roe,-0.47405738071203385,-0.672976239774373,-0.2807037970452624,0.25809211875645416
debt_ratio,-0.47405738071203385,-0.672976239774373,-0.286689572587731,-0.12554880413534308
current_ratio,-0.47405738071203385,-0.672976239774373,3.4640912978522094,3.414458868038012
