symbol,metric,year,value,crawled_date
ACS,Doanh thu bán hàng và CCDV,2021,418594056.0,2025-04-12
ACS,Doanh thu bán hàng và CCDV,2022,277915586.0,2025-04-12
ACS,Doanh thu bán hàng và CCDV,2023,272322041.0,2025-04-12
ACS,Doanh thu bán hàng và CCDV,2024,242788354.0,2025-04-12
ACS,Giá vốn hàng bán,2021,377632821.0,2025-04-12
ACS,Giá vốn hàng bán,2022,247083804.0,2025-04-12
ACS,Giá vốn hàng bán,2023,241323452.0,2025-04-12
ACS,Giá vốn hàng bán,2024,223222739.0,2025-04-12
ACS,Lợi nhuận gộp về BH và CCDV,2021,40961235.0,2025-04-12
ACS,Lợi nhuận gộp về BH và CCDV,2022,30831783.0,2025-04-12
ACS,Lợi nhuận gộp về BH và CCDV,2023,30801449.0,2025-04-12
ACS,Lợi nhuận gộp về BH và CCDV,2024,19565615.0,2025-04-12
ACS,Lợi nhuận tài chính,2021,-10637212.0,2025-04-12
ACS,Lợi nhuận tài chính,2022,2505834.0,2025-04-12
ACS,Lợi nhuận tài chính,2023,-6993794.0,2025-04-12
ACS,Lợi nhuận tài chính,2024,-2779658.0,2025-04-12
ACS,Lợi nhuận khác,2021,331666.0,2025-04-12
ACS,Lợi nhuận khác,2022,159492.0,2025-04-12
ACS,Lợi nhuận khác,2023,1440043.0,2025-04-12
ACS,Lợi nhuận khác,2024,2425606.0,2025-04-12
ACS,Tổng lợi nhuận trước thuế,2021,2984949.0,2025-04-12
ACS,Tổng lợi nhuận trước thuế,2022,1412900.0,2025-04-12
ACS,Tổng lợi nhuận trước thuế,2023,1528913.0,2025-04-12
ACS,Tổng lợi nhuận trước thuế,2024,323068.0,2025-04-12
ACS,Lợi nhuận sau thuế,2021,2469150.0,2025-04-12
ACS,Lợi nhuận sau thuế,2022,7894.0,2025-04-12
ACS,Lợi nhuận sau thuế,2023,19633.0,2025-04-12
ACS,Lợi nhuận sau thuế,2024,934.0,2025-04-12
ACS,Lợi nhuận sau thuế của công ty mẹ,2021,2463554.0,2025-04-12
ACS,Lợi nhuận sau thuế của công ty mẹ,2022,7671.0,2025-04-12
ACS,Lợi nhuận sau thuế của công ty mẹ,2023,29908.0,2025-04-12
ACS,Lợi nhuận sau thuế của công ty mẹ,2024,371803.0,2025-04-12
ACS,Tổng tài sản lưu động ngắn hạn,2021,427067119.0,2025-04-12
ACS,Tổng tài sản lưu động ngắn hạn,2022,327328630.0,2025-04-12
ACS,Tổng tài sản lưu động ngắn hạn,2023,358773701.0,2025-04-12
ACS,Tổng tài sản lưu động ngắn hạn,2024,358548253.0,2025-04-12
ACS,Tổng tài sản,2021,473018807.0,2025-04-12
ACS,Tổng tài sản,2022,361195572.0,2025-04-12
ACS,Tổng tài sản,2023,383360556.0,2025-04-12
ACS,Tổng tài sản,2024,374302036.0,2025-04-12
ACS,Nợ ngắn hạn,2021,399246171.0,2025-04-12
ACS,Nợ ngắn hạn,2022,287618490.0,2025-04-12
ACS,Nợ ngắn hạn,2023,309763560.0,2025-04-12
ACS,Nợ ngắn hạn,2024,300629329.0,2025-04-12
ACS,Tổng nợ,2021,400411253.0,2025-04-12
ACS,Tổng nợ,2022,288783468.0,2025-04-12
ACS,Tổng nợ,2023,310928819.0,2025-04-12
ACS,Tổng nợ,2024,301871329.0,2025-04-12
ACS,Vốn chủ sở hữu,2021,72607553.0,2025-04-12
ACS,Vốn chủ sở hữu,2022,72412104.0,2025-04-12
ACS,Vốn chủ sở hữu,2023,72431737.0,2025-04-12
ACS,Vốn chủ sở hữu,2024,72430707.0,2025-04-12
