symbol,metric,year,value,crawled_date
AMP,Doanh thu bán hàng và CCDV,2021,1374565554.0,2025-04-12
AMP,Doanh thu bán hàng và CCDV,2022,1171867320.0,2025-04-12
AMP,Doanh thu bán hàng và CCDV,2023,1026479942.0,2025-04-12
AMP,Doanh thu bán hàng và CCDV,2024,1073525239.0,2025-04-12
AMP,Giá vốn hàng bán,2021,1290771502.0,2025-04-12
AMP,Giá vốn hàng bán,2022,1097164260.0,2025-04-12
AMP,Giá vốn hàng bán,2023,950396506.0,2025-04-12
AMP,Giá vốn hàng bán,2024,988183739.0,2025-04-12
AMP,Lợi nhuận gộp về BH và CCDV,2021,83676133.0,2025-04-12
AMP,Lợi nhuận gộp về BH và CCDV,2022,74598887.0,2025-04-12
AMP,Lợi nhuận gộp về BH và CCDV,2023,73835480.0,2025-04-12
AMP,Lợi nhuận gộp về BH và CCDV,2024,84848619.0,2025-04-12
AMP,Lợi nhuận tài chính,2021,-24617929.0,2025-04-12
AMP,Lợi nhuận tài chính,2022,-21313556.0,2025-04-12
AMP,Lợi nhuận tài chính,2023,-19214418.0,2025-04-12
AMP,Lợi nhuận tài chính,2024,-11643290.0,2025-04-12
AMP,Lợi nhuận khác,2021,-198666.0,2025-04-12
AMP,Lợi nhuận khác,2022,-343273.0,2025-04-12
AMP,Lợi nhuận khác,2023,-88498.0,2025-04-12
AMP,Lợi nhuận khác,2024,-1117301.0,2025-04-12
AMP,Tổng lợi nhuận trước thuế,2021,6141675.0,2025-04-12
AMP,Tổng lợi nhuận trước thuế,2022,6287045.0,2025-04-12
AMP,Tổng lợi nhuận trước thuế,2023,4975633.0,2025-04-12
AMP,Tổng lợi nhuận trước thuế,2024,5714116.0,2025-04-12
AMP,Lợi nhuận sau thuế,2021,5260421.0,2025-04-12
AMP,Lợi nhuận sau thuế,2022,3976468.0,2025-04-12
AMP,Lợi nhuận sau thuế,2023,3619862.0,2025-04-12
AMP,Lợi nhuận sau thuế,2024,3652686.0,2025-04-12
AMP,Lợi nhuận sau thuế của công ty mẹ,2021,5260421.0,2025-04-12
AMP,Lợi nhuận sau thuế của công ty mẹ,2022,3976468.0,2025-04-12
AMP,Lợi nhuận sau thuế của công ty mẹ,2023,3619862.0,2025-04-12
AMP,Lợi nhuận sau thuế của công ty mẹ,2024,3652686.0,2025-04-12
AMP,Tổng tài sản lưu động ngắn hạn,2021,1094431126.0,2025-04-12
AMP,Tổng tài sản lưu động ngắn hạn,2022,947737419.0,2025-04-12
AMP,Tổng tài sản lưu động ngắn hạn,2023,935994852.0,2025-04-12
AMP,Tổng tài sản lưu động ngắn hạn,2024,1097544492.0,2025-04-12
AMP,Tổng tài sản,2021,1182698906.0,2025-04-12
AMP,Tổng tài sản,2022,1035708151.0,2025-04-12
AMP,Tổng tài sản,2023,1029970050.0,2025-04-12
AMP,Tổng tài sản,2024,1195416217.0,2025-04-12
AMP,Nợ ngắn hạn,2021,986927492.0,2025-04-12
AMP,Nợ ngắn hạn,2022,842423673.0,2025-04-12
AMP,Nợ ngắn hạn,2023,859270364.0,2025-04-12
AMP,Nợ ngắn hạn,2024,993673844.0,2025-04-12
AMP,Tổng nợ,2021,986927492.0,2025-04-12
AMP,Tổng nợ,2022,843358125.0,2025-04-12
AMP,Tổng nợ,2023,860204816.0,2025-04-12
AMP,Tổng nợ,2024,994608296.0,2025-04-12
AMP,Vốn chủ sở hữu,2021,195771414.0,2025-04-12
AMP,Vốn chủ sở hữu,2022,192350026.0,2025-04-12
AMP,Vốn chủ sở hữu,2023,169765233.0,2025-04-12
AMP,Vốn chủ sở hữu,2024,200807920.0,2025-04-12
