symbol,metric,year,value,crawled_date
APL,Doanh thu bán hàng và CCDV,2021,423059858.0,2025-04-12
APL,Doanh thu bán hàng và CCDV,2022,530163298.0,2025-04-12
APL,Doanh thu bán hàng và CCDV,2023,446430469.0,2025-04-12
APL,Doanh thu bán hàng và CCDV,2023,446430469.0,2025-04-12
APL,Giá vốn hàng bán,2021,392812610.0,2025-04-12
APL,Giá vốn hàng bán,2022,492951374.0,2025-04-12
APL,Giá vốn hàng bán,2023,402173593.0,2025-04-12
APL,Giá vốn hàng bán,2023,402173593.0,2025-04-12
APL,Lợi nhuận gộp về BH và CCDV,2021,30247248.0,2025-04-12
APL,Lợi nhuận gộp về BH và CCDV,2022,37211924.0,2025-04-12
APL,Lợi nhuận gộp về BH và CCDV,2023,44256877.0,2025-04-12
APL,Lợi nhuận gộp về BH và CCDV,2023,44256877.0,2025-04-12
APL,Lợi nhuận tài chính,2021,-3494447.0,2025-04-12
APL,Lợi nhuận tài chính,2022,-5203064.0,2025-04-12
APL,Lợi nhuận tài chính,2023,-3920471.0,2025-04-12
APL,Lợi nhuận tài chính,2023,-3920471.0,2025-04-12
APL,Lợi nhuận khác,2021,-504981.0,2025-04-12
APL,Lợi nhuận khác,2022,-1019163.0,2025-04-12
APL,Lợi nhuận khác,2023,1030492.0,2025-04-12
APL,Lợi nhuận khác,2023,1030492.0,2025-04-12
APL,Tổng lợi nhuận trước thuế,2021,3309693.0,2025-04-12
APL,Tổng lợi nhuận trước thuế,2022,3046871.0,2025-04-12
APL,Tổng lợi nhuận trước thuế,2023,3767880.0,2025-04-12
APL,Tổng lợi nhuận trước thuế,2023,3767880.0,2025-04-12
APL,Lợi nhuận sau thuế,2021,2264115.0,2025-04-12
APL,Lợi nhuận sau thuế,2022,2053039.0,2025-04-12
APL,Lợi nhuận sau thuế,2023,2600666.0,2025-04-12
APL,Lợi nhuận sau thuế,2023,2600666.0,2025-04-12
APL,Lợi nhuận sau thuế của công ty mẹ,2021,2264115.0,2025-04-12
APL,Lợi nhuận sau thuế của công ty mẹ,2022,2053039.0,2025-04-12
APL,Lợi nhuận sau thuế của công ty mẹ,2023,2600666.0,2025-04-12
APL,Lợi nhuận sau thuế của công ty mẹ,2023,2600666.0,2025-04-12
APL,Tổng tài sản lưu động ngắn hạn,2021,152825020.0,2025-04-12
APL,Tổng tài sản lưu động ngắn hạn,2022,171036093.0,2025-04-12
APL,Tổng tài sản lưu động ngắn hạn,2023,160960518.0,2025-04-12
APL,Tổng tài sản lưu động ngắn hạn,2023,160960518.0,2025-04-12
APL,Tổng tài sản,2021,155454131.0,2025-04-12
APL,Tổng tài sản,2022,174245199.0,2025-04-12
APL,Tổng tài sản,2023,163304089.0,2025-04-12
APL,Tổng tài sản,2023,163304089.0,2025-04-12
APL,Nợ ngắn hạn,2021,138781134.0,2025-04-12
APL,Nợ ngắn hạn,2022,157556867.0,2025-04-12
APL,Nợ ngắn hạn,2023,146068129.0,2025-04-12
APL,Nợ ngắn hạn,2023,146068129.0,2025-04-12
APL,Tổng nợ,2021,138781134.0,2025-04-12
APL,Tổng nợ,2022,157556867.0,2025-04-12
APL,Tổng nợ,2023,146068129.0,2025-04-12
APL,Tổng nợ,2023,146068129.0,2025-04-12
APL,Vốn chủ sở hữu,2021,16672996.0,2025-04-12
APL,Vốn chủ sở hữu,2022,16688332.0,2025-04-12
APL,Vốn chủ sở hữu,2023,17235959.0,2025-04-12
APL,Vốn chủ sở hữu,2023,17235959.0,2025-04-12
