symbol,metric,year,value,crawled_date
BCC,Doanh thu bán hàng và CCDV,2022,4288419129.0,2025-04-12
BCC,Doanh thu bán hàng và CCDV,2023,3196185461.0,2025-04-12
BCC,Doanh thu bán hàng và CCDV,2023,3196185461.0,2025-04-12
BCC,Doanh thu bán hàng và CCDV,2024,3625325908.0,2025-04-12
BCC,Giá vốn hàng bán,2022,3782193397.0,2025-04-12
BCC,Giá vốn hàng bán,2023,2972422202.0,2025-04-12
BCC,Giá vốn hàng bán,2023,2972422202.0,2025-04-12
BCC,Giá vốn hàng bán,2024,3187606111.0,2025-04-12
BCC,Lợi nhuận gộp về BH và CCDV,2022,436123960.0,2025-04-12
BCC,Lợi nhuận gộp về BH và CCDV,2023,108943170.0,2025-04-12
BCC,Lợi nhuận gộp về BH và CCDV,2023,108943170.0,2025-04-12
BCC,Lợi nhuận gộp về BH và CCDV,2024,300372360.0,2025-04-12
BCC,Lợi nhuận tài chính,2022,-36301211.0,2025-04-12
BCC,Lợi nhuận tài chính,2023,-49213592.0,2025-04-12
BCC,Lợi nhuận tài chính,2023,-49213592.0,2025-04-12
BCC,Lợi nhuận tài chính,2024,-33714906.0,2025-04-12
BCC,Lợi nhuận khác,2022,3309272.0,2025-04-12
BCC,Lợi nhuận khác,2023,-20303576.0,2025-04-12
BCC,Lợi nhuận khác,2023,-20303576.0,2025-04-12
BCC,Lợi nhuận khác,2024,18399057.0,2025-04-12
BCC,Tổng lợi nhuận trước thuế,2022,87050910.0,2025-04-12
BCC,Tổng lợi nhuận trước thuế,2023,-233531364.0,2025-04-12
BCC,Tổng lợi nhuận trước thuế,2023,-233531364.0,2025-04-12
BCC,Tổng lợi nhuận trước thuế,2024,-8133204.0,2025-04-12
BCC,Lợi nhuận sau thuế,2022,63134726.0,2025-04-12
BCC,Lợi nhuận sau thuế,2023,-233536479.0,2025-04-12
BCC,Lợi nhuận sau thuế,2023,-233536479.0,2025-04-12
BCC,Lợi nhuận sau thuế,2024,-8133426.0,2025-04-12
BCC,Lợi nhuận sau thuế của công ty mẹ,2022,69328267.0,2025-04-12
BCC,Lợi nhuận sau thuế của công ty mẹ,2023,-227484076.0,2025-04-12
BCC,Lợi nhuận sau thuế của công ty mẹ,2023,-227484076.0,2025-04-12
BCC,Lợi nhuận sau thuế của công ty mẹ,2024,-6221738.0,2025-04-12
BCC,Tổng tài sản lưu động ngắn hạn,2022,804676941.0,2025-04-12
BCC,Tổng tài sản lưu động ngắn hạn,2023,611981258.0,2025-04-12
BCC,Tổng tài sản lưu động ngắn hạn,2023,611981258.0,2025-04-12
BCC,Tổng tài sản lưu động ngắn hạn,2024,672229544.0,2025-04-12
BCC,Tổng tài sản,2022,4099184212.0,2025-04-12
BCC,Tổng tài sản,2023,3656713441.0,2025-04-12
BCC,Tổng tài sản,2023,3656713441.0,2025-04-12
BCC,Tổng tài sản,2024,3412371649.0,2025-04-12
BCC,Nợ ngắn hạn,2022,1898364424.0,2025-04-12
BCC,Nợ ngắn hạn,2023,1819751836.0,2025-04-12
BCC,Nợ ngắn hạn,2023,1819751836.0,2025-04-12
BCC,Nợ ngắn hạn,2024,1611658282.0,2025-04-12
BCC,Tổng nợ,2022,1976541810.0,2025-04-12
BCC,Tổng nợ,2023,1871791300.0,2025-04-12
BCC,Tổng nợ,2023,1871791300.0,2025-04-12
BCC,Tổng nợ,2024,1635582933.0,2025-04-12
BCC,Vốn chủ sở hữu,2022,2122642402.0,2025-04-12
BCC,Vốn chủ sở hữu,2023,1784922142.0,2025-04-12
BCC,Vốn chủ sở hữu,2023,1784922142.0,2025-04-12
BCC,Vốn chủ sở hữu,2024,1776788716.0,2025-04-12
