symbol,metric,year,value,crawled_date
BCG,Doanh thu bán hàng và CCDV,2020,1855006595.0,2025-04-12
BCG,Doanh thu bán hàng và CCDV,2021,2618253996.0,2025-04-12
BCG,Doanh thu bán hàng và CCDV,2022,4595934768.0,2025-04-12
BCG,Doanh thu bán hàng và CCDV,2023,4112374748.0,2025-04-12
BCG,Giá vốn hàng bán,2020,1434689298.0,2025-04-12
BCG,Giá vốn hàng bán,2021,1650466787.0,2025-04-12
BCG,Giá vốn hàng bán,2022,3211621947.0,2025-04-12
BCG,Giá vốn hàng bán,2023,2812461807.0,2025-04-12
BCG,Lợi nhuận gộp về BH và CCDV,2020,420255622.0,2025-04-12
BCG,Lợi nhuận gộp về BH và CCDV,2021,938991806.0,2025-04-12
BCG,Lợi nhuận gộp về BH và CCDV,2022,1319571227.0,2025-04-12
BCG,Lợi nhuận gộp về BH và CCDV,2023,1199697084.0,2025-04-12
BCG,Lợi nhuận tài chính,2020,299669220.0,2025-04-12
BCG,Lợi nhuận tài chính,2021,862319586.0,2025-04-12
BCG,Lợi nhuận tài chính,2022,146332507.0,2025-04-12
BCG,Lợi nhuận tài chính,2023,-308973846.0,2025-04-12
BCG,Lợi nhuận khác,2020,-1394454.0,2025-04-12
BCG,Lợi nhuận khác,2021,-11395953.0,2025-04-12
BCG,Lợi nhuận khác,2022,23523412.0,2025-04-12
BCG,Lợi nhuận khác,2023,38019949.0,2025-04-12
BCG,Tổng lợi nhuận trước thuế,2020,333248988.0,2025-04-12
BCG,Tổng lợi nhuận trước thuế,2021,1265958846.0,2025-04-12
BCG,Tổng lợi nhuận trước thuế,2022,790235150.0,2025-04-12
BCG,Tổng lợi nhuận trước thuế,2023,251364984.0,2025-04-12
BCG,Lợi nhuận sau thuế,2020,266419181.0,2025-04-12
BCG,Lợi nhuận sau thuế,2021,1000342632.0,2025-04-12
BCG,Lợi nhuận sau thuế,2022,540692752.0,2025-04-12
BCG,Lợi nhuận sau thuế,2023,171077335.0,2025-04-12
BCG,Lợi nhuận sau thuế của công ty mẹ,2020,211326903.0,2025-04-12
BCG,Lợi nhuận sau thuế của công ty mẹ,2021,608930201.0,2025-04-12
BCG,Lợi nhuận sau thuế của công ty mẹ,2022,349549655.0,2025-04-12
BCG,Lợi nhuận sau thuế của công ty mẹ,2023,58983130.0,2025-04-12
BCG,Tổng tài sản lưu động ngắn hạn,2020,11338108288.0,2025-04-12
BCG,Tổng tài sản lưu động ngắn hạn,2021,16238689244.0,2025-04-12
BCG,Tổng tài sản lưu động ngắn hạn,2022,17761709187.0,2025-04-12
BCG,Tổng tài sản lưu động ngắn hạn,2023,19478597670.0,2025-04-12
BCG,Tổng tài sản,2020,24136825693.0,2025-04-12
BCG,Tổng tài sản,2021,37689325906.0,2025-04-12
BCG,Tổng tài sản,2022,43820407345.0,2025-04-12
BCG,Tổng tài sản,2023,42009335122.0,2025-04-12
BCG,Nợ ngắn hạn,2020,10609458385.0,2025-04-12
BCG,Nợ ngắn hạn,2021,10197137593.0,2025-04-12
BCG,Nợ ngắn hạn,2022,11380169032.0,2025-04-12
BCG,Nợ ngắn hạn,2023,12090231560.0,2025-04-12
BCG,Tổng nợ,2020,21173517663.0,2025-04-12
BCG,Tổng nợ,2021,29339761323.0,2025-04-12
BCG,Tổng nợ,2022,30021280555.0,2025-04-12
BCG,Tổng nợ,2023,24541590941.0,2025-04-12
BCG,Vốn chủ sở hữu,2020,2963308031.0,2025-04-12
BCG,Vốn chủ sở hữu,2021,8349564583.0,2025-04-12
BCG,Vốn chủ sở hữu,2022,13799126790.0,2025-04-12
BCG,Vốn chủ sở hữu,2023,17241697539.0,2025-04-12
