symbol,metric,year,value,crawled_date
BDW,Doanh thu bán hàng và CCDV,2021,222826294.0,2025-04-12
BDW,Doanh thu bán hàng và CCDV,2022,260776675.0,2025-04-12
BDW,Doanh thu bán hàng và CCDV,2023,273079975.0,2025-04-12
BDW,Doanh thu bán hàng và CCDV,2023,273079975.0,2025-04-12
BDW,Giá vốn hàng bán,2021,138868535.0,2025-04-12
BDW,Giá vốn hàng bán,2022,149758219.0,2025-04-12
BDW,Giá vốn hàng bán,2023,163898120.0,2025-04-12
BDW,Giá vốn hàng bán,2023,163898120.0,2025-04-12
BDW,Lợi nhuận gộp về BH và CCDV,2021,83927215.0,2025-04-12
BDW,Lợi nhuận gộp về BH và CCDV,2022,110996711.0,2025-04-12
BDW,Lợi nhuận gộp về BH và CCDV,2023,109147171.0,2025-04-12
BDW,Lợi nhuận gộp về BH và CCDV,2023,109147171.0,2025-04-12
BDW,Lợi nhuận tài chính,2021,-3605288.0,2025-04-12
BDW,Lợi nhuận tài chính,2022,-2623969.0,2025-04-12
BDW,Lợi nhuận tài chính,2023,-1320578.0,2025-04-12
BDW,Lợi nhuận tài chính,2023,-1320578.0,2025-04-12
BDW,Lợi nhuận khác,2021,2325763.0,2025-04-12
BDW,Lợi nhuận khác,2022,1013468.0,2025-04-12
BDW,Lợi nhuận khác,2023,2305076.0,2025-04-12
BDW,Lợi nhuận khác,2023,2305076.0,2025-04-12
BDW,Tổng lợi nhuận trước thuế,2021,33722683.0,2025-04-12
BDW,Tổng lợi nhuận trước thuế,2022,56845924.0,2025-04-12
BDW,Tổng lợi nhuận trước thuế,2023,56388268.0,2025-04-12
BDW,Tổng lợi nhuận trước thuế,2023,56388268.0,2025-04-12
BDW,Lợi nhuận sau thuế,2021,26914959.0,2025-04-12
BDW,Lợi nhuận sau thuế,2022,45408953.0,2025-04-12
BDW,Lợi nhuận sau thuế,2023,45020989.0,2025-04-12
BDW,Lợi nhuận sau thuế,2023,45020989.0,2025-04-12
BDW,Lợi nhuận sau thuế của công ty mẹ,2021,26914959.0,2025-04-12
BDW,Lợi nhuận sau thuế của công ty mẹ,2022,45408953.0,2025-04-12
BDW,Lợi nhuận sau thuế của công ty mẹ,2023,45020989.0,2025-04-12
BDW,Lợi nhuận sau thuế của công ty mẹ,2023,45020989.0,2025-04-12
BDW,Tổng tài sản lưu động ngắn hạn,2021,67823528.0,2025-04-12
BDW,Tổng tài sản lưu động ngắn hạn,2022,79154959.0,2025-04-12
BDW,Tổng tài sản lưu động ngắn hạn,2023,92495075.0,2025-04-12
BDW,Tổng tài sản lưu động ngắn hạn,2023,92495075.0,2025-04-12
BDW,Tổng tài sản,2021,416968739.0,2025-04-12
BDW,Tổng tài sản,2022,431956356.0,2025-04-12
BDW,Tổng tài sản,2023,471188052.0,2025-04-12
BDW,Tổng tài sản,2023,471188052.0,2025-04-12
BDW,Nợ ngắn hạn,2021,85796582.0,2025-04-12
BDW,Nợ ngắn hạn,2022,92394151.0,2025-04-12
BDW,Nợ ngắn hạn,2023,117539000.0,2025-04-12
BDW,Nợ ngắn hạn,2023,117539000.0,2025-04-12
BDW,Tổng nợ,2021,236136252.0,2025-04-12
BDW,Tổng nợ,2022,227186698.0,2025-04-12
BDW,Tổng nợ,2023,233647135.0,2025-04-12
BDW,Tổng nợ,2023,233647135.0,2025-04-12
BDW,Vốn chủ sở hữu,2021,180832487.0,2025-04-12
BDW,Vốn chủ sở hữu,2022,204769657.0,2025-04-12
BDW,Vốn chủ sở hữu,2023,237540918.0,2025-04-12
BDW,Vốn chủ sở hữu,2023,237540918.0,2025-04-12
