symbol,metric,year,value,crawled_date
BHK,Doanh thu bán hàng và CCDV,2022,134855648.0,2025-04-12
BHK,Doanh thu bán hàng và CCDV,2023,157457260.0,2025-04-12
BHK,Doanh thu bán hàng và CCDV,2023,157457260.0,2025-04-12
BHK,Doanh thu bán hàng và CCDV,2024,154648560.0,2025-04-12
BHK,Giá vốn hàng bán,2022,97679178.0,2025-04-12
BHK,Giá vốn hàng bán,2023,119534666.0,2025-04-12
BHK,Giá vốn hàng bán,2023,119534666.0,2025-04-12
BHK,Giá vốn hàng bán,2024,115218109.0,2025-04-12
BHK,Lợi nhuận gộp về BH và CCDV,2022,34609883.0,2025-04-12
BHK,Lợi nhuận gộp về BH và CCDV,2023,37922594.0,2025-04-12
BHK,Lợi nhuận gộp về BH và CCDV,2023,37922594.0,2025-04-12
BHK,Lợi nhuận gộp về BH và CCDV,2024,39369913.0,2025-04-12
BHK,Lợi nhuận tài chính,2022,-293733.0,2025-04-12
BHK,Lợi nhuận tài chính,2023,-872457.0,2025-04-12
BHK,Lợi nhuận tài chính,2023,-872457.0,2025-04-12
BHK,Lợi nhuận tài chính,2024,-924737.0,2025-04-12
BHK,Lợi nhuận khác,2022,1293347.0,2025-04-12
BHK,Lợi nhuận khác,2023,2616454.0,2025-04-12
BHK,Lợi nhuận khác,2023,2616454.0,2025-04-12
BHK,Lợi nhuận khác,2024,2379714.0,2025-04-12
BHK,Tổng lợi nhuận trước thuế,2022,6258703.0,2025-04-12
BHK,Tổng lợi nhuận trước thuế,2023,5023312.0,2025-04-12
BHK,Tổng lợi nhuận trước thuế,2023,5023312.0,2025-04-12
BHK,Tổng lợi nhuận trước thuế,2024,5768708.0,2025-04-12
BHK,Lợi nhuận sau thuế,2022,5000376.0,2025-04-12
BHK,Lợi nhuận sau thuế,2023,3984053.0,2025-04-12
BHK,Lợi nhuận sau thuế,2023,3984053.0,2025-04-12
BHK,Lợi nhuận sau thuế,2024,4588486.0,2025-04-12
BHK,Lợi nhuận sau thuế của công ty mẹ,2022,5000376.0,2025-04-12
BHK,Lợi nhuận sau thuế của công ty mẹ,2023,3984053.0,2025-04-12
BHK,Lợi nhuận sau thuế của công ty mẹ,2023,3984053.0,2025-04-12
BHK,Lợi nhuận sau thuế của công ty mẹ,2024,4588486.0,2025-04-12
BHK,Tổng tài sản lưu động ngắn hạn,2022,23700592.0,2025-04-12
BHK,Tổng tài sản lưu động ngắn hạn,2023,28616518.0,2025-04-12
BHK,Tổng tài sản lưu động ngắn hạn,2023,28616518.0,2025-04-12
BHK,Tổng tài sản lưu động ngắn hạn,2024,26184240.0,2025-04-12
BHK,Tổng tài sản,2022,87248480.0,2025-04-12
BHK,Tổng tài sản,2023,106137203.0,2025-04-12
BHK,Tổng tài sản,2023,106137203.0,2025-04-12
BHK,Tổng tài sản,2024,101444196.0,2025-04-12
BHK,Nợ ngắn hạn,2022,31413285.0,2025-04-12
BHK,Nợ ngắn hạn,2023,51490631.0,2025-04-12
BHK,Nợ ngắn hạn,2023,51490631.0,2025-04-12
BHK,Nợ ngắn hạn,2024,41497791.0,2025-04-12
BHK,Tổng nợ,2022,37332276.0,2025-04-12
BHK,Tổng nợ,2023,56396946.0,2025-04-12
BHK,Tổng nợ,2023,56396946.0,2025-04-12
BHK,Tổng nợ,2024,51444411.0,2025-04-12
BHK,Vốn chủ sở hữu,2022,49916204.0,2025-04-12
BHK,Vốn chủ sở hữu,2023,49740257.0,2025-04-12
BHK,Vốn chủ sở hữu,2023,49740257.0,2025-04-12
BHK,Vốn chủ sở hữu,2024,49999784.0,2025-04-12
