symbol,metric,year,value,crawled_date
BLF,Doanh thu bán hàng và CCDV,2021,424015917.0,2025-04-12
BLF,Doanh thu bán hàng và CCDV,2022,647100104.0,2025-04-12
BLF,Doanh thu bán hàng và CCDV,2023,580021301.0,2025-04-12
BLF,Doanh thu bán hàng và CCDV,2024,328615994.0,2025-04-12
BLF,Giá vốn hàng bán,2021,326645595.0,2025-04-12
BLF,Giá vốn hàng bán,2022,577007198.0,2025-04-12
BLF,Giá vốn hàng bán,2023,483385739.0,2025-04-12
BLF,Giá vốn hàng bán,2024,260104123.0,2025-04-12
BLF,Lợi nhuận gộp về BH và CCDV,2021,92093473.0,2025-04-12
BLF,Lợi nhuận gộp về BH và CCDV,2022,69129221.0,2025-04-12
BLF,Lợi nhuận gộp về BH và CCDV,2023,93758252.0,2025-04-12
BLF,Lợi nhuận gộp về BH và CCDV,2024,68275628.0,2025-04-12
BLF,Lợi nhuận tài chính,2021,-11359984.0,2025-04-12
BLF,Lợi nhuận tài chính,2022,-13803318.0,2025-04-12
BLF,Lợi nhuận tài chính,2023,-12871581.0,2025-04-12
BLF,Lợi nhuận tài chính,2024,-16704380.0,2025-04-12
BLF,Lợi nhuận khác,2021,2650361.0,2025-04-12
BLF,Lợi nhuận khác,2022,10077613.0,2025-04-12
BLF,Lợi nhuận khác,2023,8201460.0,2025-04-12
BLF,Lợi nhuận khác,2024,6172720.0,2025-04-12
BLF,Tổng lợi nhuận trước thuế,2021,-10994139.0,2025-04-12
BLF,Tổng lợi nhuận trước thuế,2022,-38573155.0,2025-04-12
BLF,Tổng lợi nhuận trước thuế,2023,4258930.0,2025-04-12
BLF,Tổng lợi nhuận trước thuế,2024,1227455.0,2025-04-12
BLF,Lợi nhuận sau thuế,2021,-10994139.0,2025-04-12
BLF,Lợi nhuận sau thuế,2022,-38573155.0,2025-04-12
BLF,Lợi nhuận sau thuế,2023,4258930.0,2025-04-12
BLF,Lợi nhuận sau thuế,2024,158750.0,2025-04-12
BLF,Lợi nhuận sau thuế của công ty mẹ,2021,-10994139.0,2025-04-12
BLF,Lợi nhuận sau thuế của công ty mẹ,2022,-38573155.0,2025-04-12
BLF,Lợi nhuận sau thuế của công ty mẹ,2023,4258930.0,2025-04-12
BLF,Lợi nhuận sau thuế của công ty mẹ,2024,158750.0,2025-04-12
BLF,Tổng tài sản lưu động ngắn hạn,2021,387999496.0,2025-04-12
BLF,Tổng tài sản lưu động ngắn hạn,2022,462164562.0,2025-04-12
BLF,Tổng tài sản lưu động ngắn hạn,2023,409191450.0,2025-04-12
BLF,Tổng tài sản lưu động ngắn hạn,2024,520039255.0,2025-04-12
BLF,Tổng tài sản,2021,513923668.0,2025-04-12
BLF,Tổng tài sản,2022,568100265.0,2025-04-12
BLF,Tổng tài sản,2023,494710294.0,2025-04-12
BLF,Tổng tài sản,2024,584243515.0,2025-04-12
BLF,Nợ ngắn hạn,2021,328486629.0,2025-04-12
BLF,Nợ ngắn hạn,2022,436657650.0,2025-04-12
BLF,Nợ ngắn hạn,2023,358990989.0,2025-04-12
BLF,Nợ ngắn hạn,2024,448202380.0,2025-04-12
BLF,Tổng nợ,2021,363407523.0,2025-04-12
BLF,Tổng nợ,2022,456157274.0,2025-04-12
BLF,Tổng nợ,2023,378508374.0,2025-04-12
BLF,Tổng nợ,2024,467882845.0,2025-04-12
BLF,Vốn chủ sở hữu,2021,150516145.0,2025-04-12
BLF,Vốn chủ sở hữu,2022,111942991.0,2025-04-12
BLF,Vốn chủ sở hữu,2023,116201921.0,2025-04-12
BLF,Vốn chủ sở hữu,2024,116360670.0,2025-04-12
