symbol,metric,year,value,crawled_date
BMJ,Doanh thu bán hàng và CCDV,2021,76061039.0,2025-04-12
BMJ,Doanh thu bán hàng và CCDV,2022,200613153.0,2025-04-12
BMJ,Doanh thu bán hàng và CCDV,2023,454133802.0,2025-04-12
BMJ,Doanh thu bán hàng và CCDV,2024,535069458.0,2025-04-12
BMJ,Giá vốn hàng bán,2021,50286369.0,2025-04-12
BMJ,Giá vốn hàng bán,2022,163273808.0,2025-04-12
BMJ,Giá vốn hàng bán,2023,372929078.0,2025-04-12
BMJ,Giá vốn hàng bán,2024,457026908.0,2025-04-12
BMJ,Lợi nhuận gộp về BH và CCDV,2021,25774670.0,2025-04-12
BMJ,Lợi nhuận gộp về BH và CCDV,2022,37339344.0,2025-04-12
BMJ,Lợi nhuận gộp về BH và CCDV,2023,81204724.0,2025-04-12
BMJ,Lợi nhuận gộp về BH và CCDV,2024,78042551.0,2025-04-12
BMJ,Lợi nhuận tài chính,2021,6319471.0,2025-04-12
BMJ,Lợi nhuận tài chính,2022,8150364.0,2025-04-12
BMJ,Lợi nhuận tài chính,2023,2557995.0,2025-04-12
BMJ,Lợi nhuận tài chính,2024,4604116.0,2025-04-12
BMJ,Lợi nhuận khác,2021,-384387.0,2025-04-12
BMJ,Lợi nhuận khác,2022,-221518.0,2025-04-12
BMJ,Lợi nhuận khác,2023,7590017.0,2025-04-12
BMJ,Lợi nhuận khác,2024,-33759.0,2025-04-12
BMJ,Tổng lợi nhuận trước thuế,2021,22191667.0,2025-04-12
BMJ,Tổng lợi nhuận trước thuế,2022,32935375.0,2025-04-12
BMJ,Tổng lợi nhuận trước thuế,2023,65834795.0,2025-04-12
BMJ,Tổng lợi nhuận trước thuế,2024,60749224.0,2025-04-12
BMJ,Lợi nhuận sau thuế,2021,19073521.0,2025-04-12
BMJ,Lợi nhuận sau thuế,2022,26060816.0,2025-04-12
BMJ,Lợi nhuận sau thuế,2023,52667707.0,2025-04-12
BMJ,Lợi nhuận sau thuế,2024,48543083.0,2025-04-12
BMJ,Lợi nhuận sau thuế của công ty mẹ,2021,19073521.0,2025-04-12
BMJ,Lợi nhuận sau thuế của công ty mẹ,2022,26060816.0,2025-04-12
BMJ,Lợi nhuận sau thuế của công ty mẹ,2023,52667707.0,2025-04-12
BMJ,Lợi nhuận sau thuế của công ty mẹ,2024,48543083.0,2025-04-12
BMJ,Tổng tài sản lưu động ngắn hạn,2021,151829762.0,2025-04-12
BMJ,Tổng tài sản lưu động ngắn hạn,2022,452028342.0,2025-04-12
BMJ,Tổng tài sản lưu động ngắn hạn,2023,688957513.0,2025-04-12
BMJ,Tổng tài sản lưu động ngắn hạn,2024,514585372.0,2025-04-12
BMJ,Tổng tài sản,2021,406362227.0,2025-04-12
BMJ,Tổng tài sản,2022,1258197195.0,2025-04-12
BMJ,Tổng tài sản,2023,1530477707.0,2025-04-12
BMJ,Tổng tài sản,2024,1646524045.0,2025-04-12
BMJ,Nợ ngắn hạn,2021,27000363.0,2025-04-12
BMJ,Nợ ngắn hạn,2022,123697754.0,2025-04-12
BMJ,Nợ ngắn hạn,2023,327674730.0,2025-04-12
BMJ,Nợ ngắn hạn,2024,393403171.0,2025-04-12
BMJ,Tổng nợ,2021,63763128.0,2025-04-12
BMJ,Tổng nợ,2022,142269481.0,2025-04-12
BMJ,Tổng nợ,2023,362273198.0,2025-04-12
BMJ,Tổng nợ,2024,430566468.0,2025-04-12
BMJ,Vốn chủ sở hữu,2021,342599099.0,2025-04-12
BMJ,Vốn chủ sở hữu,2022,1115927714.0,2025-04-12
BMJ,Vốn chủ sở hữu,2023,1168204509.0,2025-04-12
BMJ,Vốn chủ sở hữu,2024,1215957577.0,2025-04-12
