symbol,metric,year,value,crawled_date
BMV,Doanh thu bán hàng và CCDV,2022,845660680.0,2025-04-12
BMV,Doanh thu bán hàng và CCDV,2023,674026735.0,2025-04-12
BMV,Doanh thu bán hàng và CCDV,2023,674026735.0,2025-04-12
BMV,Doanh thu bán hàng và CCDV,2024,655801435.0,2025-04-12
BMV,Giá vốn hàng bán,2022,800104597.0,2025-04-12
BMV,Giá vốn hàng bán,2023,629929117.0,2025-04-12
BMV,Giá vốn hàng bán,2023,629929117.0,2025-04-12
BMV,Giá vốn hàng bán,2024,612130764.0,2025-04-12
BMV,Lợi nhuận gộp về BH và CCDV,2022,33615858.0,2025-04-12
BMV,Lợi nhuận gộp về BH và CCDV,2023,37875409.0,2025-04-12
BMV,Lợi nhuận gộp về BH và CCDV,2023,37875409.0,2025-04-12
BMV,Lợi nhuận gộp về BH và CCDV,2024,37653095.0,2025-04-12
BMV,Lợi nhuận tài chính,2022,-3419287.0,2025-04-12
BMV,Lợi nhuận tài chính,2023,-2815154.0,2025-04-12
BMV,Lợi nhuận tài chính,2023,-2815154.0,2025-04-12
BMV,Lợi nhuận tài chính,2024,-467536.0,2025-04-12
BMV,Lợi nhuận khác,2022,823173.0,2025-04-12
BMV,Lợi nhuận khác,2023,1578662.0,2025-04-12
BMV,Lợi nhuận khác,2023,1578662.0,2025-04-12
BMV,Lợi nhuận khác,2024,654554.0,2025-04-12
BMV,Tổng lợi nhuận trước thuế,2022,2991471.0,2025-04-12
BMV,Tổng lợi nhuận trước thuế,2023,3431137.0,2025-04-12
BMV,Tổng lợi nhuận trước thuế,2023,3431137.0,2025-04-12
BMV,Tổng lợi nhuận trước thuế,2024,4310135.0,2025-04-12
BMV,Lợi nhuận sau thuế,2022,1529013.0,2025-04-12
BMV,Lợi nhuận sau thuế,2023,3430975.0,2025-04-12
BMV,Lợi nhuận sau thuế,2023,3430975.0,2025-04-12
BMV,Lợi nhuận sau thuế,2024,1953399.0,2025-04-12
BMV,Lợi nhuận sau thuế của công ty mẹ,2022,1529013.0,2025-04-12
BMV,Lợi nhuận sau thuế của công ty mẹ,2023,3430975.0,2025-04-12
BMV,Lợi nhuận sau thuế của công ty mẹ,2023,3430975.0,2025-04-12
BMV,Lợi nhuận sau thuế của công ty mẹ,2024,1953399.0,2025-04-12
BMV,Tổng tài sản lưu động ngắn hạn,2022,327291922.0,2025-04-12
BMV,Tổng tài sản lưu động ngắn hạn,2023,389090012.0,2025-04-12
BMV,Tổng tài sản lưu động ngắn hạn,2023,389090012.0,2025-04-12
BMV,Tổng tài sản lưu động ngắn hạn,2024,387064769.0,2025-04-12
BMV,Tổng tài sản,2022,431547160.0,2025-04-12
BMV,Tổng tài sản,2023,483280845.0,2025-04-12
BMV,Tổng tài sản,2023,483280845.0,2025-04-12
BMV,Tổng tài sản,2024,476333033.0,2025-04-12
BMV,Nợ ngắn hạn,2022,186618725.0,2025-04-12
BMV,Nợ ngắn hạn,2023,235903315.0,2025-04-12
BMV,Nợ ngắn hạn,2023,235903315.0,2025-04-12
BMV,Nợ ngắn hạn,2024,229647883.0,2025-04-12
BMV,Tổng nợ,2022,186727497.0,2025-04-12
BMV,Tổng nợ,2023,235938871.0,2025-04-12
BMV,Tổng nợ,2023,235938871.0,2025-04-12
BMV,Tổng nợ,2024,229756654.0,2025-04-12
BMV,Vốn chủ sở hữu,2022,244819664.0,2025-04-12
BMV,Vốn chủ sở hữu,2023,247341975.0,2025-04-12
BMV,Vốn chủ sở hữu,2023,247341975.0,2025-04-12
BMV,Vốn chủ sở hữu,2024,246576379.0,2025-04-12
