symbol,metric,year,value,crawled_date
BT1,Doanh thu bán hàng và CCDV,2021,299410632.0,2025-04-12
BT1,Doanh thu bán hàng và CCDV,2022,236108188.0,2025-04-12
BT1,Doanh thu bán hàng và CCDV,2023,280543354.0,2025-04-12
BT1,Doanh thu bán hàng và CCDV,2024,319601712.0,2025-04-12
BT1,Giá vốn hàng bán,2021,206604804.0,2025-04-12
BT1,Giá vốn hàng bán,2022,163043247.0,2025-04-12
BT1,Giá vốn hàng bán,2023,211144083.0,2025-04-12
BT1,Giá vốn hàng bán,2024,215562079.0,2025-04-12
BT1,Lợi nhuận gộp về BH và CCDV,2021,92805828.0,2025-04-12
BT1,Lợi nhuận gộp về BH và CCDV,2022,73064941.0,2025-04-12
BT1,Lợi nhuận gộp về BH và CCDV,2023,69399271.0,2025-04-12
BT1,Lợi nhuận gộp về BH và CCDV,2024,103915061.0,2025-04-12
BT1,Lợi nhuận tài chính,2021,-3559002.0,2025-04-12
BT1,Lợi nhuận tài chính,2022,-5689701.0,2025-04-12
BT1,Lợi nhuận tài chính,2023,-6177170.0,2025-04-12
BT1,Lợi nhuận tài chính,2024,-7347749.0,2025-04-12
BT1,Lợi nhuận khác,2021,1924592.0,2025-04-12
BT1,Lợi nhuận khác,2022,1022284.0,2025-04-12
BT1,Lợi nhuận khác,2023,287458.0,2025-04-12
BT1,Lợi nhuận khác,2024,1920476.0,2025-04-12
BT1,Tổng lợi nhuận trước thuế,2021,10755573.0,2025-04-12
BT1,Tổng lợi nhuận trước thuế,2022,4328487.0,2025-04-12
BT1,Tổng lợi nhuận trước thuế,2023,2044532.0,2025-04-12
BT1,Tổng lợi nhuận trước thuế,2024,10487821.0,2025-04-12
BT1,Lợi nhuận sau thuế,2021,8547546.0,2025-04-12
BT1,Lợi nhuận sau thuế,2022,3270580.0,2025-04-12
BT1,Lợi nhuận sau thuế,2023,1543370.0,2025-04-12
BT1,Lợi nhuận sau thuế,2024,8114108.0,2025-04-12
BT1,Lợi nhuận sau thuế của công ty mẹ,2021,8547546.0,2025-04-12
BT1,Lợi nhuận sau thuế của công ty mẹ,2022,3270580.0,2025-04-12
BT1,Lợi nhuận sau thuế của công ty mẹ,2023,1543370.0,2025-04-12
BT1,Lợi nhuận sau thuế của công ty mẹ,2024,8114108.0,2025-04-12
BT1,Tổng tài sản lưu động ngắn hạn,2021,190088194.0,2025-04-12
BT1,Tổng tài sản lưu động ngắn hạn,2022,186567497.0,2025-04-12
BT1,Tổng tài sản lưu động ngắn hạn,2023,182306830.0,2025-04-12
BT1,Tổng tài sản lưu động ngắn hạn,2024,206919072.0,2025-04-12
BT1,Tổng tài sản,2021,247636059.0,2025-04-12
BT1,Tổng tài sản,2022,239951699.0,2025-04-12
BT1,Tổng tài sản,2023,231699987.0,2025-04-12
BT1,Tổng tài sản,2024,255621522.0,2025-04-12
BT1,Nợ ngắn hạn,2021,143807145.0,2025-04-12
BT1,Nợ ngắn hạn,2022,139948706.0,2025-04-12
BT1,Nợ ngắn hạn,2023,130442884.0,2025-04-12
BT1,Nợ ngắn hạn,2024,151038147.0,2025-04-12
BT1,Tổng nợ,2021,143807145.0,2025-04-12
BT1,Tổng nợ,2022,140473706.0,2025-04-12
BT1,Tổng nợ,2023,130792884.0,2025-04-12
BT1,Tổng nợ,2024,151213147.0,2025-04-12
BT1,Vốn chủ sở hữu,2021,103828914.0,2025-04-12
BT1,Vốn chủ sở hữu,2022,99477993.0,2025-04-12
BT1,Vốn chủ sở hữu,2023,100907103.0,2025-04-12
BT1,Vốn chủ sở hữu,2024,104408375.0,2025-04-12
