symbol,metric,year,value,crawled_date
BVN,Doanh thu bán hàng và CCDV,2020,24932037.0,2025-04-12
BVN,Doanh thu bán hàng và CCDV,2021,46793325.0,2025-04-12
BVN,Doanh thu bán hàng và CCDV,2022,50825368.0,2025-04-12
BVN,Doanh thu bán hàng và CCDV,2023,49378345.0,2025-04-12
BVN,Giá vốn hàng bán,2020,17312794.0,2025-04-12
BVN,Giá vốn hàng bán,2021,17912380.0,2025-04-12
BVN,Giá vốn hàng bán,2022,18950731.0,2025-04-12
BVN,Giá vốn hàng bán,2023,19978192.0,2025-04-12
BVN,Lợi nhuận gộp về BH và CCDV,2020,7495937.0,2025-04-12
BVN,Lợi nhuận gộp về BH và CCDV,2021,28873830.0,2025-04-12
BVN,Lợi nhuận gộp về BH và CCDV,2022,31874404.0,2025-04-12
BVN,Lợi nhuận gộp về BH và CCDV,2023,29400153.0,2025-04-12
BVN,Lợi nhuận tài chính,2020,5697268.0,2025-04-12
BVN,Lợi nhuận tài chính,2021,-12663671.0,2025-04-12
BVN,Lợi nhuận tài chính,2022,-586683.0,2025-04-12
BVN,Lợi nhuận tài chính,2023,-820680.0,2025-04-12
BVN,Lợi nhuận khác,2020,-2881752.0,2025-04-12
BVN,Lợi nhuận khác,2021,606662.0,2025-04-12
BVN,Lợi nhuận khác,2022,294022.0,2025-04-12
BVN,Lợi nhuận khác,2023,-274943.0,2025-04-12
BVN,Tổng lợi nhuận trước thuế,2020,-3952630.0,2025-04-12
BVN,Tổng lợi nhuận trước thuế,2021,3547422.0,2025-04-12
BVN,Tổng lợi nhuận trước thuế,2022,21055188.0,2025-04-12
BVN,Tổng lợi nhuận trước thuế,2023,20590051.0,2025-04-12
BVN,Lợi nhuận sau thuế,2020,-3977186.0,2025-04-12
BVN,Lợi nhuận sau thuế,2021,3547422.0,2025-04-12
BVN,Lợi nhuận sau thuế,2022,21250188.0,2025-04-12
BVN,Lợi nhuận sau thuế,2023,16907555.0,2025-04-12
BVN,Lợi nhuận sau thuế của công ty mẹ,2020,-3977186.0,2025-04-12
BVN,Lợi nhuận sau thuế của công ty mẹ,2021,3547422.0,2025-04-12
BVN,Lợi nhuận sau thuế của công ty mẹ,2022,21250188.0,2025-04-12
BVN,Lợi nhuận sau thuế của công ty mẹ,2023,16907555.0,2025-04-12
BVN,Tổng tài sản lưu động ngắn hạn,2020,25417723.0,2025-04-12
BVN,Tổng tài sản lưu động ngắn hạn,2021,21357016.0,2025-04-12
BVN,Tổng tài sản lưu động ngắn hạn,2022,22738682.0,2025-04-12
BVN,Tổng tài sản lưu động ngắn hạn,2023,15752822.0,2025-04-12
BVN,Tổng tài sản,2020,132557350.0,2025-04-12
BVN,Tổng tài sản,2021,117326942.0,2025-04-12
BVN,Tổng tài sản,2022,113335935.0,2025-04-12
BVN,Tổng tài sản,2023,108345291.0,2025-04-12
BVN,Nợ ngắn hạn,2020,55150624.0,2025-04-12
BVN,Nợ ngắn hạn,2021,36372795.0,2025-04-12
BVN,Nợ ngắn hạn,2022,18131599.0,2025-04-12
BVN,Nợ ngắn hạn,2023,16532015.0,2025-04-12
BVN,Tổng nợ,2020,82150624.0,2025-04-12
BVN,Tổng nợ,2021,63372795.0,2025-04-12
BVN,Tổng nợ,2022,38131599.0,2025-04-12
BVN,Tổng nợ,2023,16532015.0,2025-04-12
BVN,Vốn chủ sở hữu,2020,50406726.0,2025-04-12
BVN,Vốn chủ sở hữu,2021,53954148.0,2025-04-12
BVN,Vốn chủ sở hữu,2022,75204336.0,2025-04-12
BVN,Vốn chủ sở hữu,2023,91813277.0,2025-04-12
