symbol,metric,year,value,crawled_date
BWA,Doanh thu bán hàng và CCDV,2021,29798147.0,2025-04-12
BWA,Doanh thu bán hàng và CCDV,2022,32055721.0,2025-04-12
BWA,Doanh thu bán hàng và CCDV,2023,35334528.0,2025-04-12
BWA,Doanh thu bán hàng và CCDV,2024,37002849.0,2025-04-12
BWA,Giá vốn hàng bán,2021,19384849.0,2025-04-12
BWA,Giá vốn hàng bán,2022,20901333.0,2025-04-12
BWA,Giá vốn hàng bán,2023,25184542.0,2025-04-12
BWA,Giá vốn hàng bán,2024,26096320.0,2025-04-12
BWA,Lợi nhuận gộp về BH và CCDV,2021,10413298.0,2025-04-12
BWA,Lợi nhuận gộp về BH và CCDV,2022,11154389.0,2025-04-12
BWA,Lợi nhuận gộp về BH và CCDV,2023,10149987.0,2025-04-12
BWA,Lợi nhuận gộp về BH và CCDV,2024,10906529.0,2025-04-12
BWA,Lợi nhuận tài chính,2021,134998.0,2025-04-12
BWA,Lợi nhuận tài chính,2022,273368.0,2025-04-12
BWA,Lợi nhuận tài chính,2023,306133.0,2025-04-12
BWA,Lợi nhuận tài chính,2024,56761.0,2025-04-12
BWA,Lợi nhuận khác,2021,-354538.0,2025-04-12
BWA,Lợi nhuận khác,2022,-16256.0,2025-04-12
BWA,Lợi nhuận khác,2023,-616166.0,2025-04-12
BWA,Lợi nhuận khác,2024,-12316.0,2025-04-12
BWA,Tổng lợi nhuận trước thuế,2021,1930897.0,2025-04-12
BWA,Tổng lợi nhuận trước thuế,2022,1887714.0,2025-04-12
BWA,Tổng lợi nhuận trước thuế,2023,1217239.0,2025-04-12
BWA,Tổng lợi nhuận trước thuế,2024,1362895.0,2025-04-12
BWA,Lợi nhuận sau thuế,2021,1477955.0,2025-04-12
BWA,Lợi nhuận sau thuế,2022,1431363.0,2025-04-12
BWA,Lợi nhuận sau thuế,2023,794671.0,2025-04-12
BWA,Lợi nhuận sau thuế,2024,980762.0,2025-04-12
BWA,Lợi nhuận sau thuế của công ty mẹ,2021,1477955.0,2025-04-12
BWA,Lợi nhuận sau thuế của công ty mẹ,2022,1431363.0,2025-04-12
BWA,Lợi nhuận sau thuế của công ty mẹ,2023,794671.0,2025-04-12
BWA,Lợi nhuận sau thuế của công ty mẹ,2024,980762.0,2025-04-12
BWA,Tổng tài sản lưu động ngắn hạn,2021,15186693.0,2025-04-12
BWA,Tổng tài sản lưu động ngắn hạn,2022,16616931.0,2025-04-12
BWA,Tổng tài sản lưu động ngắn hạn,2023,16682132.0,2025-04-12
BWA,Tổng tài sản lưu động ngắn hạn,2024,13452497.0,2025-04-12
BWA,Tổng tài sản,2021,40042073.0,2025-04-12
BWA,Tổng tài sản,2022,39991247.0,2025-04-12
BWA,Tổng tài sản,2023,40237431.0,2025-04-12
BWA,Tổng tài sản,2024,52350699.0,2025-04-12
BWA,Nợ ngắn hạn,2021,4592602.0,2025-04-12
BWA,Nợ ngắn hạn,2022,4479303.0,2025-04-12
BWA,Nợ ngắn hạn,2023,5293548.0,2025-04-12
BWA,Nợ ngắn hạn,2024,7889905.0,2025-04-12
BWA,Tổng nợ,2021,4654170.0,2025-04-12
BWA,Tổng nợ,2022,4576086.0,2025-04-12
BWA,Tổng nợ,2023,5427045.0,2025-04-12
BWA,Tổng nợ,2024,17874674.0,2025-04-12
BWA,Vốn chủ sở hữu,2021,35387903.0,2025-04-12
BWA,Vốn chủ sở hữu,2022,35415161.0,2025-04-12
BWA,Vốn chủ sở hữu,2023,34810386.0,2025-04-12
BWA,Vốn chủ sở hữu,2024,34476026.0,2025-04-12
