symbol,metric,year,value,crawled_date
BXH,Doanh thu bán hàng và CCDV,2022,214861129.0,2025-04-12
BXH,Doanh thu bán hàng và CCDV,2023,217191880.0,2025-04-12
BXH,Doanh thu bán hàng và CCDV,2023,217191880.0,2025-04-12
BXH,Doanh thu bán hàng và CCDV,2024,170165944.0,2025-04-12
BXH,Giá vốn hàng bán,2022,188975933.0,2025-04-12
BXH,Giá vốn hàng bán,2023,191159719.0,2025-04-12
BXH,Giá vốn hàng bán,2023,191159719.0,2025-04-12
BXH,Giá vốn hàng bán,2024,152939244.0,2025-04-12
BXH,Lợi nhuận gộp về BH và CCDV,2022,25885196.0,2025-04-12
BXH,Lợi nhuận gộp về BH và CCDV,2023,26032161.0,2025-04-12
BXH,Lợi nhuận gộp về BH và CCDV,2023,26032161.0,2025-04-12
BXH,Lợi nhuận gộp về BH và CCDV,2024,17226700.0,2025-04-12
BXH,Lợi nhuận tài chính,2022,-1205393.0,2025-04-12
BXH,Lợi nhuận tài chính,2023,-326880.0,2025-04-12
BXH,Lợi nhuận tài chính,2023,-326880.0,2025-04-12
BXH,Lợi nhuận tài chính,2024,-330540.0,2025-04-12
BXH,Lợi nhuận khác,2022,445944.0,2025-04-12
BXH,Lợi nhuận khác,2023,1310686.0,2025-04-12
BXH,Lợi nhuận khác,2023,1310686.0,2025-04-12
BXH,Lợi nhuận khác,2024,1491419.0,2025-04-12
BXH,Tổng lợi nhuận trước thuế,2022,2010614.0,2025-04-12
BXH,Tổng lợi nhuận trước thuế,2023,1570933.0,2025-04-12
BXH,Tổng lợi nhuận trước thuế,2023,1570933.0,2025-04-12
BXH,Tổng lợi nhuận trước thuế,2024,789795.0,2025-04-12
BXH,Lợi nhuận sau thuế,2022,1555951.0,2025-04-12
BXH,Lợi nhuận sau thuế,2023,1203613.0,2025-04-12
BXH,Lợi nhuận sau thuế,2023,1203613.0,2025-04-12
BXH,Lợi nhuận sau thuế,2024,570037.0,2025-04-12
BXH,Lợi nhuận sau thuế của công ty mẹ,2022,1555951.0,2025-04-12
BXH,Lợi nhuận sau thuế của công ty mẹ,2023,1203613.0,2025-04-12
BXH,Lợi nhuận sau thuế của công ty mẹ,2023,1203613.0,2025-04-12
BXH,Lợi nhuận sau thuế của công ty mẹ,2024,570037.0,2025-04-12
BXH,Tổng tài sản lưu động ngắn hạn,2022,103495994.0,2025-04-12
BXH,Tổng tài sản lưu động ngắn hạn,2023,108641369.0,2025-04-12
BXH,Tổng tài sản lưu động ngắn hạn,2023,108641369.0,2025-04-12
BXH,Tổng tài sản lưu động ngắn hạn,2024,94004681.0,2025-04-12
BXH,Tổng tài sản,2022,108269155.0,2025-04-12
BXH,Tổng tài sản,2023,113940999.0,2025-04-12
BXH,Tổng tài sản,2023,113940999.0,2025-04-12
BXH,Tổng tài sản,2024,97673538.0,2025-04-12
BXH,Nợ ngắn hạn,2022,52614822.0,2025-04-12
BXH,Nợ ngắn hạn,2023,58639003.0,2025-04-12
BXH,Nợ ngắn hạn,2023,58639003.0,2025-04-12
BXH,Nợ ngắn hạn,2024,43005118.0,2025-04-12
BXH,Tổng nợ,2022,52614822.0,2025-04-12
BXH,Tổng nợ,2023,58639003.0,2025-04-12
BXH,Tổng nợ,2023,58639003.0,2025-04-12
BXH,Tổng nợ,2024,43005118.0,2025-04-12
BXH,Vốn chủ sở hữu,2022,55654334.0,2025-04-12
BXH,Vốn chủ sở hữu,2023,55301996.0,2025-04-12
BXH,Vốn chủ sở hữu,2023,55301996.0,2025-04-12
BXH,Vốn chủ sở hữu,2024,54668420.0,2025-04-12
