symbol,metric,year,value,crawled_date
CAP,Doanh thu bán hàng và CCDV,2021,519482153.0,2025-04-12
CAP,Doanh thu bán hàng và CCDV,2022,657022544.0,2025-04-12
CAP,Doanh thu bán hàng và CCDV,2023,612296636.0,2025-04-12
CAP,Doanh thu bán hàng và CCDV,2024,591753293.0,2025-04-12
CAP,Giá vốn hàng bán,2021,420170198.0,2025-04-12
CAP,Giá vốn hàng bán,2022,478975593.0,2025-04-12
CAP,Giá vốn hàng bán,2023,430038328.0,2025-04-12
CAP,Giá vốn hàng bán,2024,500302959.0,2025-04-12
CAP,Lợi nhuận gộp về BH và CCDV,2021,97798607.0,2025-04-12
CAP,Lợi nhuận gộp về BH và CCDV,2022,178046951.0,2025-04-12
CAP,Lợi nhuận gộp về BH và CCDV,2023,181349791.0,2025-04-12
CAP,Lợi nhuận gộp về BH và CCDV,2024,91450334.0,2025-04-12
CAP,Lợi nhuận tài chính,2021,-513122.0,2025-04-12
CAP,Lợi nhuận tài chính,2022,2574590.0,2025-04-12
CAP,Lợi nhuận tài chính,2023,8474008.0,2025-04-12
CAP,Lợi nhuận tài chính,2024,205801.0,2025-04-12
CAP,Lợi nhuận khác,2021,254439.0,2025-04-12
CAP,Lợi nhuận khác,2022,-584665.0,2025-04-12
CAP,Lợi nhuận khác,2023,-60187.0,2025-04-12
CAP,Lợi nhuận khác,2024,-1634754.0,2025-04-12
CAP,Tổng lợi nhuận trước thuế,2021,67308350.0,2025-04-12
CAP,Tổng lợi nhuận trước thuế,2022,127032069.0,2025-04-12
CAP,Tổng lợi nhuận trước thuế,2023,132164730.0,2025-04-12
CAP,Tổng lợi nhuận trước thuế,2024,39798811.0,2025-04-12
CAP,Lợi nhuận sau thuế,2021,57251128.0,2025-04-12
CAP,Lợi nhuận sau thuế,2022,106050407.0,2025-04-12
CAP,Lợi nhuận sau thuế,2023,114408909.0,2025-04-12
CAP,Lợi nhuận sau thuế,2024,30921886.0,2025-04-12
CAP,Lợi nhuận sau thuế của công ty mẹ,2021,57251128.0,2025-04-12
CAP,Lợi nhuận sau thuế của công ty mẹ,2022,106050407.0,2025-04-12
CAP,Lợi nhuận sau thuế của công ty mẹ,2023,114408909.0,2025-04-12
CAP,Lợi nhuận sau thuế của công ty mẹ,2024,30921886.0,2025-04-12
CAP,Tổng tài sản lưu động ngắn hạn,2021,100667134.0,2025-04-12
CAP,Tổng tài sản lưu động ngắn hạn,2022,188515183.0,2025-04-12
CAP,Tổng tài sản lưu động ngắn hạn,2023,256041298.0,2025-04-12
CAP,Tổng tài sản lưu động ngắn hạn,2024,243977602.0,2025-04-12
CAP,Tổng tài sản,2021,152685949.0,2025-04-12
CAP,Tổng tài sản,2022,233020524.0,2025-04-12
CAP,Tổng tài sản,2023,292173827.0,2025-04-12
CAP,Tổng tài sản,2024,269963506.0,2025-04-12
CAP,Nợ ngắn hạn,2021,33182538.0,2025-04-12
CAP,Nợ ngắn hạn,2022,38799423.0,2025-04-12
CAP,Nợ ngắn hạn,2023,27135510.0,2025-04-12
CAP,Nợ ngắn hạn,2024,29988350.0,2025-04-12
CAP,Tổng nợ,2021,33209388.0,2025-04-12
CAP,Tổng nợ,2022,38826273.0,2025-04-12
CAP,Tổng nợ,2023,27162360.0,2025-04-12
CAP,Tổng nợ,2024,30015200.0,2025-04-12
CAP,Vốn chủ sở hữu,2021,119476561.0,2025-04-12
CAP,Vốn chủ sở hữu,2022,194194251.0,2025-04-12
CAP,Vốn chủ sở hữu,2023,265011466.0,2025-04-12
CAP,Vốn chủ sở hữu,2024,239948306.0,2025-04-12
