symbol,metric,year,value,crawled_date
CC4,Doanh thu bán hàng và CCDV,2021,163612494.0,2025-04-12
CC4,Doanh thu bán hàng và CCDV,2022,626410537.0,2025-04-12
CC4,Doanh thu bán hàng và CCDV,2023,1413416352.0,2025-04-12
CC4,Doanh thu bán hàng và CCDV,2024,937569679.0,2025-04-12
CC4,Giá vốn hàng bán,2021,147851342.0,2025-04-12
CC4,Giá vốn hàng bán,2022,571175838.0,2025-04-12
CC4,Giá vốn hàng bán,2023,1311252606.0,2025-04-12
CC4,Giá vốn hàng bán,2024,854929663.0,2025-04-12
CC4,Lợi nhuận gộp về BH và CCDV,2021,15761153.0,2025-04-12
CC4,Lợi nhuận gộp về BH và CCDV,2022,55234700.0,2025-04-12
CC4,Lợi nhuận gộp về BH và CCDV,2023,102163746.0,2025-04-12
CC4,Lợi nhuận gộp về BH và CCDV,2024,82640016.0,2025-04-12
CC4,Lợi nhuận tài chính,2021,-6748323.0,2025-04-12
CC4,Lợi nhuận tài chính,2022,2447573.0,2025-04-12
CC4,Lợi nhuận tài chính,2023,9488354.0,2025-04-12
CC4,Lợi nhuận tài chính,2024,11171995.0,2025-04-12
CC4,Lợi nhuận khác,2021,31627433.0,2025-04-12
CC4,Lợi nhuận khác,2022,-4800940.0,2025-04-12
CC4,Lợi nhuận khác,2023,342938.0,2025-04-12
CC4,Lợi nhuận khác,2024,-2885453.0,2025-04-12
CC4,Tổng lợi nhuận trước thuế,2021,24763636.0,2025-04-12
CC4,Tổng lợi nhuận trước thuế,2022,23185813.0,2025-04-12
CC4,Tổng lợi nhuận trước thuế,2023,71340513.0,2025-04-12
CC4,Tổng lợi nhuận trước thuế,2024,49724613.0,2025-04-12
CC4,Lợi nhuận sau thuế,2021,19797461.0,2025-04-12
CC4,Lợi nhuận sau thuế,2022,18444214.0,2025-04-12
CC4,Lợi nhuận sau thuế,2023,55553417.0,2025-04-12
CC4,Lợi nhuận sau thuế,2024,36793052.0,2025-04-12
CC4,Lợi nhuận sau thuế của công ty mẹ,2021,19797461.0,2025-04-12
CC4,Lợi nhuận sau thuế của công ty mẹ,2022,14687726.0,2025-04-12
CC4,Lợi nhuận sau thuế của công ty mẹ,2023,34127027.0,2025-04-12
CC4,Lợi nhuận sau thuế của công ty mẹ,2024,19544152.0,2025-04-12
CC4,Tổng tài sản lưu động ngắn hạn,2021,453457650.0,2025-04-12
CC4,Tổng tài sản lưu động ngắn hạn,2022,843056593.0,2025-04-12
CC4,Tổng tài sản lưu động ngắn hạn,2023,1045416767.0,2025-04-12
CC4,Tổng tài sản lưu động ngắn hạn,2024,1250096757.0,2025-04-12
CC4,Tổng tài sản,2021,863576617.0,2025-04-12
CC4,Tổng tài sản,2022,1447421032.0,2025-04-12
CC4,Tổng tài sản,2023,1639686761.0,2025-04-12
CC4,Tổng tài sản,2024,1825302133.0,2025-04-12
CC4,Nợ ngắn hạn,2021,335255044.0,2025-04-12
CC4,Nợ ngắn hạn,2022,475369527.0,2025-04-12
CC4,Nợ ngắn hạn,2023,629168702.0,2025-04-12
CC4,Nợ ngắn hạn,2024,828264498.0,2025-04-12
CC4,Tổng nợ,2021,476031609.0,2025-04-12
CC4,Tổng nợ,2022,615924952.0,2025-04-12
CC4,Tổng nợ,2023,761879000.0,2025-04-12
CC4,Tổng nợ,2024,966588464.0,2025-04-12
CC4,Vốn chủ sở hữu,2021,387545008.0,2025-04-12
CC4,Vốn chủ sở hữu,2022,831496080.0,2025-04-12
CC4,Vốn chủ sở hữu,2023,877807761.0,2025-04-12
CC4,Vốn chủ sở hữu,2024,858713669.0,2025-04-12
