symbol,metric,year,value,crawled_date
CCV,Doanh thu bán hàng và CCDV,2021,127359754.0,2025-04-12
CCV,Doanh thu bán hàng và CCDV,2022,170374238.0,2025-04-12
CCV,Doanh thu bán hàng và CCDV,2023,164119503.0,2025-04-12
CCV,Doanh thu bán hàng và CCDV,2024,207868421.0,2025-04-12
CCV,Giá vốn hàng bán,2021,96334483.0,2025-04-12
CCV,Giá vốn hàng bán,2022,135735979.0,2025-04-12
CCV,Giá vốn hàng bán,2023,130884841.0,2025-04-12
CCV,Giá vốn hàng bán,2024,165631555.0,2025-04-12
CCV,Lợi nhuận gộp về BH và CCDV,2021,25451505.0,2025-04-12
CCV,Lợi nhuận gộp về BH và CCDV,2022,34638258.0,2025-04-12
CCV,Lợi nhuận gộp về BH và CCDV,2023,33234661.0,2025-04-12
CCV,Lợi nhuận gộp về BH và CCDV,2024,42236866.0,2025-04-12
CCV,Lợi nhuận tài chính,2021,1877399.0,2025-04-12
CCV,Lợi nhuận tài chính,2022,2229499.0,2025-04-12
CCV,Lợi nhuận tài chính,2023,2273039.0,2025-04-12
CCV,Lợi nhuận tài chính,2024,4262757.0,2025-04-12
CCV,Lợi nhuận khác,2021,-37895.0,2025-04-12
CCV,Lợi nhuận khác,2022,411619.0,2025-04-12
CCV,Lợi nhuận khác,2023,-48085.0,2025-04-12
CCV,Lợi nhuận khác,2024,-22364.0,2025-04-12
CCV,Tổng lợi nhuận trước thuế,2021,8523653.0,2025-04-12
CCV,Tổng lợi nhuận trước thuế,2022,14758114.0,2025-04-12
CCV,Tổng lợi nhuận trước thuế,2023,12238739.0,2025-04-12
CCV,Tổng lợi nhuận trước thuế,2024,17510159.0,2025-04-12
CCV,Lợi nhuận sau thuế,2021,7276461.0,2025-04-12
CCV,Lợi nhuận sau thuế,2022,9726699.0,2025-04-12
CCV,Lợi nhuận sau thuế,2023,9372520.0,2025-04-12
CCV,Lợi nhuận sau thuế,2024,13967434.0,2025-04-12
CCV,Lợi nhuận sau thuế của công ty mẹ,2021,7230835.0,2025-04-12
CCV,Lợi nhuận sau thuế của công ty mẹ,2022,9661230.0,2025-04-12
CCV,Lợi nhuận sau thuế của công ty mẹ,2023,9363669.0,2025-04-12
CCV,Lợi nhuận sau thuế của công ty mẹ,2024,13949028.0,2025-04-12
CCV,Tổng tài sản lưu động ngắn hạn,2021,251760337.0,2025-04-12
CCV,Tổng tài sản lưu động ngắn hạn,2022,255830486.0,2025-04-12
CCV,Tổng tài sản lưu động ngắn hạn,2023,249409365.0,2025-04-12
CCV,Tổng tài sản lưu động ngắn hạn,2024,272373558.0,2025-04-12
CCV,Tổng tài sản,2021,259995798.0,2025-04-12
CCV,Tổng tài sản,2022,266441920.0,2025-04-12
CCV,Tổng tài sản,2023,258561576.0,2025-04-12
CCV,Tổng tài sản,2024,280675854.0,2025-04-12
CCV,Nợ ngắn hạn,2021,221160568.0,2025-04-12
CCV,Nợ ngắn hạn,2022,225855063.0,2025-04-12
CCV,Nợ ngắn hạn,2023,218242504.0,2025-04-12
CCV,Nợ ngắn hạn,2024,235800309.0,2025-04-12
CCV,Tổng nợ,2021,221793054.0,2025-04-12
CCV,Tổng nợ,2022,225855063.0,2025-04-12
CCV,Tổng nợ,2023,218242504.0,2025-04-12
CCV,Tổng nợ,2024,235800309.0,2025-04-12
CCV,Vốn chủ sở hữu,2021,38202744.0,2025-04-12
CCV,Vốn chủ sở hữu,2022,40586857.0,2025-04-12
CCV,Vốn chủ sở hữu,2023,40319072.0,2025-04-12
CCV,Vốn chủ sở hữu,2024,44875545.0,2025-04-12
