symbol,metric,year,value,crawled_date
CDP,Doanh thu bán hàng và CCDV,2021,2484193482.0,2025-04-12
CDP,Doanh thu bán hàng và CCDV,2022,3089967978.0,2025-04-12
CDP,Doanh thu bán hàng và CCDV,2023,3089290342.0,2025-04-12
CDP,Doanh thu bán hàng và CCDV,2024,3215977581.0,2025-04-12
CDP,Giá vốn hàng bán,2021,2286264722.0,2025-04-12
CDP,Giá vốn hàng bán,2022,2835083081.0,2025-04-12
CDP,Giá vốn hàng bán,2023,2854066243.0,2025-04-12
CDP,Giá vốn hàng bán,2024,2972775353.0,2025-04-12
CDP,Lợi nhuận gộp về BH và CCDV,2021,164124016.0,2025-04-12
CDP,Lợi nhuận gộp về BH và CCDV,2022,210831929.0,2025-04-12
CDP,Lợi nhuận gộp về BH và CCDV,2023,209963808.0,2025-04-12
CDP,Lợi nhuận gộp về BH và CCDV,2024,235904465.0,2025-04-12
CDP,Lợi nhuận tài chính,2021,-12271460.0,2025-04-12
CDP,Lợi nhuận tài chính,2022,-13510563.0,2025-04-12
CDP,Lợi nhuận tài chính,2023,-23439798.0,2025-04-12
CDP,Lợi nhuận tài chính,2024,-31536663.0,2025-04-12
CDP,Lợi nhuận khác,2021,587105.0,2025-04-12
CDP,Lợi nhuận khác,2022,54069.0,2025-04-12
CDP,Lợi nhuận khác,2023,-2043046.0,2025-04-12
CDP,Lợi nhuận khác,2024,-481416.0,2025-04-12
CDP,Tổng lợi nhuận trước thuế,2021,21480550.0,2025-04-12
CDP,Tổng lợi nhuận trước thuế,2022,28913010.0,2025-04-12
CDP,Tổng lợi nhuận trước thuế,2023,13892362.0,2025-04-12
CDP,Tổng lợi nhuận trước thuế,2024,27207175.0,2025-04-12
CDP,Lợi nhuận sau thuế,2021,17023676.0,2025-04-12
CDP,Lợi nhuận sau thuế,2022,23153332.0,2025-04-12
CDP,Lợi nhuận sau thuế,2023,9189180.0,2025-04-12
CDP,Lợi nhuận sau thuế,2024,19069738.0,2025-04-12
CDP,Lợi nhuận sau thuế của công ty mẹ,2021,17011835.0,2025-04-12
CDP,Lợi nhuận sau thuế của công ty mẹ,2022,23140994.0,2025-04-12
CDP,Lợi nhuận sau thuế của công ty mẹ,2023,9305450.0,2025-04-12
CDP,Lợi nhuận sau thuế của công ty mẹ,2024,19069738.0,2025-04-12
CDP,Tổng tài sản lưu động ngắn hạn,2021,1802709366.0,2025-04-12
CDP,Tổng tài sản lưu động ngắn hạn,2022,1885647804.0,2025-04-12
CDP,Tổng tài sản lưu động ngắn hạn,2023,1949073849.0,2025-04-12
CDP,Tổng tài sản lưu động ngắn hạn,2024,1933714163.0,2025-04-12
CDP,Tổng tài sản,2021,2036301789.0,2025-04-12
CDP,Tổng tài sản,2022,2109725762.0,2025-04-12
CDP,Tổng tài sản,2023,2161008693.0,2025-04-12
CDP,Tổng tài sản,2024,2134674240.0,2025-04-12
CDP,Nợ ngắn hạn,2021,1774998136.0,2025-04-12
CDP,Nợ ngắn hạn,2022,1840760257.0,2025-04-12
CDP,Nợ ngắn hạn,2023,1898147861.0,2025-04-12
CDP,Nợ ngắn hạn,2024,1888267538.0,2025-04-12
CDP,Tổng nợ,2021,1825252488.0,2025-04-12
CDP,Tổng nợ,2022,1904685296.0,2025-04-12
CDP,Tổng nợ,2023,1957396081.0,2025-04-12
CDP,Tổng nợ,2024,1917466114.0,2025-04-12
CDP,Vốn chủ sở hữu,2021,211049302.0,2025-04-12
CDP,Vốn chủ sở hữu,2022,205040466.0,2025-04-12
CDP,Vốn chủ sở hữu,2023,203612612.0,2025-04-12
CDP,Vốn chủ sở hữu,2024,217208126.0,2025-04-12
