symbol,metric,year,value,crawled_date
CFM,Doanh thu bán hàng và CCDV,2021,3999000.0,2025-04-12
CFM,Doanh thu bán hàng và CCDV,2022,2715630.0,2025-04-12
CFM,Doanh thu bán hàng và CCDV,2023,2965577.0,2025-04-12
CFM,Doanh thu bán hàng và CCDV,2024,1363076.0,2025-04-12
CFM,Giá vốn hàng bán,2021,1877593.0,2025-04-12
CFM,Giá vốn hàng bán,2022,1637288.0,2025-04-12
CFM,Giá vốn hàng bán,2023,1494009.0,2025-04-12
CFM,Giá vốn hàng bán,2024,593504.0,2025-04-12
CFM,Lợi nhuận gộp về BH và CCDV,2021,2121407.0,2025-04-12
CFM,Lợi nhuận gộp về BH và CCDV,2022,1078342.0,2025-04-12
CFM,Lợi nhuận gộp về BH và CCDV,2023,1471567.0,2025-04-12
CFM,Lợi nhuận gộp về BH và CCDV,2024,769571.0,2025-04-12
CFM,Lợi nhuận tài chính,2021,148327.0,2025-04-12
CFM,Lợi nhuận tài chính,2022,-193685.0,2025-04-12
CFM,Lợi nhuận tài chính,2023,826857.0,2025-04-12
CFM,Lợi nhuận tài chính,2024,728976.0,2025-04-12
CFM,Lợi nhuận khác,2021,-7368.0,2025-04-12
CFM,Lợi nhuận khác,2022,12806.0,2025-04-12
CFM,Lợi nhuận khác,2023,381575.0,2025-04-12
CFM,Lợi nhuận khác,2024,-36364.0,2025-04-12
CFM,Tổng lợi nhuận trước thuế,2021,137098.0,2025-04-12
CFM,Tổng lợi nhuận trước thuế,2022,-844281.0,2025-04-12
CFM,Tổng lợi nhuận trước thuế,2023,1625967.0,2025-04-12
CFM,Tổng lợi nhuận trước thuế,2024,701124.0,2025-04-12
CFM,Lợi nhuận sau thuế,2021,137098.0,2025-04-12
CFM,Lợi nhuận sau thuế,2022,-844281.0,2025-04-12
CFM,Lợi nhuận sau thuế,2023,1625967.0,2025-04-12
CFM,Lợi nhuận sau thuế,2024,624102.0,2025-04-12
CFM,Lợi nhuận sau thuế của công ty mẹ,2021,137098.0,2025-04-12
CFM,Lợi nhuận sau thuế của công ty mẹ,2022,-844281.0,2025-04-12
CFM,Lợi nhuận sau thuế của công ty mẹ,2023,1625967.0,2025-04-12
CFM,Lợi nhuận sau thuế của công ty mẹ,2024,624102.0,2025-04-12
CFM,Tổng tài sản lưu động ngắn hạn,2021,8590150.0,2025-04-12
CFM,Tổng tài sản lưu động ngắn hạn,2022,2164044.0,2025-04-12
CFM,Tổng tài sản lưu động ngắn hạn,2023,3349476.0,2025-04-12
CFM,Tổng tài sản lưu động ngắn hạn,2024,3854689.0,2025-04-12
CFM,Tổng tài sản,2021,20658615.0,2025-04-12
CFM,Tổng tài sản,2022,19357727.0,2025-04-12
CFM,Tổng tài sản,2023,20331505.0,2025-04-12
CFM,Tổng tài sản,2024,20459374.0,2025-04-12
CFM,Nợ ngắn hạn,2021,1109709.0,2025-04-12
CFM,Nợ ngắn hạn,2022,821268.0,2025-04-12
CFM,Nợ ngắn hạn,2023,297232.0,2025-04-12
CFM,Nợ ngắn hạn,2024,226998.0,2025-04-12
CFM,Tổng nợ,2021,1432028.0,2025-04-12
CFM,Tổng nợ,2022,975421.0,2025-04-12
CFM,Tổng nợ,2023,323232.0,2025-04-12
CFM,Tổng nợ,2024,226998.0,2025-04-12
CFM,Vốn chủ sở hữu,2021,19226587.0,2025-04-12
CFM,Vốn chủ sở hữu,2022,18382306.0,2025-04-12
CFM,Vốn chủ sở hữu,2023,20008273.0,2025-04-12
CFM,Vốn chủ sở hữu,2024,20232376.0,2025-04-12
