symbol,metric,year,value,crawled_date
CGV,Doanh thu bán hàng và CCDV,2021,17915668.0,2025-04-12
CGV,Doanh thu bán hàng và CCDV,2022,29398555.0,2025-04-12
CGV,Doanh thu bán hàng và CCDV,2023,23479278.0,2025-04-12
CGV,Doanh thu bán hàng và CCDV,2024,12826738.0,2025-04-12
CGV,Giá vốn hàng bán,2021,17215616.0,2025-04-12
CGV,Giá vốn hàng bán,2022,23835441.0,2025-04-12
CGV,Giá vốn hàng bán,2023,19297042.0,2025-04-12
CGV,Giá vốn hàng bán,2024,8506699.0,2025-04-12
CGV,Lợi nhuận gộp về BH và CCDV,2021,700052.0,2025-04-12
CGV,Lợi nhuận gộp về BH và CCDV,2022,5563114.0,2025-04-12
CGV,Lợi nhuận gộp về BH và CCDV,2023,4182236.0,2025-04-12
CGV,Lợi nhuận gộp về BH và CCDV,2024,4320039.0,2025-04-12
CGV,Lợi nhuận tài chính,2021,1354998.0,2025-04-12
CGV,Lợi nhuận tài chính,2022,204922.0,2025-04-12
CGV,Lợi nhuận tài chính,2023,2170162.0,2025-04-12
CGV,Lợi nhuận tài chính,2024,2615115.0,2025-04-12
CGV,Lợi nhuận khác,2021,74873.0,2025-04-12
CGV,Lợi nhuận khác,2022,-36655.0,2025-04-12
CGV,Lợi nhuận khác,2023,90909.0,2025-04-12
CGV,Lợi nhuận khác,2024,11653.0,2025-04-12
CGV,Tổng lợi nhuận trước thuế,2021,-3551876.0,2025-04-12
CGV,Tổng lợi nhuận trước thuế,2022,-228702.0,2025-04-12
CGV,Tổng lợi nhuận trước thuế,2023,870873.0,2025-04-12
CGV,Tổng lợi nhuận trước thuế,2024,1700095.0,2025-04-12
CGV,Lợi nhuận sau thuế,2021,-3551876.0,2025-04-12
CGV,Lợi nhuận sau thuế,2022,-256013.0,2025-04-12
CGV,Lợi nhuận sau thuế,2023,843038.0,2025-04-12
CGV,Lợi nhuận sau thuế,2024,1700095.0,2025-04-12
CGV,Lợi nhuận sau thuế của công ty mẹ,2021,-3551876.0,2025-04-12
CGV,Lợi nhuận sau thuế của công ty mẹ,2022,-256013.0,2025-04-12
CGV,Lợi nhuận sau thuế của công ty mẹ,2023,843038.0,2025-04-12
CGV,Lợi nhuận sau thuế của công ty mẹ,2024,1700095.0,2025-04-12
CGV,Tổng tài sản lưu động ngắn hạn,2021,16976326.0,2025-04-12
CGV,Tổng tài sản lưu động ngắn hạn,2022,16222133.0,2025-04-12
CGV,Tổng tài sản lưu động ngắn hạn,2023,16686815.0,2025-04-12
CGV,Tổng tài sản lưu động ngắn hạn,2024,14723131.0,2025-04-12
CGV,Tổng tài sản,2021,102605939.0,2025-04-12
CGV,Tổng tài sản,2022,99367847.0,2025-04-12
CGV,Tổng tài sản,2023,99317657.0,2025-04-12
CGV,Tổng tài sản,2024,97311473.0,2025-04-12
CGV,Nợ ngắn hạn,2021,20340609.0,2025-04-12
CGV,Nợ ngắn hạn,2022,5129027.0,2025-04-12
CGV,Nợ ngắn hạn,2023,15818040.0,2025-04-12
CGV,Nợ ngắn hạn,2024,12149742.0,2025-04-12
CGV,Tổng nợ,2021,21823050.0,2025-04-12
CGV,Tổng nợ,2022,18840971.0,2025-04-12
CGV,Tổng nợ,2023,17947744.0,2025-04-12
CGV,Tổng nợ,2024,14241465.0,2025-04-12
CGV,Vốn chủ sở hữu,2021,80782889.0,2025-04-12
CGV,Vốn chủ sở hữu,2022,80526876.0,2025-04-12
CGV,Vốn chủ sở hữu,2023,81369913.0,2025-04-12
CGV,Vốn chủ sở hữu,2024,83070008.0,2025-04-12
