symbol,metric,year,value,crawled_date
CI5,Doanh thu bán hàng và CCDV,2021,76842141.0,2025-04-12
CI5,Doanh thu bán hàng và CCDV,2022,66733667.0,2025-04-12
CI5,Doanh thu bán hàng và CCDV,2023,50542756.0,2025-04-12
CI5,Doanh thu bán hàng và CCDV,2024,80379587.0,2025-04-12
CI5,Giá vốn hàng bán,2021,69216161.0,2025-04-12
CI5,Giá vốn hàng bán,2022,59447717.0,2025-04-12
CI5,Giá vốn hàng bán,2023,45107166.0,2025-04-12
CI5,Giá vốn hàng bán,2024,71129647.0,2025-04-12
CI5,Lợi nhuận gộp về BH và CCDV,2021,7625980.0,2025-04-12
CI5,Lợi nhuận gộp về BH và CCDV,2022,7285951.0,2025-04-12
CI5,Lợi nhuận gộp về BH và CCDV,2023,5435589.0,2025-04-12
CI5,Lợi nhuận gộp về BH và CCDV,2024,9249940.0,2025-04-12
CI5,Lợi nhuận tài chính,2021,-869792.0,2025-04-12
CI5,Lợi nhuận tài chính,2022,-307046.0,2025-04-12
CI5,Lợi nhuận tài chính,2023,32460.0,2025-04-12
CI5,Lợi nhuận tài chính,2024,-90186.0,2025-04-12
CI5,Lợi nhuận khác,2021,-239180.0,2025-04-12
CI5,Lợi nhuận khác,2022,-113518.0,2025-04-12
CI5,Lợi nhuận khác,2023,-47353.0,2025-04-12
CI5,Lợi nhuận khác,2024,-37748.0,2025-04-12
CI5,Tổng lợi nhuận trước thuế,2021,251768.0,2025-04-12
CI5,Tổng lợi nhuận trước thuế,2022,299279.0,2025-04-12
CI5,Tổng lợi nhuận trước thuế,2023,333806.0,2025-04-12
CI5,Tổng lợi nhuận trước thuế,2024,533356.0,2025-04-12
CI5,Lợi nhuận sau thuế,2021,187467.0,2025-04-12
CI5,Lợi nhuận sau thuế,2022,188324.0,2025-04-12
CI5,Lợi nhuận sau thuế,2023,241680.0,2025-04-12
CI5,Lợi nhuận sau thuế,2024,351171.0,2025-04-12
CI5,Lợi nhuận sau thuế của công ty mẹ,2021,187467.0,2025-04-12
CI5,Lợi nhuận sau thuế của công ty mẹ,2022,188324.0,2025-04-12
CI5,Lợi nhuận sau thuế của công ty mẹ,2023,241680.0,2025-04-12
CI5,Lợi nhuận sau thuế của công ty mẹ,2024,351171.0,2025-04-12
CI5,Tổng tài sản lưu động ngắn hạn,2021,80284279.0,2025-04-12
CI5,Tổng tài sản lưu động ngắn hạn,2022,67483523.0,2025-04-12
CI5,Tổng tài sản lưu động ngắn hạn,2023,47126139.0,2025-04-12
CI5,Tổng tài sản lưu động ngắn hạn,2024,58728012.0,2025-04-12
CI5,Tổng tài sản,2021,89316886.0,2025-04-12
CI5,Tổng tài sản,2022,75259947.0,2025-04-12
CI5,Tổng tài sản,2023,65543363.0,2025-04-12
CI5,Tổng tài sản,2024,75168981.0,2025-04-12
CI5,Nợ ngắn hạn,2021,53720159.0,2025-04-12
CI5,Nợ ngắn hạn,2022,39654896.0,2025-04-12
CI5,Nợ ngắn hạn,2023,29161622.0,2025-04-12
CI5,Nợ ngắn hạn,2024,38925749.0,2025-04-12
CI5,Tổng nợ,2021,53720159.0,2025-04-12
CI5,Tổng nợ,2022,39654896.0,2025-04-12
CI5,Tổng nợ,2023,29884955.0,2025-04-12
CI5,Tổng nợ,2024,39401082.0,2025-04-12
CI5,Vốn chủ sở hữu,2021,35596727.0,2025-04-12
CI5,Vốn chủ sở hữu,2022,35605052.0,2025-04-12
CI5,Vốn chủ sở hữu,2023,35658408.0,2025-04-12
CI5,Vốn chủ sở hữu,2024,35767899.0,2025-04-12
