symbol,metric,year,value,crawled_date
CII,Doanh thu bán hàng và CCDV,2021,2908693563.0,2025-04-12
CII,Doanh thu bán hàng và CCDV,2022,5901690577.0,2025-04-12
CII,Doanh thu bán hàng và CCDV,2023,3195316564.0,2025-04-12
CII,Doanh thu bán hàng và CCDV,2024,3182495931.0,2025-04-12
CII,Giá vốn hàng bán,2021,2036064394.0,2025-04-12
CII,Giá vốn hàng bán,2022,4404023359.0,2025-04-12
CII,Giá vốn hàng bán,2023,1934641231.0,2025-04-12
CII,Giá vốn hàng bán,2024,1363536335.0,2025-04-12
CII,Lợi nhuận gộp về BH và CCDV,2021,823969654.0,2025-04-12
CII,Lợi nhuận gộp về BH và CCDV,2022,1343967310.0,2025-04-12
CII,Lợi nhuận gộp về BH và CCDV,2023,1155068709.0,2025-04-12
CII,Lợi nhuận gộp về BH và CCDV,2024,1664206621.0,2025-04-12
CII,Lợi nhuận tài chính,2021,-346812308.0,2025-04-12
CII,Lợi nhuận tài chính,2022,163023826.0,2025-04-12
CII,Lợi nhuận tài chính,2023,-135499212.0,2025-04-12
CII,Lợi nhuận tài chính,2024,-397195722.0,2025-04-12
CII,Lợi nhuận khác,2021,-31321259.0,2025-04-12
CII,Lợi nhuận khác,2022,-2643066.0,2025-04-12
CII,Lợi nhuận khác,2023,-23932654.0,2025-04-12
CII,Lợi nhuận khác,2024,-46673938.0,2025-04-12
CII,Tổng lợi nhuận trước thuế,2021,-105812578.0,2025-04-12
CII,Tổng lợi nhuận trước thuế,2022,1041314962.0,2025-04-12
CII,Tổng lợi nhuận trước thuế,2023,426951642.0,2025-04-12
CII,Tổng lợi nhuận trước thuế,2024,593460023.0,2025-04-12
CII,Lợi nhuận sau thuế,2021,-242076368.0,2025-04-12
CII,Lợi nhuận sau thuế,2022,860548281.0,2025-04-12
CII,Lợi nhuận sau thuế,2023,369952271.0,2025-04-12
CII,Lợi nhuận sau thuế,2024,618285446.0,2025-04-12
CII,Lợi nhuận sau thuế của công ty mẹ,2021,-332403203.0,2025-04-12
CII,Lợi nhuận sau thuế của công ty mẹ,2022,695146941.0,2025-04-12
CII,Lợi nhuận sau thuế của công ty mẹ,2023,178239051.0,2025-04-12
CII,Lợi nhuận sau thuế của công ty mẹ,2024,257224236.0,2025-04-12
CII,Tổng tài sản lưu động ngắn hạn,2021,10497488947.0,2025-04-12
CII,Tổng tài sản lưu động ngắn hạn,2022,7226742092.0,2025-04-12
CII,Tổng tài sản lưu động ngắn hạn,2023,6910759135.0,2025-04-12
CII,Tổng tài sản lưu động ngắn hạn,2024,8549165026.0,2025-04-12
CII,Tổng tài sản,2021,30870173187.0,2025-04-12
CII,Tổng tài sản,2022,28559496485.0,2025-04-12
CII,Tổng tài sản,2023,33184094516.0,2025-04-12
CII,Tổng tài sản,2024,36671413228.0,2025-04-12
CII,Nợ ngắn hạn,2021,9158744876.0,2025-04-12
CII,Nợ ngắn hạn,2022,9570468970.0,2025-04-12
CII,Nợ ngắn hạn,2023,8144174340.0,2025-04-12
CII,Nợ ngắn hạn,2024,8961342196.0,2025-04-12
CII,Tổng nợ,2021,22491394695.0,2025-04-12
CII,Tổng nợ,2022,20258490378.0,2025-04-12
CII,Tổng nợ,2023,24678766295.0,2025-04-12
CII,Tổng nợ,2024,27547027571.0,2025-04-12
CII,Vốn chủ sở hữu,2021,8378778492.0,2025-04-12
CII,Vốn chủ sở hữu,2022,8301006107.0,2025-04-12
CII,Vốn chủ sở hữu,2023,8505328221.0,2025-04-12
CII,Vốn chủ sở hữu,2024,9124385657.0,2025-04-12
