symbol,metric,year,value,crawled_date
CLC,Doanh thu bán hàng và CCDV,2022,2304869187.0,2025-04-12
CLC,Doanh thu bán hàng và CCDV,2023,2970911733.0,2025-04-12
CLC,Doanh thu bán hàng và CCDV,2023,2970911733.0,2025-04-12
CLC,Doanh thu bán hàng và CCDV,2024,3691795748.0,2025-04-12
CLC,Giá vốn hàng bán,2022,1989917569.0,2025-04-12
CLC,Giá vốn hàng bán,2023,2639172829.0,2025-04-12
CLC,Giá vốn hàng bán,2023,2639172829.0,2025-04-12
CLC,Giá vốn hàng bán,2024,3284713079.0,2025-04-12
CLC,Lợi nhuận gộp về BH và CCDV,2022,314951618.0,2025-04-12
CLC,Lợi nhuận gộp về BH và CCDV,2023,331657199.0,2025-04-12
CLC,Lợi nhuận gộp về BH và CCDV,2023,331657199.0,2025-04-12
CLC,Lợi nhuận gộp về BH và CCDV,2024,407010738.0,2025-04-12
CLC,Lợi nhuận tài chính,2022,-30458429.0,2025-04-12
CLC,Lợi nhuận tài chính,2023,-43722256.0,2025-04-12
CLC,Lợi nhuận tài chính,2023,-43722256.0,2025-04-12
CLC,Lợi nhuận tài chính,2024,-59354777.0,2025-04-12
CLC,Lợi nhuận khác,2022,1241388.0,2025-04-12
CLC,Lợi nhuận khác,2023,533918.0,2025-04-12
CLC,Lợi nhuận khác,2023,533918.0,2025-04-12
CLC,Lợi nhuận khác,2024,803904.0,2025-04-12
CLC,Tổng lợi nhuận trước thuế,2022,175940587.0,2025-04-12
CLC,Tổng lợi nhuận trước thuế,2023,176074786.0,2025-04-12
CLC,Tổng lợi nhuận trước thuế,2023,176074786.0,2025-04-12
CLC,Tổng lợi nhuận trước thuế,2024,190291998.0,2025-04-12
CLC,Lợi nhuận sau thuế,2022,140450357.0,2025-04-12
CLC,Lợi nhuận sau thuế,2023,140365487.0,2025-04-12
CLC,Lợi nhuận sau thuế,2023,140365487.0,2025-04-12
CLC,Lợi nhuận sau thuế,2024,150229089.0,2025-04-12
CLC,Lợi nhuận sau thuế của công ty mẹ,2022,140450357.0,2025-04-12
CLC,Lợi nhuận sau thuế của công ty mẹ,2023,140365487.0,2025-04-12
CLC,Lợi nhuận sau thuế của công ty mẹ,2023,140365487.0,2025-04-12
CLC,Lợi nhuận sau thuế của công ty mẹ,2024,150229089.0,2025-04-12
CLC,Tổng tài sản lưu động ngắn hạn,2022,1340988754.0,2025-04-12
CLC,Tổng tài sản lưu động ngắn hạn,2023,1452788973.0,2025-04-12
CLC,Tổng tài sản lưu động ngắn hạn,2023,1452788973.0,2025-04-12
CLC,Tổng tài sản lưu động ngắn hạn,2024,1841282096.0,2025-04-12
CLC,Tổng tài sản,2022,1385113013.0,2025-04-12
CLC,Tổng tài sản,2023,1566793217.0,2025-04-12
CLC,Tổng tài sản,2023,1566793217.0,2025-04-12
CLC,Tổng tài sản,2024,1955275824.0,2025-04-12
CLC,Nợ ngắn hạn,2022,542966409.0,2025-04-12
CLC,Nợ ngắn hạn,2023,690689902.0,2025-04-12
CLC,Nợ ngắn hạn,2023,690689902.0,2025-04-12
CLC,Nợ ngắn hạn,2024,1024694766.0,2025-04-12
CLC,Tổng nợ,2022,543472404.0,2025-04-12
CLC,Tổng nợ,2023,691195897.0,2025-04-12
CLC,Tổng nợ,2023,691195897.0,2025-04-12
CLC,Tổng nợ,2024,1045472119.0,2025-04-12
CLC,Vốn chủ sở hữu,2022,841640609.0,2025-04-12
CLC,Vốn chủ sở hữu,2023,875597321.0,2025-04-12
CLC,Vốn chủ sở hữu,2023,875597321.0,2025-04-12
CLC,Vốn chủ sở hữu,2024,909803704.0,2025-04-12
