symbol,metric,year,value,crawled_date
CLH,Doanh thu bán hàng và CCDV,2021,733785505.0,2025-04-12
CLH,Doanh thu bán hàng và CCDV,2022,811808649.0,2025-04-12
CLH,Doanh thu bán hàng và CCDV,2023,659208559.0,2025-04-12
CLH,Doanh thu bán hàng và CCDV,2024,661186028.0,2025-04-12
CLH,Giá vốn hàng bán,2021,620235279.0,2025-04-12
CLH,Giá vốn hàng bán,2022,688467447.0,2025-04-12
CLH,Giá vốn hàng bán,2023,556779139.0,2025-04-12
CLH,Giá vốn hàng bán,2024,566882405.0,2025-04-12
CLH,Lợi nhuận gộp về BH và CCDV,2021,113550226.0,2025-04-12
CLH,Lợi nhuận gộp về BH và CCDV,2022,123341202.0,2025-04-12
CLH,Lợi nhuận gộp về BH và CCDV,2023,102409429.0,2025-04-12
CLH,Lợi nhuận gộp về BH và CCDV,2024,94303623.0,2025-04-12
CLH,Lợi nhuận tài chính,2021,-1045563.0,2025-04-12
CLH,Lợi nhuận tài chính,2022,2777264.0,2025-04-12
CLH,Lợi nhuận tài chính,2023,5480536.0,2025-04-12
CLH,Lợi nhuận tài chính,2024,4557927.0,2025-04-12
CLH,Lợi nhuận khác,2021,-5678.0,2025-04-12
CLH,Lợi nhuận khác,2022,-846057.0,2025-04-12
CLH,Lợi nhuận khác,2023,-264387.0,2025-04-12
CLH,Lợi nhuận khác,2024,-39203.0,2025-04-12
CLH,Tổng lợi nhuận trước thuế,2021,68383375.0,2025-04-12
CLH,Tổng lợi nhuận trước thuế,2022,70444779.0,2025-04-12
CLH,Tổng lợi nhuận trước thuế,2023,60232915.0,2025-04-12
CLH,Tổng lợi nhuận trước thuế,2024,48504796.0,2025-04-12
CLH,Lợi nhuận sau thuế,2021,54488143.0,2025-04-12
CLH,Lợi nhuận sau thuế,2022,56034838.0,2025-04-12
CLH,Lợi nhuận sau thuế,2023,47118163.0,2025-04-12
CLH,Lợi nhuận sau thuế,2024,38679264.0,2025-04-12
CLH,Lợi nhuận sau thuế của công ty mẹ,2021,54488143.0,2025-04-12
CLH,Lợi nhuận sau thuế của công ty mẹ,2022,56034838.0,2025-04-12
CLH,Lợi nhuận sau thuế của công ty mẹ,2023,47118163.0,2025-04-12
CLH,Lợi nhuận sau thuế của công ty mẹ,2024,38679264.0,2025-04-12
CLH,Tổng tài sản lưu động ngắn hạn,2021,119301234.0,2025-04-12
CLH,Tổng tài sản lưu động ngắn hạn,2022,179732654.0,2025-04-12
CLH,Tổng tài sản lưu động ngắn hạn,2023,195379803.0,2025-04-12
CLH,Tổng tài sản lưu động ngắn hạn,2024,210022922.0,2025-04-12
CLH,Tổng tài sản,2021,307523966.0,2025-04-12
CLH,Tổng tài sản,2022,319238155.0,2025-04-12
CLH,Tổng tài sản,2023,303338133.0,2025-04-12
CLH,Tổng tài sản,2024,312128966.0,2025-04-12
CLH,Nợ ngắn hạn,2021,95636125.0,2025-04-12
CLH,Nợ ngắn hạn,2022,110461030.0,2025-04-12
CLH,Nợ ngắn hạn,2023,103543282.0,2025-04-12
CLH,Nợ ngắn hạn,2024,111235227.0,2025-04-12
CLH,Tổng nợ,2021,103620660.0,2025-04-12
CLH,Tổng nợ,2022,115981696.0,2025-04-12
CLH,Tổng nợ,2023,106598348.0,2025-04-12
CLH,Tổng nợ,2024,111828080.0,2025-04-12
CLH,Vốn chủ sở hữu,2021,203903306.0,2025-04-12
CLH,Vốn chủ sở hữu,2022,203256460.0,2025-04-12
CLH,Vốn chủ sở hữu,2023,196739784.0,2025-04-12
CLH,Vốn chủ sở hữu,2024,200300886.0,2025-04-12
