symbol,metric,year,value,crawled_date
CLW,Doanh thu bán hàng và CCDV,2022,1253770527.0,2025-04-12
CLW,Doanh thu bán hàng và CCDV,2023,1304827539.0,2025-04-12
CLW,Doanh thu bán hàng và CCDV,2023,1304827539.0,2025-04-12
CLW,Doanh thu bán hàng và CCDV,2024,1303898425.0,2025-04-12
CLW,Giá vốn hàng bán,2022,1121134976.0,2025-04-12
CLW,Giá vốn hàng bán,2023,1135903944.0,2025-04-12
CLW,Giá vốn hàng bán,2023,1135903944.0,2025-04-12
CLW,Giá vốn hàng bán,2024,1106719684.0,2025-04-12
CLW,Lợi nhuận gộp về BH và CCDV,2022,131970640.0,2025-04-12
CLW,Lợi nhuận gộp về BH và CCDV,2023,168509004.0,2025-04-12
CLW,Lợi nhuận gộp về BH và CCDV,2023,168509004.0,2025-04-12
CLW,Lợi nhuận gộp về BH và CCDV,2024,196729588.0,2025-04-12
CLW,Lợi nhuận tài chính,2022,2199171.0,2025-04-12
CLW,Lợi nhuận tài chính,2023,5816490.0,2025-04-12
CLW,Lợi nhuận tài chính,2023,5816490.0,2025-04-12
CLW,Lợi nhuận tài chính,2024,130166.0,2025-04-12
CLW,Lợi nhuận khác,2022,2676932.0,2025-04-12
CLW,Lợi nhuận khác,2023,-1355749.0,2025-04-12
CLW,Lợi nhuận khác,2023,-1355749.0,2025-04-12
CLW,Lợi nhuận khác,2024,301675.0,2025-04-12
CLW,Tổng lợi nhuận trước thuế,2022,38065105.0,2025-04-12
CLW,Tổng lợi nhuận trước thuế,2023,61396645.0,2025-04-12
CLW,Tổng lợi nhuận trước thuế,2023,61396645.0,2025-04-12
CLW,Tổng lợi nhuận trước thuế,2024,67621259.0,2025-04-12
CLW,Lợi nhuận sau thuế,2022,30122538.0,2025-04-12
CLW,Lợi nhuận sau thuế,2023,48561330.0,2025-04-12
CLW,Lợi nhuận sau thuế,2023,48561330.0,2025-04-12
CLW,Lợi nhuận sau thuế,2024,53939787.0,2025-04-12
CLW,Lợi nhuận sau thuế của công ty mẹ,2022,30122538.0,2025-04-12
CLW,Lợi nhuận sau thuế của công ty mẹ,2023,48561330.0,2025-04-12
CLW,Lợi nhuận sau thuế của công ty mẹ,2023,48561330.0,2025-04-12
CLW,Lợi nhuận sau thuế của công ty mẹ,2024,53939787.0,2025-04-12
CLW,Tổng tài sản lưu động ngắn hạn,2022,268156016.0,2025-04-12
CLW,Tổng tài sản lưu động ngắn hạn,2023,322315097.0,2025-04-12
CLW,Tổng tài sản lưu động ngắn hạn,2023,322315097.0,2025-04-12
CLW,Tổng tài sản lưu động ngắn hạn,2024,262361252.0,2025-04-12
CLW,Tổng tài sản,2022,505946585.0,2025-04-12
CLW,Tổng tài sản,2023,576264899.0,2025-04-12
CLW,Tổng tài sản,2023,576264899.0,2025-04-12
CLW,Tổng tài sản,2024,570234998.0,2025-04-12
CLW,Nợ ngắn hạn,2022,179188051.0,2025-04-12
CLW,Nợ ngắn hạn,2023,262743744.0,2025-04-12
CLW,Nợ ngắn hạn,2023,262743744.0,2025-04-12
CLW,Nợ ngắn hạn,2024,234265050.0,2025-04-12
CLW,Tổng nợ,2022,261563552.0,2025-04-12
CLW,Tổng nợ,2023,347614633.0,2025-04-12
CLW,Tổng nợ,2023,347614633.0,2025-04-12
CLW,Tổng nợ,2024,314574316.0,2025-04-12
CLW,Vốn chủ sở hữu,2022,244383033.0,2025-04-12
CLW,Vốn chủ sở hữu,2023,228650266.0,2025-04-12
CLW,Vốn chủ sở hữu,2023,228650266.0,2025-04-12
CLW,Vốn chủ sở hữu,2024,255660681.0,2025-04-12
