symbol,metric,year,value,crawled_date
CMF,Doanh thu bán hàng và CCDV,2021,2513046159.0,2025-04-12
CMF,Doanh thu bán hàng và CCDV,2022,3219870140.0,2025-04-12
CMF,Doanh thu bán hàng và CCDV,2023,3411894168.0,2025-04-12
CMF,Doanh thu bán hàng và CCDV,2024,3721507572.0,2025-04-12
CMF,Giá vốn hàng bán,2021,1834808392.0,2025-04-12
CMF,Giá vốn hàng bán,2022,2332750081.0,2025-04-12
CMF,Giá vốn hàng bán,2023,2509269078.0,2025-04-12
CMF,Giá vốn hàng bán,2024,2674271656.0,2025-04-12
CMF,Lợi nhuận gộp về BH và CCDV,2021,673792663.0,2025-04-12
CMF,Lợi nhuận gộp về BH và CCDV,2022,886289174.0,2025-04-12
CMF,Lợi nhuận gộp về BH và CCDV,2023,901105845.0,2025-04-12
CMF,Lợi nhuận gộp về BH và CCDV,2024,1042965907.0,2025-04-12
CMF,Lợi nhuận tài chính,2021,20620900.0,2025-04-12
CMF,Lợi nhuận tài chính,2022,28023209.0,2025-04-12
CMF,Lợi nhuận tài chính,2023,30274947.0,2025-04-12
CMF,Lợi nhuận tài chính,2024,27346616.0,2025-04-12
CMF,Lợi nhuận khác,2021,3846570.0,2025-04-12
CMF,Lợi nhuận khác,2022,2050656.0,2025-04-12
CMF,Lợi nhuận khác,2023,1267724.0,2025-04-12
CMF,Lợi nhuận khác,2024,2564917.0,2025-04-12
CMF,Tổng lợi nhuận trước thuế,2021,232484219.0,2025-04-12
CMF,Tổng lợi nhuận trước thuế,2022,277065240.0,2025-04-12
CMF,Tổng lợi nhuận trước thuế,2023,289481810.0,2025-04-12
CMF,Tổng lợi nhuận trước thuế,2024,315822706.0,2025-04-12
CMF,Lợi nhuận sau thuế,2021,185987375.0,2025-04-12
CMF,Lợi nhuận sau thuế,2022,221652192.0,2025-04-12
CMF,Lợi nhuận sau thuế,2023,231585448.0,2025-04-12
CMF,Lợi nhuận sau thuế,2024,250105820.0,2025-04-12
CMF,Lợi nhuận sau thuế của công ty mẹ,2021,185987375.0,2025-04-12
CMF,Lợi nhuận sau thuế của công ty mẹ,2022,221652192.0,2025-04-12
CMF,Lợi nhuận sau thuế của công ty mẹ,2023,231585448.0,2025-04-12
CMF,Lợi nhuận sau thuế của công ty mẹ,2024,250105820.0,2025-04-12
CMF,Tổng tài sản lưu động ngắn hạn,2021,863962937.0,2025-04-12
CMF,Tổng tài sản lưu động ngắn hạn,2022,1045011672.0,2025-04-12
CMF,Tổng tài sản lưu động ngắn hạn,2023,999148249.0,2025-04-12
CMF,Tổng tài sản lưu động ngắn hạn,2024,1040923813.0,2025-04-12
CMF,Tổng tài sản,2021,1161803753.0,2025-04-12
CMF,Tổng tài sản,2022,1429592166.0,2025-04-12
CMF,Tổng tài sản,2023,1616529891.0,2025-04-12
CMF,Tổng tài sản,2024,1903648605.0,2025-04-12
CMF,Nợ ngắn hạn,2021,486314312.0,2025-04-12
CMF,Nợ ngắn hạn,2022,594183903.0,2025-04-12
CMF,Nợ ngắn hạn,2023,592282300.0,2025-04-12
CMF,Nợ ngắn hạn,2024,684262352.0,2025-04-12
CMF,Tổng nợ,2021,492459438.0,2025-04-12
CMF,Tổng nợ,2022,600329028.0,2025-04-12
CMF,Tổng nợ,2023,621163915.0,2025-04-12
CMF,Tổng nợ,2024,724764082.0,2025-04-12
CMF,Vốn chủ sở hữu,2021,669344314.0,2025-04-12
CMF,Vốn chủ sở hữu,2022,829263138.0,2025-04-12
CMF,Vốn chủ sở hữu,2023,995365976.0,2025-04-12
CMF,Vốn chủ sở hữu,2024,1178884524.0,2025-04-12
