symbol,metric,year,value,crawled_date
CMM,Doanh thu bán hàng và CCDV,2021,2043784498.0,2025-04-12
CMM,Doanh thu bán hàng và CCDV,2022,2436532789.0,2025-04-12
CMM,Doanh thu bán hàng và CCDV,2023,1920973975.0,2025-04-12
CMM,Doanh thu bán hàng và CCDV,2024,2648136725.0,2025-04-12
CMM,Giá vốn hàng bán,2021,1794627413.0,2025-04-12
CMM,Giá vốn hàng bán,2022,2084805099.0,2025-04-12
CMM,Giá vốn hàng bán,2023,1658943453.0,2025-04-12
CMM,Giá vốn hàng bán,2024,2289208044.0,2025-04-12
CMM,Lợi nhuận gộp về BH và CCDV,2021,246037151.0,2025-04-12
CMM,Lợi nhuận gộp về BH và CCDV,2022,329390943.0,2025-04-12
CMM,Lợi nhuận gộp về BH và CCDV,2023,254505572.0,2025-04-12
CMM,Lợi nhuận gộp về BH và CCDV,2024,358641170.0,2025-04-12
CMM,Lợi nhuận tài chính,2021,-39836168.0,2025-04-12
CMM,Lợi nhuận tài chính,2022,-47614617.0,2025-04-12
CMM,Lợi nhuận tài chính,2023,-70584919.0,2025-04-12
CMM,Lợi nhuận tài chính,2024,-123022171.0,2025-04-12
CMM,Lợi nhuận khác,2021,1455732.0,2025-04-12
CMM,Lợi nhuận khác,2022,-101503.0,2025-04-12
CMM,Lợi nhuận khác,2023,-7274813.0,2025-04-12
CMM,Lợi nhuận khác,2024,22290492.0,2025-04-12
CMM,Tổng lợi nhuận trước thuế,2021,74610632.0,2025-04-12
CMM,Tổng lợi nhuận trước thuế,2022,120989011.0,2025-04-12
CMM,Tổng lợi nhuận trước thuế,2023,51486985.0,2025-04-12
CMM,Tổng lợi nhuận trước thuế,2024,74413637.0,2025-04-12
CMM,Lợi nhuận sau thuế,2021,64012111.0,2025-04-12
CMM,Lợi nhuận sau thuế,2022,106910789.0,2025-04-12
CMM,Lợi nhuận sau thuế,2023,44783600.0,2025-04-12
CMM,Lợi nhuận sau thuế,2024,54534768.0,2025-04-12
CMM,Lợi nhuận sau thuế của công ty mẹ,2021,63720543.0,2025-04-12
CMM,Lợi nhuận sau thuế của công ty mẹ,2022,107111154.0,2025-04-12
CMM,Lợi nhuận sau thuế của công ty mẹ,2023,44675788.0,2025-04-12
CMM,Lợi nhuận sau thuế của công ty mẹ,2024,54469385.0,2025-04-12
CMM,Tổng tài sản lưu động ngắn hạn,2021,1353778365.0,2025-04-12
CMM,Tổng tài sản lưu động ngắn hạn,2022,1668492642.0,2025-04-12
CMM,Tổng tài sản lưu động ngắn hạn,2023,1968620837.0,2025-04-12
CMM,Tổng tài sản lưu động ngắn hạn,2024,2379685885.0,2025-04-12
CMM,Tổng tài sản,2021,1921779147.0,2025-04-12
CMM,Tổng tài sản,2022,2214198778.0,2025-04-12
CMM,Tổng tài sản,2023,2745915510.0,2025-04-12
CMM,Tổng tài sản,2024,3286394747.0,2025-04-12
CMM,Nợ ngắn hạn,2021,924729188.0,2025-04-12
CMM,Nợ ngắn hạn,2022,1224212242.0,2025-04-12
CMM,Nợ ngắn hạn,2023,1588996172.0,2025-04-12
CMM,Nợ ngắn hạn,2024,1582876542.0,2025-04-12
CMM,Tổng nợ,2021,1049806844.0,2025-04-12
CMM,Tổng nợ,2022,1248118108.0,2025-04-12
CMM,Tổng nợ,2023,1735051239.0,2025-04-12
CMM,Tổng nợ,2024,2187223931.0,2025-04-12
CMM,Vốn chủ sở hữu,2021,871972303.0,2025-04-12
CMM,Vốn chủ sở hữu,2022,966080670.0,2025-04-12
CMM,Vốn chủ sở hữu,2023,1010864270.0,2025-04-12
CMM,Vốn chủ sở hữu,2024,1099170816.0,2025-04-12
