symbol,metric,year,value,crawled_date
CMN,Doanh thu bán hàng và CCDV,2021,573814559.0,2025-04-12
CMN,Doanh thu bán hàng và CCDV,2022,634158421.0,2025-04-12
CMN,Doanh thu bán hàng và CCDV,2023,723287328.0,2025-04-12
CMN,Doanh thu bán hàng và CCDV,2024,744403717.0,2025-04-12
CMN,Giá vốn hàng bán,2021,448901736.0,2025-04-12
CMN,Giá vốn hàng bán,2022,493687686.0,2025-04-12
CMN,Giá vốn hàng bán,2023,538138944.0,2025-04-12
CMN,Giá vốn hàng bán,2024,534814780.0,2025-04-12
CMN,Lợi nhuận gộp về BH và CCDV,2021,122396909.0,2025-04-12
CMN,Lợi nhuận gộp về BH và CCDV,2022,137517069.0,2025-04-12
CMN,Lợi nhuận gộp về BH và CCDV,2023,181128911.0,2025-04-12
CMN,Lợi nhuận gộp về BH và CCDV,2024,204899359.0,2025-04-12
CMN,Lợi nhuận tài chính,2021,6807985.0,2025-04-12
CMN,Lợi nhuận tài chính,2022,6156415.0,2025-04-12
CMN,Lợi nhuận tài chính,2023,12023367.0,2025-04-12
CMN,Lợi nhuận tài chính,2024,14969122.0,2025-04-12
CMN,Lợi nhuận khác,2021,130662.0,2025-04-12
CMN,Lợi nhuận khác,2022,24689.0,2025-04-12
CMN,Lợi nhuận khác,2023,-5835030.0,2025-04-12
CMN,Lợi nhuận khác,2024,-359837.0,2025-04-12
CMN,Tổng lợi nhuận trước thuế,2021,18099590.0,2025-04-12
CMN,Tổng lợi nhuận trước thuế,2022,26731806.0,2025-04-12
CMN,Tổng lợi nhuận trước thuế,2023,27917733.0,2025-04-12
CMN,Tổng lợi nhuận trước thuế,2024,29231014.0,2025-04-12
CMN,Lợi nhuận sau thuế,2021,14223414.0,2025-04-12
CMN,Lợi nhuận sau thuế,2022,21127756.0,2025-04-12
CMN,Lợi nhuận sau thuế,2023,20919463.0,2025-04-12
CMN,Lợi nhuận sau thuế,2024,23051781.0,2025-04-12
CMN,Lợi nhuận sau thuế của công ty mẹ,2021,14223414.0,2025-04-12
CMN,Lợi nhuận sau thuế của công ty mẹ,2022,21127756.0,2025-04-12
CMN,Lợi nhuận sau thuế của công ty mẹ,2023,20919463.0,2025-04-12
CMN,Lợi nhuận sau thuế của công ty mẹ,2024,23051781.0,2025-04-12
CMN,Tổng tài sản lưu động ngắn hạn,2021,242802566.0,2025-04-12
CMN,Tổng tài sản lưu động ngắn hạn,2022,252739604.0,2025-04-12
CMN,Tổng tài sản lưu động ngắn hạn,2023,271252408.0,2025-04-12
CMN,Tổng tài sản lưu động ngắn hạn,2024,281025004.0,2025-04-12
CMN,Tổng tài sản,2021,253754743.0,2025-04-12
CMN,Tổng tài sản,2022,263224318.0,2025-04-12
CMN,Tổng tài sản,2023,291417884.0,2025-04-12
CMN,Tổng tài sản,2024,300344738.0,2025-04-12
CMN,Nợ ngắn hạn,2021,114271609.0,2025-04-12
CMN,Nợ ngắn hạn,2022,113806940.0,2025-04-12
CMN,Nợ ngắn hạn,2023,134996455.0,2025-04-12
CMN,Nợ ngắn hạn,2024,137389448.0,2025-04-12
CMN,Tổng nợ,2021,114271609.0,2025-04-12
CMN,Tổng nợ,2022,113806940.0,2025-04-12
CMN,Tổng nợ,2023,137630207.0,2025-04-12
CMN,Tổng nợ,2024,140023200.0,2025-04-12
CMN,Vốn chủ sở hữu,2021,139483134.0,2025-04-12
CMN,Vốn chủ sở hữu,2022,149417378.0,2025-04-12
CMN,Vốn chủ sở hữu,2023,153787677.0,2025-04-12
CMN,Vốn chủ sở hữu,2024,160321538.0,2025-04-12
