symbol,metric,year,value,crawled_date
CMP,Doanh thu bán hàng và CCDV,2022,182472291.0,2025-04-12
CMP,Doanh thu bán hàng và CCDV,2023,227424258.0,2025-04-12
CMP,Doanh thu bán hàng và CCDV,2023,227424258.0,2025-04-12
CMP,Doanh thu bán hàng và CCDV,2024,383208049.0,2025-04-12
CMP,Giá vốn hàng bán,2022,143215316.0,2025-04-12
CMP,Giá vốn hàng bán,2023,181985494.0,2025-04-12
CMP,Giá vốn hàng bán,2023,181985494.0,2025-04-12
CMP,Giá vốn hàng bán,2024,293150943.0,2025-04-12
CMP,Lợi nhuận gộp về BH và CCDV,2022,39256975.0,2025-04-12
CMP,Lợi nhuận gộp về BH và CCDV,2023,45438764.0,2025-04-12
CMP,Lợi nhuận gộp về BH và CCDV,2023,45438764.0,2025-04-12
CMP,Lợi nhuận gộp về BH và CCDV,2024,90057106.0,2025-04-12
CMP,Lợi nhuận tài chính,2022,-16298024.0,2025-04-12
CMP,Lợi nhuận tài chính,2023,-16857105.0,2025-04-12
CMP,Lợi nhuận tài chính,2023,-16857105.0,2025-04-12
CMP,Lợi nhuận tài chính,2024,-12565642.0,2025-04-12
CMP,Lợi nhuận khác,2022,892.0,2025-04-12
CMP,Lợi nhuận khác,2023,-12307.0,2025-04-12
CMP,Lợi nhuận khác,2023,-12307.0,2025-04-12
CMP,Lợi nhuận khác,2024,-98943.0,2025-04-12
CMP,Tổng lợi nhuận trước thuế,2022,-9361803.0,2025-04-12
CMP,Tổng lợi nhuận trước thuế,2023,-7387996.0,2025-04-12
CMP,Tổng lợi nhuận trước thuế,2023,-7387996.0,2025-04-12
CMP,Tổng lợi nhuận trước thuế,2024,28490800.0,2025-04-12
CMP,Lợi nhuận sau thuế,2022,-9361803.0,2025-04-12
CMP,Lợi nhuận sau thuế,2023,-7396156.0,2025-04-12
CMP,Lợi nhuận sau thuế,2023,-7396156.0,2025-04-12
CMP,Lợi nhuận sau thuế,2024,25560240.0,2025-04-12
CMP,Lợi nhuận sau thuế của công ty mẹ,2022,-9361803.0,2025-04-12
CMP,Lợi nhuận sau thuế của công ty mẹ,2023,-7396156.0,2025-04-12
CMP,Lợi nhuận sau thuế của công ty mẹ,2023,-7396156.0,2025-04-12
CMP,Lợi nhuận sau thuế của công ty mẹ,2024,25560240.0,2025-04-12
CMP,Tổng tài sản lưu động ngắn hạn,2022,114877434.0,2025-04-12
CMP,Tổng tài sản lưu động ngắn hạn,2023,102138046.0,2025-04-12
CMP,Tổng tài sản lưu động ngắn hạn,2023,102138046.0,2025-04-12
CMP,Tổng tài sản lưu động ngắn hạn,2024,148190945.0,2025-04-12
CMP,Tổng tài sản,2022,697791820.0,2025-04-12
CMP,Tổng tài sản,2023,671189410.0,2025-04-12
CMP,Tổng tài sản,2023,671189410.0,2025-04-12
CMP,Tổng tài sản,2024,693392368.0,2025-04-12
CMP,Nợ ngắn hạn,2022,91222139.0,2025-04-12
CMP,Nợ ngắn hạn,2023,89688062.0,2025-04-12
CMP,Nợ ngắn hạn,2023,89688062.0,2025-04-12
CMP,Nợ ngắn hạn,2024,110057599.0,2025-04-12
CMP,Tổng nợ,2022,355839892.0,2025-04-12
CMP,Tổng nợ,2023,336633638.0,2025-04-12
CMP,Tổng nợ,2023,336633638.0,2025-04-12
CMP,Tổng nợ,2024,333276357.0,2025-04-12
CMP,Vốn chủ sở hữu,2022,341951928.0,2025-04-12
CMP,Vốn chủ sở hữu,2023,334555772.0,2025-04-12
CMP,Vốn chủ sở hữu,2023,334555772.0,2025-04-12
CMP,Vốn chủ sở hữu,2024,360116012.0,2025-04-12
