symbol,metric,year,value,crawled_date
CNC,Doanh thu bán hàng và CCDV,2021,545255665.0,2025-04-12
CNC,Doanh thu bán hàng và CCDV,2022,583419812.0,2025-04-12
CNC,Doanh thu bán hàng và CCDV,2023,515933133.0,2025-04-12
CNC,Doanh thu bán hàng và CCDV,2024,501965988.0,2025-04-12
CNC,Giá vốn hàng bán,2021,422280986.0,2025-04-12
CNC,Giá vốn hàng bán,2022,455597921.0,2025-04-12
CNC,Giá vốn hàng bán,2023,408003324.0,2025-04-12
CNC,Giá vốn hàng bán,2024,392164749.0,2025-04-12
CNC,Lợi nhuận gộp về BH và CCDV,2021,122897290.0,2025-04-12
CNC,Lợi nhuận gộp về BH và CCDV,2022,127821891.0,2025-04-12
CNC,Lợi nhuận gộp về BH và CCDV,2023,106807586.0,2025-04-12
CNC,Lợi nhuận gộp về BH và CCDV,2024,108796491.0,2025-04-12
CNC,Lợi nhuận tài chính,2021,511027.0,2025-04-12
CNC,Lợi nhuận tài chính,2022,1128863.0,2025-04-12
CNC,Lợi nhuận tài chính,2023,2326416.0,2025-04-12
CNC,Lợi nhuận tài chính,2024,1900913.0,2025-04-12
CNC,Lợi nhuận khác,2021,11853.0,2025-04-12
CNC,Lợi nhuận khác,2022,108781.0,2025-04-12
CNC,Lợi nhuận khác,2024,-148392.0,2025-04-12
CNC,Tổng lợi nhuận trước thuế,2021,49199675.0,2025-04-12
CNC,Tổng lợi nhuận trước thuế,2022,57237168.0,2025-04-12
CNC,Tổng lợi nhuận trước thuế,2023,50229833.0,2025-04-12
CNC,Tổng lợi nhuận trước thuế,2024,45857682.0,2025-04-12
CNC,Lợi nhuận sau thuế,2021,43074047.0,2025-04-12
CNC,Lợi nhuận sau thuế,2022,45009292.0,2025-04-12
CNC,Lợi nhuận sau thuế,2023,39458546.0,2025-04-12
CNC,Lợi nhuận sau thuế,2024,36001397.0,2025-04-12
CNC,Lợi nhuận sau thuế của công ty mẹ,2021,43074047.0,2025-04-12
CNC,Lợi nhuận sau thuế của công ty mẹ,2022,45009292.0,2025-04-12
CNC,Lợi nhuận sau thuế của công ty mẹ,2023,39458546.0,2025-04-12
CNC,Lợi nhuận sau thuế của công ty mẹ,2024,36001397.0,2025-04-12
CNC,Tổng tài sản lưu động ngắn hạn,2021,185676516.0,2025-04-12
CNC,Tổng tài sản lưu động ngắn hạn,2022,257508019.0,2025-04-12
CNC,Tổng tài sản lưu động ngắn hạn,2023,264563029.0,2025-04-12
CNC,Tổng tài sản lưu động ngắn hạn,2024,266706917.0,2025-04-12
CNC,Tổng tài sản,2021,278604403.0,2025-04-12
CNC,Tổng tài sản,2022,353092707.0,2025-04-12
CNC,Tổng tài sản,2023,366242843.0,2025-04-12
CNC,Tổng tài sản,2024,389452940.0,2025-04-12
CNC,Nợ ngắn hạn,2021,116766145.0,2025-04-12
CNC,Nợ ngắn hạn,2022,179206805.0,2025-04-12
CNC,Nợ ngắn hạn,2023,185255063.0,2025-04-12
CNC,Nợ ngắn hạn,2024,198792552.0,2025-04-12
CNC,Tổng nợ,2021,116766145.0,2025-04-12
CNC,Tổng nợ,2022,179206805.0,2025-04-12
CNC,Tổng nợ,2023,185255063.0,2025-04-12
CNC,Tổng nợ,2024,198792552.0,2025-04-12
CNC,Vốn chủ sở hữu,2021,161838258.0,2025-04-12
CNC,Vốn chủ sở hữu,2022,173885901.0,2025-04-12
CNC,Vốn chủ sở hữu,2023,180987780.0,2025-04-12
CNC,Vốn chủ sở hữu,2024,190660388.0,2025-04-12
