symbol,metric,year,value,crawled_date
CNG,Doanh thu bán hàng và CCDV,2021,3057743883.0,2025-04-12
CNG,Doanh thu bán hàng và CCDV,2022,4185416900.0,2025-04-12
CNG,Doanh thu bán hàng và CCDV,2023,3112008051.0,2025-04-12
CNG,Doanh thu bán hàng và CCDV,2024,3517120564.0,2025-04-12
CNG,Giá vốn hàng bán,2021,2849127825.0,2025-04-12
CNG,Giá vốn hàng bán,2022,3890183083.0,2025-04-12
CNG,Giá vốn hàng bán,2023,2847125724.0,2025-04-12
CNG,Giá vốn hàng bán,2024,3232970474.0,2025-04-12
CNG,Lợi nhuận gộp về BH và CCDV,2021,208616058.0,2025-04-12
CNG,Lợi nhuận gộp về BH và CCDV,2022,295233817.0,2025-04-12
CNG,Lợi nhuận gộp về BH và CCDV,2023,264882327.0,2025-04-12
CNG,Lợi nhuận gộp về BH và CCDV,2024,284150090.0,2025-04-12
CNG,Lợi nhuận tài chính,2021,3834709.0,2025-04-12
CNG,Lợi nhuận tài chính,2022,4273039.0,2025-04-12
CNG,Lợi nhuận tài chính,2023,5374174.0,2025-04-12
CNG,Lợi nhuận tài chính,2024,543652.0,2025-04-12
CNG,Lợi nhuận khác,2021,-1608850.0,2025-04-12
CNG,Lợi nhuận khác,2022,-390386.0,2025-04-12
CNG,Lợi nhuận khác,2023,16278235.0,2025-04-12
CNG,Lợi nhuận khác,2024,69836.0,2025-04-12
CNG,Tổng lợi nhuận trước thuế,2021,107594673.0,2025-04-12
CNG,Tổng lợi nhuận trước thuế,2022,153896960.0,2025-04-12
CNG,Tổng lợi nhuận trước thuế,2023,138435304.0,2025-04-12
CNG,Tổng lợi nhuận trước thuế,2024,113792353.0,2025-04-12
CNG,Lợi nhuận sau thuế,2021,82295063.0,2025-04-12
CNG,Lợi nhuận sau thuế,2022,117610814.0,2025-04-12
CNG,Lợi nhuận sau thuế,2023,110268725.0,2025-04-12
CNG,Lợi nhuận sau thuế,2024,90989398.0,2025-04-12
CNG,Lợi nhuận sau thuế của công ty mẹ,2021,82295063.0,2025-04-12
CNG,Lợi nhuận sau thuế của công ty mẹ,2022,117610814.0,2025-04-12
CNG,Lợi nhuận sau thuế của công ty mẹ,2023,110268725.0,2025-04-12
CNG,Lợi nhuận sau thuế của công ty mẹ,2024,90989398.0,2025-04-12
CNG,Tổng tài sản lưu động ngắn hạn,2021,829603569.0,2025-04-12
CNG,Tổng tài sản lưu động ngắn hạn,2022,1035551933.0,2025-04-12
CNG,Tổng tài sản lưu động ngắn hạn,2023,961005007.0,2025-04-12
CNG,Tổng tài sản lưu động ngắn hạn,2024,1125717238.0,2025-04-12
CNG,Tổng tài sản,2021,1122618737.0,2025-04-12
CNG,Tổng tài sản,2022,1273280118.0,2025-04-12
CNG,Tổng tài sản,2023,1158577335.0,2025-04-12
CNG,Tổng tài sản,2024,1365731303.0,2025-04-12
CNG,Nợ ngắn hạn,2021,578883646.0,2025-04-12
CNG,Nợ ngắn hạn,2022,639710952.0,2025-04-12
CNG,Nợ ngắn hạn,2023,529158871.0,2025-04-12
CNG,Nợ ngắn hạn,2024,714563561.0,2025-04-12
CNG,Tổng nợ,2021,600879628.0,2025-04-12
CNG,Tổng nợ,2022,705902939.0,2025-04-12
CNG,Tổng nợ,2023,555942099.0,2025-04-12
CNG,Tổng nợ,2024,734765500.0,2025-04-12
CNG,Vốn chủ sở hữu,2021,521739109.0,2025-04-12
CNG,Vốn chủ sở hữu,2022,567377179.0,2025-04-12
CNG,Vốn chủ sở hữu,2023,602635236.0,2025-04-12
CNG,Vốn chủ sở hữu,2024,630965803.0,2025-04-12
