symbol,metric,year,value,crawled_date
CPA,Doanh thu bán hàng và CCDV,2022,63771330.0,2025-04-12
CPA,Doanh thu bán hàng và CCDV,2023,22602665.0,2025-04-12
CPA,Doanh thu bán hàng và CCDV,2024,30302374.0,2025-04-12
CPA,Giá vốn hàng bán,2021,54704927.0,2025-04-12
CPA,Giá vốn hàng bán,2022,63858355.0,2025-04-12
CPA,Giá vốn hàng bán,2023,19393336.0,2025-04-12
CPA,Giá vốn hàng bán,2024,23551744.0,2025-04-12
CPA,Lợi nhuận gộp về BH và CCDV,2021,3968329.0,2025-04-12
CPA,Lợi nhuận gộp về BH và CCDV,2022,-87025.0,2025-04-12
CPA,Lợi nhuận gộp về BH và CCDV,2023,3209329.0,2025-04-12
CPA,Lợi nhuận gộp về BH và CCDV,2024,6750630.0,2025-04-12
CPA,Lợi nhuận tài chính,2021,-2270475.0,2025-04-12
CPA,Lợi nhuận tài chính,2022,-2936434.0,2025-04-12
CPA,Lợi nhuận tài chính,2023,-3795119.0,2025-04-12
CPA,Lợi nhuận tài chính,2024,-2993734.0,2025-04-12
CPA,Lợi nhuận khác,2021,-5024914.0,2025-04-12
CPA,Lợi nhuận khác,2022,-2463394.0,2025-04-12
CPA,Lợi nhuận khác,2023,1147979.0,2025-04-12
CPA,Lợi nhuận khác,2024,697751.0,2025-04-12
CPA,Tổng lợi nhuận trước thuế,2021,-15231511.0,2025-04-12
CPA,Tổng lợi nhuận trước thuế,2022,-16405723.0,2025-04-12
CPA,Tổng lợi nhuận trước thuế,2023,-15868261.0,2025-04-12
CPA,Tổng lợi nhuận trước thuế,2024,-16636114.0,2025-04-12
CPA,Lợi nhuận sau thuế,2021,-15231511.0,2025-04-12
CPA,Lợi nhuận sau thuế,2022,-16405723.0,2025-04-12
CPA,Lợi nhuận sau thuế,2023,-15868261.0,2025-04-12
CPA,Lợi nhuận sau thuế,2024,-16636114.0,2025-04-12
CPA,Lợi nhuận sau thuế của công ty mẹ,2021,-15231511.0,2025-04-12
CPA,Lợi nhuận sau thuế của công ty mẹ,2022,-16405723.0,2025-04-12
CPA,Lợi nhuận sau thuế của công ty mẹ,2023,-15868261.0,2025-04-12
CPA,Lợi nhuận sau thuế của công ty mẹ,2024,-16636114.0,2025-04-12
CPA,Tổng tài sản lưu động ngắn hạn,2021,47137685.0,2025-04-12
CPA,Tổng tài sản lưu động ngắn hạn,2022,52647810.0,2025-04-12
CPA,Tổng tài sản lưu động ngắn hạn,2023,42068393.0,2025-04-12
CPA,Tổng tài sản lưu động ngắn hạn,2024,29172828.0,2025-04-12
CPA,Tổng tài sản,2021,137842648.0,2025-04-12
CPA,Tổng tài sản,2022,137973208.0,2025-04-12
CPA,Tổng tài sản,2023,126926351.0,2025-04-12
CPA,Tổng tài sản,2024,103430727.0,2025-04-12
CPA,Nợ ngắn hạn,2021,47358299.0,2025-04-12
CPA,Nợ ngắn hạn,2022,47636891.0,2025-04-12
CPA,Nợ ngắn hạn,2023,64222948.0,2025-04-12
CPA,Nợ ngắn hạn,2024,24640804.0,2025-04-12
CPA,Tổng nợ,2021,48064360.0,2025-04-12
CPA,Tổng nợ,2022,64600643.0,2025-04-12
CPA,Tổng nợ,2023,69422048.0,2025-04-12
CPA,Tổng nợ,2024,62562538.0,2025-04-12
CPA,Vốn chủ sở hữu,2021,89778288.0,2025-04-12
CPA,Vốn chủ sở hữu,2022,73372564.0,2025-04-12
CPA,Vốn chủ sở hữu,2023,57504303.0,2025-04-12
CPA,Vốn chủ sở hữu,2024,40868189.0,2025-04-12
