symbol,metric,year,value,crawled_date
CPI,Doanh thu bán hàng và CCDV,2022,61652161.0,2025-04-12
CPI,Doanh thu bán hàng và CCDV,2023,30888289.0,2025-04-12
CPI,Doanh thu bán hàng và CCDV,2023,30888289.0,2025-04-12
CPI,Doanh thu bán hàng và CCDV,2024,37098976.0,2025-04-12
CPI,Giá vốn hàng bán,2022,49524017.0,2025-04-12
CPI,Giá vốn hàng bán,2023,28292442.0,2025-04-12
CPI,Giá vốn hàng bán,2023,28292442.0,2025-04-12
CPI,Giá vốn hàng bán,2024,32679272.0,2025-04-12
CPI,Lợi nhuận gộp về BH và CCDV,2022,12128143.0,2025-04-12
CPI,Lợi nhuận gộp về BH và CCDV,2023,2595847.0,2025-04-12
CPI,Lợi nhuận gộp về BH và CCDV,2023,2595847.0,2025-04-12
CPI,Lợi nhuận gộp về BH và CCDV,2024,4419705.0,2025-04-12
CPI,Lợi nhuận tài chính,2022,113947.0,2025-04-12
CPI,Lợi nhuận tài chính,2023,94621.0,2025-04-12
CPI,Lợi nhuận tài chính,2023,94621.0,2025-04-12
CPI,Lợi nhuận tài chính,2024,4252.0,2025-04-12
CPI,Lợi nhuận khác,2022,327394.0,2025-04-12
CPI,Lợi nhuận khác,2023,855652.0,2025-04-12
CPI,Lợi nhuận khác,2023,855652.0,2025-04-12
CPI,Lợi nhuận khác,2024,1157602.0,2025-04-12
CPI,Tổng lợi nhuận trước thuế,2022,7313221.0,2025-04-12
CPI,Tổng lợi nhuận trước thuế,2023,-1507296.0,2025-04-12
CPI,Tổng lợi nhuận trước thuế,2023,-1507296.0,2025-04-12
CPI,Tổng lợi nhuận trước thuế,2024,2168023.0,2025-04-12
CPI,Lợi nhuận sau thuế,2022,6039008.0,2025-04-12
CPI,Lợi nhuận sau thuế,2023,-1684460.0,2025-04-12
CPI,Lợi nhuận sau thuế,2023,-1684460.0,2025-04-12
CPI,Lợi nhuận sau thuế,2024,1990859.0,2025-04-12
CPI,Lợi nhuận sau thuế của công ty mẹ,2022,6039008.0,2025-04-12
CPI,Lợi nhuận sau thuế của công ty mẹ,2023,-1684460.0,2025-04-12
CPI,Lợi nhuận sau thuế của công ty mẹ,2023,-1684460.0,2025-04-12
CPI,Lợi nhuận sau thuế của công ty mẹ,2024,1990859.0,2025-04-12
CPI,Tổng tài sản lưu động ngắn hạn,2022,12771399.0,2025-04-12
CPI,Tổng tài sản lưu động ngắn hạn,2023,10265906.0,2025-04-12
CPI,Tổng tài sản lưu động ngắn hạn,2023,10265906.0,2025-04-12
CPI,Tổng tài sản lưu động ngắn hạn,2024,11216326.0,2025-04-12
CPI,Tổng tài sản,2022,46506051.0,2025-04-12
CPI,Tổng tài sản,2023,43419935.0,2025-04-12
CPI,Tổng tài sản,2023,43419935.0,2025-04-12
CPI,Tổng tài sản,2024,43211118.0,2025-04-12
CPI,Nợ ngắn hạn,2022,14706950.0,2025-04-12
CPI,Nợ ngắn hạn,2023,15394499.0,2025-04-12
CPI,Nợ ngắn hạn,2023,15394499.0,2025-04-12
CPI,Nợ ngắn hạn,2024,14874810.0,2025-04-12
CPI,Tổng nợ,2022,70225234.0,2025-04-12
CPI,Tổng nợ,2023,68823578.0,2025-04-12
CPI,Tổng nợ,2023,68823578.0,2025-04-12
CPI,Tổng nợ,2024,66623903.0,2025-04-12
CPI,Vốn chủ sở hữu,2022,-23719183.0,2025-04-12
CPI,Vốn chủ sở hữu,2023,-25403643.0,2025-04-12
CPI,Vốn chủ sở hữu,2023,-25403643.0,2025-04-12
CPI,Vốn chủ sở hữu,2024,-23412784.0,2025-04-12
