symbol,metric,year,value,crawled_date
CSV,Doanh thu bán hàng và CCDV,2021,1576769246.0,2025-04-12
CSV,Doanh thu bán hàng và CCDV,2022,2104285558.0,2025-04-12
CSV,Doanh thu bán hàng và CCDV,2023,1588441460.0,2025-04-12
CSV,Doanh thu bán hàng và CCDV,2024,1855617616.0,2025-04-12
CSV,Giá vốn hàng bán,2021,1164764039.0,2025-04-12
CSV,Giá vốn hàng bán,2022,1444081143.0,2025-04-12
CSV,Giá vốn hàng bán,2023,1179289843.0,2025-04-12
CSV,Giá vốn hàng bán,2024,1350721388.0,2025-04-12
CSV,Lợi nhuận gộp về BH và CCDV,2021,412005207.0,2025-04-12
CSV,Lợi nhuận gộp về BH và CCDV,2022,660170572.0,2025-04-12
CSV,Lợi nhuận gộp về BH và CCDV,2023,409151617.0,2025-04-12
CSV,Lợi nhuận gộp về BH và CCDV,2024,504857378.0,2025-04-12
CSV,Lợi nhuận tài chính,2021,6034114.0,2025-04-12
CSV,Lợi nhuận tài chính,2022,13423950.0,2025-04-12
CSV,Lợi nhuận tài chính,2023,35664013.0,2025-04-12
CSV,Lợi nhuận tài chính,2024,27253184.0,2025-04-12
CSV,Lợi nhuận khác,2021,155363.0,2025-04-12
CSV,Lợi nhuận khác,2022,557253.0,2025-04-12
CSV,Lợi nhuận khác,2023,4115428.0,2025-04-12
CSV,Lợi nhuận khác,2024,1059773.0,2025-04-12
CSV,Tổng lợi nhuận trước thuế,2021,272860708.0,2025-04-12
CSV,Tổng lợi nhuận trước thuế,2022,510730510.0,2025-04-12
CSV,Tổng lợi nhuận trước thuế,2023,288849076.0,2025-04-12
CSV,Tổng lợi nhuận trước thuế,2024,328292956.0,2025-04-12
CSV,Lợi nhuận sau thuế,2021,218053054.0,2025-04-12
CSV,Lợi nhuận sau thuế,2022,407914026.0,2025-04-12
CSV,Lợi nhuận sau thuế,2023,230619246.0,2025-04-12
CSV,Lợi nhuận sau thuế,2024,258335378.0,2025-04-12
CSV,Lợi nhuận sau thuế của công ty mẹ,2021,209261163.0,2025-04-12
CSV,Lợi nhuận sau thuế của công ty mẹ,2022,354438554.0,2025-04-12
CSV,Lợi nhuận sau thuế của công ty mẹ,2023,209138520.0,2025-04-12
CSV,Lợi nhuận sau thuế của công ty mẹ,2024,238636262.0,2025-04-12
CSV,Tổng tài sản lưu động ngắn hạn,2021,935732716.0,2025-04-12
CSV,Tổng tài sản lưu động ngắn hạn,2022,1247956593.0,2025-04-12
CSV,Tổng tài sản lưu động ngắn hạn,2023,1303628521.0,2025-04-12
CSV,Tổng tài sản lưu động ngắn hạn,2024,1464036583.0,2025-04-12
CSV,Tổng tài sản,2021,1455842350.0,2025-04-12
CSV,Tổng tài sản,2022,1718419083.0,2025-04-12
CSV,Tổng tài sản,2023,1721955384.0,2025-04-12
CSV,Tổng tài sản,2024,1858998057.0,2025-04-12
CSV,Nợ ngắn hạn,2021,296131689.0,2025-04-12
CSV,Nợ ngắn hạn,2022,289501873.0,2025-04-12
CSV,Nợ ngắn hạn,2023,285728284.0,2025-04-12
CSV,Nợ ngắn hạn,2024,304981687.0,2025-04-12
CSV,Tổng nợ,2021,296131689.0,2025-04-12
CSV,Tổng nợ,2022,289501873.0,2025-04-12
CSV,Tổng nợ,2023,285728284.0,2025-04-12
CSV,Tổng nợ,2024,304981687.0,2025-04-12
CSV,Vốn chủ sở hữu,2021,1159710661.0,2025-04-12
CSV,Vốn chủ sở hữu,2022,1428917210.0,2025-04-12
CSV,Vốn chủ sở hữu,2023,1436227100.0,2025-04-12
CSV,Vốn chủ sở hữu,2024,1554016370.0,2025-04-12
