symbol,metric,year,value,crawled_date
CTC,Doanh thu bán hàng và CCDV,2020,133297399.0,2025-04-12
CTC,Doanh thu bán hàng và CCDV,2021,154081505.0,2025-04-12
CTC,Doanh thu bán hàng và CCDV,2022,39310386.0,2025-04-12
CTC,Doanh thu bán hàng và CCDV,2023,9588172.0,2025-04-12
CTC,Giá vốn hàng bán,2020,110343151.0,2025-04-12
CTC,Giá vốn hàng bán,2021,137079440.0,2025-04-12
CTC,Giá vốn hàng bán,2022,33257628.0,2025-04-12
CTC,Giá vốn hàng bán,2023,11290586.0,2025-04-12
CTC,Lợi nhuận gộp về BH và CCDV,2020,22954247.0,2025-04-12
CTC,Lợi nhuận gộp về BH và CCDV,2021,17002064.0,2025-04-12
CTC,Lợi nhuận gộp về BH và CCDV,2022,6052758.0,2025-04-12
CTC,Lợi nhuận gộp về BH và CCDV,2023,-1702414.0,2025-04-12
CTC,Lợi nhuận tài chính,2020,-14398319.0,2025-04-12
CTC,Lợi nhuận tài chính,2021,-10548219.0,2025-04-12
CTC,Lợi nhuận tài chính,2022,-11543473.0,2025-04-12
CTC,Lợi nhuận tài chính,2023,-9739097.0,2025-04-12
CTC,Lợi nhuận khác,2020,-1387755.0,2025-04-12
CTC,Lợi nhuận khác,2021,-76311.0,2025-04-12
CTC,Lợi nhuận khác,2022,-1238829.0,2025-04-12
CTC,Lợi nhuận khác,2023,-901283.0,2025-04-12
CTC,Tổng lợi nhuận trước thuế,2020,1209195.0,2025-04-12
CTC,Tổng lợi nhuận trước thuế,2021,13833565.0,2025-04-12
CTC,Tổng lợi nhuận trước thuế,2022,-9138472.0,2025-04-12
CTC,Tổng lợi nhuận trước thuế,2023,-14802500.0,2025-04-12
CTC,Lợi nhuận sau thuế,2020,1209195.0,2025-04-12
CTC,Lợi nhuận sau thuế,2021,13833565.0,2025-04-12
CTC,Lợi nhuận sau thuế,2022,-9138472.0,2025-04-12
CTC,Lợi nhuận sau thuế,2023,-16303409.0,2025-04-12
CTC,Lợi nhuận sau thuế của công ty mẹ,2020,1209195.0,2025-04-12
CTC,Lợi nhuận sau thuế của công ty mẹ,2021,13833565.0,2025-04-12
CTC,Lợi nhuận sau thuế của công ty mẹ,2022,-9138472.0,2025-04-12
CTC,Lợi nhuận sau thuế của công ty mẹ,2023,-16303409.0,2025-04-12
CTC,Tổng tài sản lưu động ngắn hạn,2020,107823575.0,2025-04-12
CTC,Tổng tài sản lưu động ngắn hạn,2021,127354128.0,2025-04-12
CTC,Tổng tài sản lưu động ngắn hạn,2022,116677569.0,2025-04-12
CTC,Tổng tài sản lưu động ngắn hạn,2023,137905485.0,2025-04-12
CTC,Tổng tài sản,2020,300337590.0,2025-04-12
CTC,Tổng tài sản,2021,313375420.0,2025-04-12
CTC,Tổng tài sản,2022,307803001.0,2025-04-12
CTC,Tổng tài sản,2023,224306547.0,2025-04-12
CTC,Nợ ngắn hạn,2020,158664796.0,2025-04-12
CTC,Nợ ngắn hạn,2021,161014062.0,2025-04-12
CTC,Nợ ngắn hạn,2022,167428115.0,2025-04-12
CTC,Nợ ngắn hạn,2023,115067796.0,2025-04-12
CTC,Tổng nợ,2020,180907787.0,2025-04-12
CTC,Tổng nợ,2021,180112052.0,2025-04-12
CTC,Tổng nợ,2022,183678105.0,2025-04-12
CTC,Tổng nợ,2023,116485059.0,2025-04-12
CTC,Vốn chủ sở hữu,2020,119429804.0,2025-04-12
CTC,Vốn chủ sở hữu,2021,133263369.0,2025-04-12
CTC,Vốn chủ sở hữu,2022,124124896.0,2025-04-12
CTC,Vốn chủ sở hữu,2023,107821488.0,2025-04-12
