symbol,metric,year,value,crawled_date
CVN,Doanh thu bán hàng và CCDV,2019,211655390.0,2025-04-12
CVN,Doanh thu bán hàng và CCDV,2020,60110250.0,2025-04-12
CVN,Doanh thu bán hàng và CCDV,2021,76897392.0,2025-04-12
CVN,Doanh thu bán hàng và CCDV,2022,108488431.0,2025-04-12
CVN,Giá vốn hàng bán,2019,156725921.0,2025-04-12
CVN,Giá vốn hàng bán,2020,28213653.0,2025-04-12
CVN,Giá vốn hàng bán,2021,47100251.0,2025-04-12
CVN,Giá vốn hàng bán,2022,88937979.0,2025-04-12
CVN,Lợi nhuận gộp về BH và CCDV,2019,54929468.0,2025-04-12
CVN,Lợi nhuận gộp về BH và CCDV,2020,31896596.0,2025-04-12
CVN,Lợi nhuận gộp về BH và CCDV,2021,29797141.0,2025-04-12
CVN,Lợi nhuận gộp về BH và CCDV,2022,18991140.0,2025-04-12
CVN,Lợi nhuận tài chính,2019,-118079.0,2025-04-12
CVN,Lợi nhuận tài chính,2020,-5846640.0,2025-04-12
CVN,Lợi nhuận tài chính,2021,229461.0,2025-04-12
CVN,Lợi nhuận tài chính,2022,-40052.0,2025-04-12
CVN,Lợi nhuận khác,2019,-18986.0,2025-04-12
CVN,Lợi nhuận khác,2020,9848827.0,2025-04-12
CVN,Lợi nhuận khác,2021,-119646.0,2025-04-12
CVN,Lợi nhuận khác,2022,-96703.0,2025-04-12
CVN,Tổng lợi nhuận trước thuế,2019,47089186.0,2025-04-12
CVN,Tổng lợi nhuận trước thuế,2020,32341715.0,2025-04-12
CVN,Tổng lợi nhuận trước thuế,2021,23615551.0,2025-04-12
CVN,Tổng lợi nhuận trước thuế,2022,8262649.0,2025-04-12
CVN,Lợi nhuận sau thuế,2019,46793261.0,2025-04-12
CVN,Lợi nhuận sau thuế,2020,30166637.0,2025-04-12
CVN,Lợi nhuận sau thuế,2021,22728799.0,2025-04-12
CVN,Lợi nhuận sau thuế,2022,6946809.0,2025-04-12
CVN,Lợi nhuận sau thuế của công ty mẹ,2019,46793261.0,2025-04-12
CVN,Lợi nhuận sau thuế của công ty mẹ,2020,30076746.0,2025-04-12
CVN,Lợi nhuận sau thuế của công ty mẹ,2021,21557918.0,2025-04-12
CVN,Lợi nhuận sau thuế của công ty mẹ,2022,6991409.0,2025-04-12
CVN,Tổng tài sản lưu động ngắn hạn,2019,152735323.0,2025-04-12
CVN,Tổng tài sản lưu động ngắn hạn,2020,151743952.0,2025-04-12
CVN,Tổng tài sản lưu động ngắn hạn,2021,262025539.0,2025-04-12
CVN,Tổng tài sản lưu động ngắn hạn,2022,355403152.0,2025-04-12
CVN,Tổng tài sản,2019,155490511.0,2025-04-12
CVN,Tổng tài sản,2020,161932400.0,2025-04-12
CVN,Tổng tài sản,2021,292275317.0,2025-04-12
CVN,Tổng tài sản,2022,401145541.0,2025-04-12
CVN,Nợ ngắn hạn,2019,1444941.0,2025-04-12
CVN,Nợ ngắn hạn,2020,4046793.0,2025-04-12
CVN,Nợ ngắn hạn,2021,6708347.0,2025-04-12
CVN,Nợ ngắn hạn,2022,8503779.0,2025-04-12
CVN,Tổng nợ,2019,14486841.0,2025-04-12
CVN,Tổng nợ,2020,7172093.0,2025-04-12
CVN,Tổng nợ,2021,6708347.0,2025-04-12
CVN,Tổng nợ,2022,8678937.0,2025-04-12
CVN,Vốn chủ sở hữu,2019,141003669.0,2025-04-12
CVN,Vốn chủ sở hữu,2020,154760307.0,2025-04-12
CVN,Vốn chủ sở hữu,2021,285566970.0,2025-04-12
CVN,Vốn chủ sở hữu,2022,392466605.0,2025-04-12
