symbol,metric,year,value,crawled_date
CX8,Doanh thu bán hàng và CCDV,2020,49587119.0,2025-04-12
CX8,Doanh thu bán hàng và CCDV,2021,70513649.0,2025-04-12
CX8,Doanh thu bán hàng và CCDV,2022,92571504.0,2025-04-12
CX8,Doanh thu bán hàng và CCDV,2023,88020789.0,2025-04-12
CX8,Giá vốn hàng bán,2020,46153339.0,2025-04-12
CX8,Giá vốn hàng bán,2021,67111778.0,2025-04-12
CX8,Giá vốn hàng bán,2022,88196249.0,2025-04-12
CX8,Giá vốn hàng bán,2023,84506238.0,2025-04-12
CX8,Lợi nhuận gộp về BH và CCDV,2020,3433779.0,2025-04-12
CX8,Lợi nhuận gộp về BH và CCDV,2021,3401871.0,2025-04-12
CX8,Lợi nhuận gộp về BH và CCDV,2022,4375255.0,2025-04-12
CX8,Lợi nhuận gộp về BH và CCDV,2023,3514551.0,2025-04-12
CX8,Lợi nhuận tài chính,2020,-60487.0,2025-04-12
CX8,Lợi nhuận tài chính,2021,9217.0,2025-04-12
CX8,Lợi nhuận tài chính,2022,8637.0,2025-04-12
CX8,Lợi nhuận tài chính,2023,264417.0,2025-04-12
CX8,Lợi nhuận khác,2020,-145975.0,2025-04-12
CX8,Lợi nhuận khác,2021,-157311.0,2025-04-12
CX8,Lợi nhuận khác,2022,-158117.0,2025-04-12
CX8,Lợi nhuận khác,2023,-157840.0,2025-04-12
CX8,Tổng lợi nhuận trước thuế,2020,268679.0,2025-04-12
CX8,Tổng lợi nhuận trước thuế,2021,80617.0,2025-04-12
CX8,Tổng lợi nhuận trước thuế,2022,626437.0,2025-04-12
CX8,Tổng lợi nhuận trước thuế,2023,435792.0,2025-04-12
CX8,Lợi nhuận sau thuế,2020,210627.0,2025-04-12
CX8,Lợi nhuận sau thuế,2021,47307.0,2025-04-12
CX8,Lợi nhuận sau thuế,2022,469526.0,2025-04-12
CX8,Lợi nhuận sau thuế,2023,317065.0,2025-04-12
CX8,Lợi nhuận sau thuế của công ty mẹ,2020,210627.0,2025-04-12
CX8,Lợi nhuận sau thuế của công ty mẹ,2021,47307.0,2025-04-12
CX8,Lợi nhuận sau thuế của công ty mẹ,2022,469526.0,2025-04-12
CX8,Lợi nhuận sau thuế của công ty mẹ,2023,317065.0,2025-04-12
CX8,Tổng tài sản lưu động ngắn hạn,2020,84927514.0,2025-04-12
CX8,Tổng tài sản lưu động ngắn hạn,2021,73086031.0,2025-04-12
CX8,Tổng tài sản lưu động ngắn hạn,2022,106334232.0,2025-04-12
CX8,Tổng tài sản lưu động ngắn hạn,2023,103070302.0,2025-04-12
CX8,Tổng tài sản,2020,92928995.0,2025-04-12
CX8,Tổng tài sản,2021,79947568.0,2025-04-12
CX8,Tổng tài sản,2022,111379968.0,2025-04-12
CX8,Tổng tài sản,2023,107436396.0,2025-04-12
CX8,Nợ ngắn hạn,2020,64003135.0,2025-04-12
CX8,Nợ ngắn hạn,2021,51366674.0,2025-04-12
CX8,Nợ ngắn hạn,2022,81626814.0,2025-04-12
CX8,Nợ ngắn hạn,2023,76681937.0,2025-04-12
CX8,Tổng nợ,2020,65392221.0,2025-04-12
CX8,Tổng nợ,2021,52363488.0,2025-04-12
CX8,Tổng nợ,2022,83326361.0,2025-04-12
CX8,Tổng nợ,2023,79489846.0,2025-04-12
CX8,Vốn chủ sở hữu,2020,27536774.0,2025-04-12
CX8,Vốn chủ sở hữu,2021,27584081.0,2025-04-12
CX8,Vốn chủ sở hữu,2022,28053607.0,2025-04-12
CX8,Vốn chủ sở hữu,2023,27946550.0,2025-04-12
