symbol,metric,year,value,crawled_date
D11,Doanh thu bán hàng và CCDV,2021,298505534.0,2025-04-12
D11,Doanh thu bán hàng và CCDV,2022,133912266.0,2025-04-12
D11,Doanh thu bán hàng và CCDV,2023,34876498.0,2025-04-12
D11,Doanh thu bán hàng và CCDV,2024,106293882.0,2025-04-12
D11,Giá vốn hàng bán,2021,223190699.0,2025-04-12
D11,Giá vốn hàng bán,2022,87702229.0,2025-04-12
D11,Giá vốn hàng bán,2023,15846619.0,2025-04-12
D11,Giá vốn hàng bán,2024,90285260.0,2025-04-12
D11,Lợi nhuận gộp về BH và CCDV,2021,75314836.0,2025-04-12
D11,Lợi nhuận gộp về BH và CCDV,2022,46210037.0,2025-04-12
D11,Lợi nhuận gộp về BH và CCDV,2023,19029879.0,2025-04-12
D11,Lợi nhuận gộp về BH và CCDV,2024,16008622.0,2025-04-12
D11,Lợi nhuận tài chính,2021,-442243.0,2025-04-12
D11,Lợi nhuận tài chính,2022,-4203591.0,2025-04-12
D11,Lợi nhuận tài chính,2023,-2365176.0,2025-04-12
D11,Lợi nhuận tài chính,2024,-434306.0,2025-04-12
D11,Lợi nhuận khác,2021,42884.0,2025-04-12
D11,Lợi nhuận khác,2022,-16480.0,2025-04-12
D11,Lợi nhuận khác,2023,70761.0,2025-04-12
D11,Lợi nhuận khác,2024,4145911.0,2025-04-12
D11,Tổng lợi nhuận trước thuế,2021,56697517.0,2025-04-12
D11,Tổng lợi nhuận trước thuế,2022,27321766.0,2025-04-12
D11,Tổng lợi nhuận trước thuế,2023,5739162.0,2025-04-12
D11,Tổng lợi nhuận trước thuế,2024,4811646.0,2025-04-12
D11,Lợi nhuận sau thuế,2021,45431391.0,2025-04-12
D11,Lợi nhuận sau thuế,2022,21812722.0,2025-04-12
D11,Lợi nhuận sau thuế,2023,4740118.0,2025-04-12
D11,Lợi nhuận sau thuế,2024,3896943.0,2025-04-12
D11,Lợi nhuận sau thuế của công ty mẹ,2021,45431391.0,2025-04-12
D11,Lợi nhuận sau thuế của công ty mẹ,2022,21812722.0,2025-04-12
D11,Lợi nhuận sau thuế của công ty mẹ,2023,4740118.0,2025-04-12
D11,Lợi nhuận sau thuế của công ty mẹ,2024,3896943.0,2025-04-12
D11,Tổng tài sản lưu động ngắn hạn,2021,254063557.0,2025-04-12
D11,Tổng tài sản lưu động ngắn hạn,2022,237582862.0,2025-04-12
D11,Tổng tài sản lưu động ngắn hạn,2023,253332286.0,2025-04-12
D11,Tổng tài sản lưu động ngắn hạn,2024,269172081.0,2025-04-12
D11,Tổng tài sản,2021,365719594.0,2025-04-12
D11,Tổng tài sản,2022,344972502.0,2025-04-12
D11,Tổng tài sản,2023,351003027.0,2025-04-12
D11,Tổng tài sản,2024,364566989.0,2025-04-12
D11,Nợ ngắn hạn,2021,178115644.0,2025-04-12
D11,Nợ ngắn hạn,2022,136227746.0,2025-04-12
D11,Nợ ngắn hạn,2023,144978229.0,2025-04-12
D11,Nợ ngắn hạn,2024,154970594.0,2025-04-12
D11,Tổng nợ,2021,199390121.0,2025-04-12
D11,Tổng nợ,2022,161612715.0,2025-04-12
D11,Tổng nợ,2023,164928350.0,2025-04-12
D11,Tổng nợ,2024,175484910.0,2025-04-12
D11,Vốn chủ sở hữu,2021,166329473.0,2025-04-12
D11,Vốn chủ sở hữu,2022,183359787.0,2025-04-12
D11,Vốn chủ sở hữu,2023,186074677.0,2025-04-12
D11,Vốn chủ sở hữu,2024,189082079.0,2025-04-12
