symbol,metric,year,value,crawled_date
DBM,Doanh thu bán hàng và CCDV,2022,258864889.0,2025-04-12
DBM,Doanh thu bán hàng và CCDV,2023,236691259.0,2025-04-12
DBM,Doanh thu bán hàng và CCDV,2023,236691259.0,2025-04-12
DBM,Doanh thu bán hàng và CCDV,2024,213371815.0,2025-04-12
DBM,Giá vốn hàng bán,2022,229446287.0,2025-04-12
DBM,Giá vốn hàng bán,2023,212833208.0,2025-04-12
DBM,Giá vốn hàng bán,2023,212833208.0,2025-04-12
DBM,Giá vốn hàng bán,2024,193220519.0,2025-04-12
DBM,Lợi nhuận gộp về BH và CCDV,2022,28318209.0,2025-04-12
DBM,Lợi nhuận gộp về BH và CCDV,2023,23524785.0,2025-04-12
DBM,Lợi nhuận gộp về BH và CCDV,2023,23524785.0,2025-04-12
DBM,Lợi nhuận gộp về BH và CCDV,2024,19826624.0,2025-04-12
DBM,Lợi nhuận tài chính,2022,1356817.0,2025-04-12
DBM,Lợi nhuận tài chính,2023,2169087.0,2025-04-12
DBM,Lợi nhuận tài chính,2023,2169087.0,2025-04-12
DBM,Lợi nhuận tài chính,2024,2536602.0,2025-04-12
DBM,Lợi nhuận khác,2022,1530699.0,2025-04-12
DBM,Lợi nhuận khác,2023,1139156.0,2025-04-12
DBM,Lợi nhuận khác,2023,1139156.0,2025-04-12
DBM,Lợi nhuận khác,2024,708210.0,2025-04-12
DBM,Tổng lợi nhuận trước thuế,2022,7880378.0,2025-04-12
DBM,Tổng lợi nhuận trước thuế,2023,7000830.0,2025-04-12
DBM,Tổng lợi nhuận trước thuế,2023,7000830.0,2025-04-12
DBM,Tổng lợi nhuận trước thuế,2024,3348014.0,2025-04-12
DBM,Lợi nhuận sau thuế,2022,6318006.0,2025-04-12
DBM,Lợi nhuận sau thuế,2023,5618512.0,2025-04-12
DBM,Lợi nhuận sau thuế,2023,5618512.0,2025-04-12
DBM,Lợi nhuận sau thuế,2024,2794851.0,2025-04-12
DBM,Lợi nhuận sau thuế của công ty mẹ,2022,6318006.0,2025-04-12
DBM,Lợi nhuận sau thuế của công ty mẹ,2023,5618512.0,2025-04-12
DBM,Lợi nhuận sau thuế của công ty mẹ,2023,5618512.0,2025-04-12
DBM,Lợi nhuận sau thuế của công ty mẹ,2024,2794851.0,2025-04-12
DBM,Tổng tài sản lưu động ngắn hạn,2022,105156121.0,2025-04-12
DBM,Tổng tài sản lưu động ngắn hạn,2023,101487572.0,2025-04-12
DBM,Tổng tài sản lưu động ngắn hạn,2023,101487572.0,2025-04-12
DBM,Tổng tài sản lưu động ngắn hạn,2024,96168740.0,2025-04-12
DBM,Tổng tài sản,2022,109147682.0,2025-04-12
DBM,Tổng tài sản,2023,106011633.0,2025-04-12
DBM,Tổng tài sản,2023,106011633.0,2025-04-12
DBM,Tổng tài sản,2024,100672453.0,2025-04-12
DBM,Nợ ngắn hạn,2022,40998553.0,2025-04-12
DBM,Nợ ngắn hạn,2023,36744686.0,2025-04-12
DBM,Nợ ngắn hạn,2023,36744686.0,2025-04-12
DBM,Nợ ngắn hạn,2024,33011347.0,2025-04-12
DBM,Tổng nợ,2022,40998553.0,2025-04-12
DBM,Tổng nợ,2023,36744686.0,2025-04-12
DBM,Tổng nợ,2023,36744686.0,2025-04-12
DBM,Tổng nợ,2024,33011347.0,2025-04-12
DBM,Vốn chủ sở hữu,2022,68149128.0,2025-04-12
DBM,Vốn chủ sở hữu,2023,69266947.0,2025-04-12
DBM,Vốn chủ sở hữu,2023,69266947.0,2025-04-12
DBM,Vốn chủ sở hữu,2024,67661106.0,2025-04-12
