symbol,metric,year,value,crawled_date
DC2,Doanh thu bán hàng và CCDV,2021,322559950.0,2025-04-12
DC2,Doanh thu bán hàng và CCDV,2022,333088546.0,2025-04-12
DC2,Doanh thu bán hàng và CCDV,2023,209968416.0,2025-04-12
DC2,Doanh thu bán hàng và CCDV,2024,250229268.0,2025-04-12
DC2,Giá vốn hàng bán,2021,293973525.0,2025-04-12
DC2,Giá vốn hàng bán,2022,294653765.0,2025-04-12
DC2,Giá vốn hàng bán,2023,173859053.0,2025-04-12
DC2,Giá vốn hàng bán,2024,214984826.0,2025-04-12
DC2,Lợi nhuận gộp về BH và CCDV,2021,28586425.0,2025-04-12
DC2,Lợi nhuận gộp về BH và CCDV,2022,38434781.0,2025-04-12
DC2,Lợi nhuận gộp về BH và CCDV,2023,36109363.0,2025-04-12
DC2,Lợi nhuận gộp về BH và CCDV,2024,35244442.0,2025-04-12
DC2,Lợi nhuận tài chính,2021,-5661532.0,2025-04-12
DC2,Lợi nhuận tài chính,2022,-14061806.0,2025-04-12
DC2,Lợi nhuận tài chính,2023,-18846001.0,2025-04-12
DC2,Lợi nhuận tài chính,2024,-10280470.0,2025-04-12
DC2,Lợi nhuận khác,2021,-152001.0,2025-04-12
DC2,Lợi nhuận khác,2022,547784.0,2025-04-12
DC2,Lợi nhuận khác,2023,139719.0,2025-04-12
DC2,Lợi nhuận khác,2024,-107461.0,2025-04-12
DC2,Tổng lợi nhuận trước thuế,2021,8793035.0,2025-04-12
DC2,Tổng lợi nhuận trước thuế,2022,6257779.0,2025-04-12
DC2,Tổng lợi nhuận trước thuế,2023,4344037.0,2025-04-12
DC2,Tổng lợi nhuận trước thuế,2024,8276221.0,2025-04-12
DC2,Lợi nhuận sau thuế,2021,6876274.0,2025-04-12
DC2,Lợi nhuận sau thuế,2022,3491614.0,2025-04-12
DC2,Lợi nhuận sau thuế,2023,1018546.0,2025-04-12
DC2,Lợi nhuận sau thuế,2024,5573791.0,2025-04-12
DC2,Lợi nhuận sau thuế của công ty mẹ,2021,6876274.0,2025-04-12
DC2,Lợi nhuận sau thuế của công ty mẹ,2022,3491614.0,2025-04-12
DC2,Lợi nhuận sau thuế của công ty mẹ,2023,1018546.0,2025-04-12
DC2,Lợi nhuận sau thuế của công ty mẹ,2024,5573791.0,2025-04-12
DC2,Tổng tài sản lưu động ngắn hạn,2021,225152684.0,2025-04-12
DC2,Tổng tài sản lưu động ngắn hạn,2022,382333195.0,2025-04-12
DC2,Tổng tài sản lưu động ngắn hạn,2023,328118634.0,2025-04-12
DC2,Tổng tài sản lưu động ngắn hạn,2024,253357713.0,2025-04-12
DC2,Tổng tài sản,2021,260485600.0,2025-04-12
DC2,Tổng tài sản,2022,442456959.0,2025-04-12
DC2,Tổng tài sản,2023,395958902.0,2025-04-12
DC2,Tổng tài sản,2024,322381483.0,2025-04-12
DC2,Nợ ngắn hạn,2021,185738379.0,2025-04-12
DC2,Nợ ngắn hạn,2022,352325639.0,2025-04-12
DC2,Nợ ngắn hạn,2023,309132778.0,2025-04-12
DC2,Nợ ngắn hạn,2024,202709409.0,2025-04-12
DC2,Tổng nợ,2021,186144454.0,2025-04-12
DC2,Tổng nợ,2022,362750639.0,2025-04-12
DC2,Tổng nợ,2023,315757778.0,2025-04-12
DC2,Tổng nợ,2024,202709409.0,2025-04-12
DC2,Vốn chủ sở hữu,2021,74341147.0,2025-04-12
DC2,Vốn chủ sở hữu,2022,79706320.0,2025-04-12
DC2,Vốn chủ sở hữu,2023,80201124.0,2025-04-12
DC2,Vốn chủ sở hữu,2024,119672074.0,2025-04-12
