symbol,metric,year,value,crawled_date
DCM,Doanh thu bán hàng và CCDV,2021,10088157082.0,2025-04-12
DCM,Doanh thu bán hàng và CCDV,2022,16380039771.0,2025-04-12
DCM,Doanh thu bán hàng và CCDV,2023,12949489163.0,2025-04-12
DCM,Doanh thu bán hàng và CCDV,2024,13942548247.0,2025-04-12
DCM,Giá vốn hàng bán,2021,7088825980.0,2025-04-12
DCM,Giá vốn hàng bán,2022,10221097432.0,2025-04-12
DCM,Giá vốn hàng bán,2023,10538742408.0,2025-04-12
DCM,Giá vốn hàng bán,2024,10942100894.0,2025-04-12
DCM,Lợi nhuận gộp về BH và CCDV,2021,2780936924.0,2025-04-12
DCM,Lợi nhuận gộp về BH và CCDV,2022,5703429442.0,2025-04-12
DCM,Lợi nhuận gộp về BH và CCDV,2023,2031799682.0,2025-04-12
DCM,Lợi nhuận gộp về BH và CCDV,2024,2513484256.0,2025-04-12
DCM,Lợi nhuận tài chính,2021,122458978.0,2025-04-12
DCM,Lợi nhuận tài chính,2022,240606007.0,2025-04-12
DCM,Lợi nhuận tài chính,2023,549716003.0,2025-04-12
DCM,Lợi nhuận tài chính,2024,305234791.0,2025-04-12
DCM,Lợi nhuận khác,2021,1767077.0,2025-04-12
DCM,Lợi nhuận khác,2022,3166449.0,2025-04-12
DCM,Lợi nhuận khác,2023,22482246.0,2025-04-12
DCM,Lợi nhuận khác,2024,198761245.0,2025-04-12
DCM,Tổng lợi nhuận trước thuế,2021,1956269989.0,2025-04-12
DCM,Tổng lợi nhuận trước thuế,2022,4596312765.0,2025-04-12
DCM,Tổng lợi nhuận trước thuế,2023,1254809584.0,2025-04-12
DCM,Tổng lợi nhuận trước thuế,2024,1522063488.0,2025-04-12
DCM,Lợi nhuận sau thuế,2021,1826124287.0,2025-04-12
DCM,Lợi nhuận sau thuế,2022,4321080735.0,2025-04-12
DCM,Lợi nhuận sau thuế,2023,1110142717.0,2025-04-12
DCM,Lợi nhuận sau thuế,2024,1428006581.0,2025-04-12
DCM,Lợi nhuận sau thuế của công ty mẹ,2021,1823459058.0,2025-04-12
DCM,Lợi nhuận sau thuế của công ty mẹ,2022,4315953290.0,2025-04-12
DCM,Lợi nhuận sau thuế của công ty mẹ,2023,1108892825.0,2025-04-12
DCM,Lợi nhuận sau thuế của công ty mẹ,2024,1419657938.0,2025-04-12
DCM,Tổng tài sản lưu động ngắn hạn,2021,7276291649.0,2025-04-12
DCM,Tổng tài sản lưu động ngắn hạn,2022,11624186591.0,2025-04-12
DCM,Tổng tài sản lưu động ngắn hạn,2023,13504495425.0,2025-04-12
DCM,Tổng tài sản lưu động ngắn hạn,2024,12920862785.0,2025-04-12
DCM,Tổng tài sản,2021,11072121335.0,2025-04-12
DCM,Tổng tài sản,2022,14166860720.0,2025-04-12
DCM,Tổng tài sản,2023,15237966427.0,2025-04-12
DCM,Tổng tài sản,2024,15728847338.0,2025-04-12
DCM,Nợ ngắn hạn,2021,3186610543.0,2025-04-12
DCM,Nợ ngắn hạn,2022,2874435986.0,2025-04-12
DCM,Nợ ngắn hạn,2023,4517257789.0,2025-04-12
DCM,Nợ ngắn hạn,2024,4680730114.0,2025-04-12
DCM,Tổng nợ,2021,3594024060.0,2025-04-12
DCM,Tổng nợ,2022,3561411903.0,2025-04-12
DCM,Tổng nợ,2023,5274583193.0,2025-04-12
DCM,Tổng nợ,2024,5551670737.0,2025-04-12
DCM,Vốn chủ sở hữu,2021,7478097275.0,2025-04-12
DCM,Vốn chủ sở hữu,2022,10605448817.0,2025-04-12
DCM,Vốn chủ sở hữu,2023,9963383234.0,2025-04-12
DCM,Vốn chủ sở hữu,2024,10177176601.0,2025-04-12
