symbol,metric,year,value,crawled_date
DIH,Doanh thu bán hàng và CCDV,2021,173996447.0,2025-04-12
DIH,Doanh thu bán hàng và CCDV,2022,175777566.0,2025-04-12
DIH,Doanh thu bán hàng và CCDV,2023,290916836.0,2025-04-12
DIH,Doanh thu bán hàng và CCDV,2024,222112989.0,2025-04-12
DIH,Giá vốn hàng bán,2021,166756303.0,2025-04-12
DIH,Giá vốn hàng bán,2022,160197869.0,2025-04-12
DIH,Giá vốn hàng bán,2023,238022863.0,2025-04-12
DIH,Giá vốn hàng bán,2024,180174290.0,2025-04-12
DIH,Lợi nhuận gộp về BH và CCDV,2021,7240145.0,2025-04-12
DIH,Lợi nhuận gộp về BH và CCDV,2022,15579696.0,2025-04-12
DIH,Lợi nhuận gộp về BH và CCDV,2023,52893973.0,2025-04-12
DIH,Lợi nhuận gộp về BH và CCDV,2024,41938699.0,2025-04-12
DIH,Lợi nhuận tài chính,2021,-423874.0,2025-04-12
DIH,Lợi nhuận tài chính,2022,-379357.0,2025-04-12
DIH,Lợi nhuận tài chính,2023,-2973523.0,2025-04-12
DIH,Lợi nhuận tài chính,2024,-6051511.0,2025-04-12
DIH,Lợi nhuận khác,2022,-73855.0,2025-04-12
DIH,Tổng lợi nhuận trước thuế,2021,1422188.0,2025-04-12
DIH,Tổng lợi nhuận trước thuế,2022,7793913.0,2025-04-12
DIH,Tổng lợi nhuận trước thuế,2023,18405135.0,2025-04-12
DIH,Tổng lợi nhuận trước thuế,2024,17230777.0,2025-04-12
DIH,Lợi nhuận sau thuế,2021,1085828.0,2025-04-12
DIH,Lợi nhuận sau thuế,2022,6042477.0,2025-04-12
DIH,Lợi nhuận sau thuế,2023,14083666.0,2025-04-12
DIH,Lợi nhuận sau thuế,2024,13364367.0,2025-04-12
DIH,Lợi nhuận sau thuế của công ty mẹ,2021,1085828.0,2025-04-12
DIH,Lợi nhuận sau thuế của công ty mẹ,2022,6042477.0,2025-04-12
DIH,Lợi nhuận sau thuế của công ty mẹ,2023,14083666.0,2025-04-12
DIH,Lợi nhuận sau thuế của công ty mẹ,2024,13364367.0,2025-04-12
DIH,Tổng tài sản lưu động ngắn hạn,2021,876200212.0,2025-04-12
DIH,Tổng tài sản lưu động ngắn hạn,2022,913717975.0,2025-04-12
DIH,Tổng tài sản lưu động ngắn hạn,2023,771105041.0,2025-04-12
DIH,Tổng tài sản lưu động ngắn hạn,2024,617985457.0,2025-04-12
DIH,Tổng tài sản,2021,883836390.0,2025-04-12
DIH,Tổng tài sản,2022,919906727.0,2025-04-12
DIH,Tổng tài sản,2023,776024782.0,2025-04-12
DIH,Tổng tài sản,2024,622851514.0,2025-04-12
DIH,Nợ ngắn hạn,2021,764166854.0,2025-04-12
DIH,Nợ ngắn hạn,2022,782374323.0,2025-04-12
DIH,Nợ ngắn hạn,2023,375192316.0,2025-04-12
DIH,Nợ ngắn hạn,2024,459674253.0,2025-04-12
DIH,Tổng nợ,2021,793276854.0,2025-04-12
DIH,Tổng nợ,2022,824004323.0,2025-04-12
DIH,Tổng nợ,2023,670189116.0,2025-04-12
DIH,Tổng nợ,2024,502994753.0,2025-04-12
DIH,Vốn chủ sở hữu,2021,90559536.0,2025-04-12
DIH,Vốn chủ sở hữu,2022,95902404.0,2025-04-12
DIH,Vốn chủ sở hữu,2023,105835666.0,2025-04-12
DIH,Vốn chủ sở hữu,2024,119856761.0,2025-04-12
