symbol,metric,year,value,crawled_date
DP3,Doanh thu bán hàng và CCDV,2021,394473551.0,2025-04-12
DP3,Doanh thu bán hàng và CCDV,2022,503993842.0,2025-04-12
DP3,Doanh thu bán hàng và CCDV,2023,418230695.0,2025-04-12
DP3,Doanh thu bán hàng và CCDV,2024,422590078.0,2025-04-12
DP3,Giá vốn hàng bán,2021,118993423.0,2025-04-12
DP3,Giá vốn hàng bán,2022,148527865.0,2025-04-12
DP3,Giá vốn hàng bán,2023,128228010.0,2025-04-12
DP3,Giá vốn hàng bán,2024,141431610.0,2025-04-12
DP3,Lợi nhuận gộp về BH và CCDV,2021,262083506.0,2025-04-12
DP3,Lợi nhuận gộp về BH và CCDV,2022,336538186.0,2025-04-12
DP3,Lợi nhuận gộp về BH và CCDV,2023,281502814.0,2025-04-12
DP3,Lợi nhuận gộp về BH và CCDV,2024,276053828.0,2025-04-12
DP3,Lợi nhuận tài chính,2021,5920139.0,2025-04-12
DP3,Lợi nhuận tài chính,2022,8575049.0,2025-04-12
DP3,Lợi nhuận tài chính,2023,19756252.0,2025-04-12
DP3,Lợi nhuận tài chính,2024,15167598.0,2025-04-12
DP3,Lợi nhuận khác,2021,125434.0,2025-04-12
DP3,Lợi nhuận khác,2022,93803.0,2025-04-12
DP3,Lợi nhuận khác,2023,362447.0,2025-04-12
DP3,Lợi nhuận khác,2024,65685.0,2025-04-12
DP3,Tổng lợi nhuận trước thuế,2021,116488018.0,2025-04-12
DP3,Tổng lợi nhuận trước thuế,2022,136489681.0,2025-04-12
DP3,Tổng lợi nhuận trước thuế,2023,157003258.0,2025-04-12
DP3,Tổng lợi nhuận trước thuế,2024,151915020.0,2025-04-12
DP3,Lợi nhuận sau thuế,2021,92927043.0,2025-04-12
DP3,Lợi nhuận sau thuế,2022,108824211.0,2025-04-12
DP3,Lợi nhuận sau thuế,2023,125263371.0,2025-04-12
DP3,Lợi nhuận sau thuế,2024,121171579.0,2025-04-12
DP3,Lợi nhuận sau thuế của công ty mẹ,2021,92927043.0,2025-04-12
DP3,Lợi nhuận sau thuế của công ty mẹ,2022,108824211.0,2025-04-12
DP3,Lợi nhuận sau thuế của công ty mẹ,2023,125263371.0,2025-04-12
DP3,Lợi nhuận sau thuế của công ty mẹ,2024,121171579.0,2025-04-12
DP3,Tổng tài sản lưu động ngắn hạn,2021,253724662.0,2025-04-12
DP3,Tổng tài sản lưu động ngắn hạn,2022,310185806.0,2025-04-12
DP3,Tổng tài sản lưu động ngắn hạn,2023,383751633.0,2025-04-12
DP3,Tổng tài sản lưu động ngắn hạn,2024,433326056.0,2025-04-12
DP3,Tổng tài sản,2021,443792008.0,2025-04-12
DP3,Tổng tài sản,2022,507867923.0,2025-04-12
DP3,Tổng tài sản,2023,570626473.0,2025-04-12
DP3,Tổng tài sản,2024,607776711.0,2025-04-12
DP3,Nợ ngắn hạn,2021,78919942.0,2025-04-12
DP3,Nợ ngắn hạn,2022,90417999.0,2025-04-12
DP3,Nợ ngắn hạn,2023,101179389.0,2025-04-12
DP3,Nợ ngắn hạn,2024,88896015.0,2025-04-12
DP3,Tổng nợ,2021,78919942.0,2025-04-12
DP3,Tổng nợ,2022,90417999.0,2025-04-12
DP3,Tổng nợ,2023,102154389.0,2025-04-12
DP3,Tổng nợ,2024,88896015.0,2025-04-12
DP3,Vốn chủ sở hữu,2021,364872066.0,2025-04-12
DP3,Vốn chủ sở hữu,2022,417449924.0,2025-04-12
DP3,Vốn chủ sở hữu,2023,468472084.0,2025-04-12
DP3,Vốn chủ sở hữu,2024,518880695.0,2025-04-12
