symbol,metric,year,value,crawled_date
DS3,Doanh thu bán hàng và CCDV,2021,42563421.0,2025-04-12
DS3,Doanh thu bán hàng và CCDV,2022,3726741.0,2025-04-12
DS3,Doanh thu bán hàng và CCDV,2023,31956928.0,2025-04-12
DS3,Doanh thu bán hàng và CCDV,2024,51242864.0,2025-04-12
DS3,Giá vốn hàng bán,2021,27411249.0,2025-04-12
DS3,Giá vốn hàng bán,2022,4925288.0,2025-04-12
DS3,Giá vốn hàng bán,2023,29708498.0,2025-04-12
DS3,Giá vốn hàng bán,2024,36627819.0,2025-04-12
DS3,Lợi nhuận gộp về BH và CCDV,2021,15152172.0,2025-04-12
DS3,Lợi nhuận gộp về BH và CCDV,2022,-1198548.0,2025-04-12
DS3,Lợi nhuận gộp về BH và CCDV,2023,-64737.0,2025-04-12
DS3,Lợi nhuận gộp về BH và CCDV,2024,14615045.0,2025-04-12
DS3,Lợi nhuận tài chính,2021,1620926.0,2025-04-12
DS3,Lợi nhuận tài chính,2022,-1348074.0,2025-04-12
DS3,Lợi nhuận tài chính,2023,6172654.0,2025-04-12
DS3,Lợi nhuận tài chính,2024,-1675168.0,2025-04-12
DS3,Lợi nhuận khác,2021,2133020.0,2025-04-12
DS3,Lợi nhuận khác,2022,-964589.0,2025-04-12
DS3,Lợi nhuận khác,2023,801547.0,2025-04-12
DS3,Lợi nhuận khác,2024,135410.0,2025-04-12
DS3,Tổng lợi nhuận trước thuế,2021,9175156.0,2025-04-12
DS3,Tổng lợi nhuận trước thuế,2022,-36335036.0,2025-04-12
DS3,Tổng lợi nhuận trước thuế,2023,2828730.0,2025-04-12
DS3,Tổng lợi nhuận trước thuế,2024,8826670.0,2025-04-12
DS3,Lợi nhuận sau thuế,2021,7703157.0,2025-04-12
DS3,Lợi nhuận sau thuế,2022,-36335036.0,2025-04-12
DS3,Lợi nhuận sau thuế,2023,2828730.0,2025-04-12
DS3,Lợi nhuận sau thuế,2024,8826670.0,2025-04-12
DS3,Lợi nhuận sau thuế của công ty mẹ,2021,7703157.0,2025-04-12
DS3,Lợi nhuận sau thuế của công ty mẹ,2022,-36335036.0,2025-04-12
DS3,Lợi nhuận sau thuế của công ty mẹ,2023,2828730.0,2025-04-12
DS3,Lợi nhuận sau thuế của công ty mẹ,2024,8826670.0,2025-04-12
DS3,Tổng tài sản lưu động ngắn hạn,2021,67761970.0,2025-04-12
DS3,Tổng tài sản lưu động ngắn hạn,2022,26710890.0,2025-04-12
DS3,Tổng tài sản lưu động ngắn hạn,2023,48212246.0,2025-04-12
DS3,Tổng tài sản lưu động ngắn hạn,2024,40828087.0,2025-04-12
DS3,Tổng tài sản,2021,154296360.0,2025-04-12
DS3,Tổng tài sản,2022,105661172.0,2025-04-12
DS3,Tổng tài sản,2023,136360825.0,2025-04-12
DS3,Tổng tài sản,2024,156372748.0,2025-04-12
DS3,Nợ ngắn hạn,2021,24088403.0,2025-04-12
DS3,Nợ ngắn hạn,2022,13979751.0,2025-04-12
DS3,Nợ ngắn hạn,2023,41654624.0,2025-04-12
DS3,Nợ ngắn hạn,2024,22606129.0,2025-04-12
DS3,Tổng nợ,2021,37733853.0,2025-04-12
DS3,Tổng nợ,2022,25783701.0,2025-04-12
DS3,Tổng nợ,2023,53654624.0,2025-04-12
DS3,Tổng nợ,2024,64839877.0,2025-04-12
DS3,Vốn chủ sở hữu,2021,116562507.0,2025-04-12
DS3,Vốn chủ sở hữu,2022,79877471.0,2025-04-12
DS3,Vốn chủ sở hữu,2023,82706201.0,2025-04-12
DS3,Vốn chủ sở hữu,2024,91532871.0,2025-04-12
