symbol,metric,year,value,crawled_date
DSD,Doanh thu bán hàng và CCDV,2021,17398177.0,2025-04-12
DSD,Doanh thu bán hàng và CCDV,2022,164075162.0,2025-04-12
DSD,Doanh thu bán hàng và CCDV,2023,172181204.0,2025-04-12
DSD,Doanh thu bán hàng và CCDV,2024,167972870.0,2025-04-12
DSD,Giá vốn hàng bán,2021,28712477.0,2025-04-12
DSD,Giá vốn hàng bán,2022,97259863.0,2025-04-12
DSD,Giá vốn hàng bán,2023,105330961.0,2025-04-12
DSD,Giá vốn hàng bán,2024,112144764.0,2025-04-12
DSD,Lợi nhuận gộp về BH và CCDV,2021,-11314300.0,2025-04-12
DSD,Lợi nhuận gộp về BH và CCDV,2022,66815299.0,2025-04-12
DSD,Lợi nhuận gộp về BH và CCDV,2023,66850243.0,2025-04-12
DSD,Lợi nhuận gộp về BH và CCDV,2024,55828106.0,2025-04-12
DSD,Lợi nhuận tài chính,2021,-26088181.0,2025-04-12
DSD,Lợi nhuận tài chính,2022,-27803134.0,2025-04-12
DSD,Lợi nhuận tài chính,2023,-27162600.0,2025-04-12
DSD,Lợi nhuận tài chính,2024,-17898533.0,2025-04-12
DSD,Lợi nhuận khác,2021,-26867563.0,2025-04-12
DSD,Lợi nhuận khác,2022,551134.0,2025-04-12
DSD,Lợi nhuận khác,2023,-479248.0,2025-04-12
DSD,Lợi nhuận khác,2024,102768.0,2025-04-12
DSD,Tổng lợi nhuận trước thuế,2021,-72539922.0,2025-04-12
DSD,Tổng lợi nhuận trước thuế,2022,20987589.0,2025-04-12
DSD,Tổng lợi nhuận trước thuế,2023,11365734.0,2025-04-12
DSD,Tổng lợi nhuận trước thuế,2024,11874041.0,2025-04-12
DSD,Lợi nhuận sau thuế,2021,-72539922.0,2025-04-12
DSD,Lợi nhuận sau thuế,2022,20412226.0,2025-04-12
DSD,Lợi nhuận sau thuế,2023,10130858.0,2025-04-12
DSD,Lợi nhuận sau thuế,2024,10442588.0,2025-04-12
DSD,Lợi nhuận sau thuế của công ty mẹ,2021,-72539922.0,2025-04-12
DSD,Lợi nhuận sau thuế của công ty mẹ,2022,20412226.0,2025-04-12
DSD,Lợi nhuận sau thuế của công ty mẹ,2023,10130858.0,2025-04-12
DSD,Lợi nhuận sau thuế của công ty mẹ,2024,10442588.0,2025-04-12
DSD,Tổng tài sản lưu động ngắn hạn,2021,12347888.0,2025-04-12
DSD,Tổng tài sản lưu động ngắn hạn,2022,21738101.0,2025-04-12
DSD,Tổng tài sản lưu động ngắn hạn,2023,19462655.0,2025-04-12
DSD,Tổng tài sản lưu động ngắn hạn,2024,43487380.0,2025-04-12
DSD,Tổng tài sản,2021,573155827.0,2025-04-12
DSD,Tổng tài sản,2022,595490652.0,2025-04-12
DSD,Tổng tài sản,2023,635041442.0,2025-04-12
DSD,Tổng tài sản,2024,731015921.0,2025-04-12
DSD,Nợ ngắn hạn,2021,113924251.0,2025-04-12
DSD,Nợ ngắn hạn,2022,124007292.0,2025-04-12
DSD,Nợ ngắn hạn,2023,74097344.0,2025-04-12
DSD,Nợ ngắn hạn,2024,44738009.0,2025-04-12
DSD,Tổng nợ,2021,349300270.0,2025-04-12
DSD,Tổng nợ,2022,351222869.0,2025-04-12
DSD,Tổng nợ,2023,270862801.0,2025-04-12
DSD,Tổng nợ,2024,146581293.0,2025-04-12
DSD,Vốn chủ sở hữu,2021,223855557.0,2025-04-12
DSD,Vốn chủ sở hữu,2022,244267783.0,2025-04-12
DSD,Vốn chủ sở hữu,2023,364178641.0,2025-04-12
DSD,Vốn chủ sở hữu,2024,584434629.0,2025-04-12
