symbol,metric,year,value,crawled_date
DTD,Doanh thu bán hàng và CCDV,2021,693305059.0,2025-04-12
DTD,Doanh thu bán hàng và CCDV,2022,582012928.0,2025-04-12
DTD,Doanh thu bán hàng và CCDV,2023,785048401.0,2025-04-12
DTD,Doanh thu bán hàng và CCDV,2024,494682620.0,2025-04-12
DTD,Giá vốn hàng bán,2021,397611149.0,2025-04-12
DTD,Giá vốn hàng bán,2022,343834371.0,2025-04-12
DTD,Giá vốn hàng bán,2023,357763081.0,2025-04-12
DTD,Giá vốn hàng bán,2024,276009709.0,2025-04-12
DTD,Lợi nhuận gộp về BH và CCDV,2021,295693910.0,2025-04-12
DTD,Lợi nhuận gộp về BH và CCDV,2022,238100598.0,2025-04-12
DTD,Lợi nhuận gộp về BH và CCDV,2023,427285320.0,2025-04-12
DTD,Lợi nhuận gộp về BH và CCDV,2024,218672911.0,2025-04-12
DTD,Lợi nhuận tài chính,2021,5548222.0,2025-04-12
DTD,Lợi nhuận tài chính,2022,2817551.0,2025-04-12
DTD,Lợi nhuận tài chính,2023,31759386.0,2025-04-12
DTD,Lợi nhuận tài chính,2024,30451229.0,2025-04-12
DTD,Lợi nhuận khác,2021,1221061.0,2025-04-12
DTD,Lợi nhuận khác,2022,-854319.0,2025-04-12
DTD,Lợi nhuận khác,2023,-563028.0,2025-04-12
DTD,Lợi nhuận khác,2024,-609439.0,2025-04-12
DTD,Tổng lợi nhuận trước thuế,2021,232906810.0,2025-04-12
DTD,Tổng lợi nhuận trước thuế,2022,193530191.0,2025-04-12
DTD,Tổng lợi nhuận trước thuế,2023,411305804.0,2025-04-12
DTD,Tổng lợi nhuận trước thuế,2024,219779092.0,2025-04-12
DTD,Lợi nhuận sau thuế,2021,185779090.0,2025-04-12
DTD,Lợi nhuận sau thuế,2022,154430782.0,2025-04-12
DTD,Lợi nhuận sau thuế,2023,323868504.0,2025-04-12
DTD,Lợi nhuận sau thuế,2024,176202190.0,2025-04-12
DTD,Lợi nhuận sau thuế của công ty mẹ,2021,119193005.0,2025-04-12
DTD,Lợi nhuận sau thuế của công ty mẹ,2022,106076387.0,2025-04-12
DTD,Lợi nhuận sau thuế của công ty mẹ,2023,217189153.0,2025-04-12
DTD,Lợi nhuận sau thuế của công ty mẹ,2024,120416761.0,2025-04-12
DTD,Tổng tài sản lưu động ngắn hạn,2021,519472160.0,2025-04-12
DTD,Tổng tài sản lưu động ngắn hạn,2022,624623025.0,2025-04-12
DTD,Tổng tài sản lưu động ngắn hạn,2023,857558880.0,2025-04-12
DTD,Tổng tài sản lưu động ngắn hạn,2024,876169211.0,2025-04-12
DTD,Tổng tài sản,2021,1943872087.0,2025-04-12
DTD,Tổng tài sản,2022,2035745244.0,2025-04-12
DTD,Tổng tài sản,2023,2185086640.0,2025-04-12
DTD,Tổng tài sản,2024,2213793417.0,2025-04-12
DTD,Nợ ngắn hạn,2021,474536303.0,2025-04-12
DTD,Nợ ngắn hạn,2022,469533188.0,2025-04-12
DTD,Nợ ngắn hạn,2023,309890749.0,2025-04-12
DTD,Nợ ngắn hạn,2024,253561841.0,2025-04-12
DTD,Tổng nợ,2021,1158213251.0,2025-04-12
DTD,Tổng nợ,2022,1082031464.0,2025-04-12
DTD,Tổng nợ,2023,952144487.0,2025-04-12
DTD,Tổng nợ,2024,892997958.0,2025-04-12
DTD,Vốn chủ sở hữu,2021,785658836.0,2025-04-12
DTD,Vốn chủ sở hữu,2022,953713780.0,2025-04-12
DTD,Vốn chủ sở hữu,2023,1232942154.0,2025-04-12
DTD,Vốn chủ sở hữu,2024,1320795459.0,2025-04-12
