symbol,metric,year,value,crawled_date
DTP,Doanh thu bán hàng và CCDV,2021,579814095.0,2025-04-12
DTP,Doanh thu bán hàng và CCDV,2022,792299100.0,2025-04-12
DTP,Doanh thu bán hàng và CCDV,2023,1115576290.0,2025-04-12
DTP,Doanh thu bán hàng và CCDV,2024,1295750110.0,2025-04-12
DTP,Giá vốn hàng bán,2021,263402037.0,2025-04-12
DTP,Giá vốn hàng bán,2022,380474309.0,2025-04-12
DTP,Giá vốn hàng bán,2023,501640316.0,2025-04-12
DTP,Giá vốn hàng bán,2024,612508303.0,2025-04-12
DTP,Lợi nhuận gộp về BH và CCDV,2021,312774454.0,2025-04-12
DTP,Lợi nhuận gộp về BH và CCDV,2022,407572124.0,2025-04-12
DTP,Lợi nhuận gộp về BH và CCDV,2023,611844883.0,2025-04-12
DTP,Lợi nhuận gộp về BH và CCDV,2024,680743987.0,2025-04-12
DTP,Lợi nhuận tài chính,2021,-8140863.0,2025-04-12
DTP,Lợi nhuận tài chính,2022,-7753947.0,2025-04-12
DTP,Lợi nhuận tài chính,2023,-8904154.0,2025-04-12
DTP,Lợi nhuận tài chính,2024,-4599051.0,2025-04-12
DTP,Lợi nhuận khác,2021,41654.0,2025-04-12
DTP,Lợi nhuận khác,2022,-661937.0,2025-04-12
DTP,Lợi nhuận khác,2023,-1430139.0,2025-04-12
DTP,Lợi nhuận khác,2024,-53151.0,2025-04-12
DTP,Tổng lợi nhuận trước thuế,2021,118944712.0,2025-04-12
DTP,Tổng lợi nhuận trước thuế,2022,131674006.0,2025-04-12
DTP,Tổng lợi nhuận trước thuế,2023,231338131.0,2025-04-12
DTP,Tổng lợi nhuận trước thuế,2024,263999038.0,2025-04-12
DTP,Lợi nhuận sau thuế,2021,108263220.0,2025-04-12
DTP,Lợi nhuận sau thuế,2022,124820155.0,2025-04-12
DTP,Lợi nhuận sau thuế,2023,216896216.0,2025-04-12
DTP,Lợi nhuận sau thuế,2024,237232160.0,2025-04-12
DTP,Lợi nhuận sau thuế của công ty mẹ,2021,108263220.0,2025-04-12
DTP,Lợi nhuận sau thuế của công ty mẹ,2022,124820155.0,2025-04-12
DTP,Lợi nhuận sau thuế của công ty mẹ,2023,216896216.0,2025-04-12
DTP,Lợi nhuận sau thuế của công ty mẹ,2024,237232160.0,2025-04-12
DTP,Tổng tài sản lưu động ngắn hạn,2021,363439928.0,2025-04-12
DTP,Tổng tài sản lưu động ngắn hạn,2022,512449589.0,2025-04-12
DTP,Tổng tài sản lưu động ngắn hạn,2023,705633103.0,2025-04-12
DTP,Tổng tài sản lưu động ngắn hạn,2024,831625332.0,2025-04-12
DTP,Tổng tài sản,2021,614772923.0,2025-04-12
DTP,Tổng tài sản,2022,894923438.0,2025-04-12
DTP,Tổng tài sản,2023,1082334710.0,2025-04-12
DTP,Tổng tài sản,2024,1282429411.0,2025-04-12
DTP,Nợ ngắn hạn,2021,137311444.0,2025-04-12
DTP,Nợ ngắn hạn,2022,227297126.0,2025-04-12
DTP,Nợ ngắn hạn,2023,242968982.0,2025-04-12
DTP,Nợ ngắn hạn,2024,276833028.0,2025-04-12
DTP,Tổng nợ,2021,164166732.0,2025-04-12
DTP,Tổng nợ,2022,296962217.0,2025-04-12
DTP,Tổng nợ,2023,291561153.0,2025-04-12
DTP,Tổng nợ,2024,307884788.0,2025-04-12
DTP,Vốn chủ sở hữu,2021,450606190.0,2025-04-12
DTP,Vốn chủ sở hữu,2022,597961220.0,2025-04-12
DTP,Vốn chủ sở hữu,2023,790773557.0,2025-04-12
DTP,Vốn chủ sở hữu,2024,974544623.0,2025-04-12
