symbol,metric,year,value,crawled_date
DXV,Doanh thu bán hàng và CCDV,2022,226103827.0,2025-04-12
DXV,Doanh thu bán hàng và CCDV,2023,173907942.0,2025-04-12
DXV,Doanh thu bán hàng và CCDV,2023,173907942.0,2025-04-12
DXV,Doanh thu bán hàng và CCDV,2024,182200202.0,2025-04-12
DXV,Giá vốn hàng bán,2022,208282079.0,2025-04-12
DXV,Giá vốn hàng bán,2023,160898861.0,2025-04-12
DXV,Giá vốn hàng bán,2023,160898861.0,2025-04-12
DXV,Giá vốn hàng bán,2024,169588524.0,2025-04-12
DXV,Lợi nhuận gộp về BH và CCDV,2022,14854907.0,2025-04-12
DXV,Lợi nhuận gộp về BH và CCDV,2023,8735086.0,2025-04-12
DXV,Lợi nhuận gộp về BH và CCDV,2023,8735086.0,2025-04-12
DXV,Lợi nhuận gộp về BH và CCDV,2024,8036669.0,2025-04-12
DXV,Lợi nhuận tài chính,2022,895185.0,2025-04-12
DXV,Lợi nhuận tài chính,2023,969382.0,2025-04-12
DXV,Lợi nhuận tài chính,2023,969382.0,2025-04-12
DXV,Lợi nhuận tài chính,2024,1241665.0,2025-04-12
DXV,Lợi nhuận khác,2022,977159.0,2025-04-12
DXV,Lợi nhuận khác,2023,137501.0,2025-04-12
DXV,Lợi nhuận khác,2023,137501.0,2025-04-12
DXV,Lợi nhuận khác,2024,847137.0,2025-04-12
DXV,Tổng lợi nhuận trước thuế,2022,195112.0,2025-04-12
DXV,Tổng lợi nhuận trước thuế,2023,-8331312.0,2025-04-12
DXV,Tổng lợi nhuận trước thuế,2023,-8331312.0,2025-04-12
DXV,Tổng lợi nhuận trước thuế,2024,-5661351.0,2025-04-12
DXV,Lợi nhuận sau thuế,2022,195112.0,2025-04-12
DXV,Lợi nhuận sau thuế,2023,-8331312.0,2025-04-12
DXV,Lợi nhuận sau thuế,2023,-8331312.0,2025-04-12
DXV,Lợi nhuận sau thuế,2024,-5661351.0,2025-04-12
DXV,Lợi nhuận sau thuế của công ty mẹ,2022,195112.0,2025-04-12
DXV,Lợi nhuận sau thuế của công ty mẹ,2023,-8331312.0,2025-04-12
DXV,Lợi nhuận sau thuế của công ty mẹ,2023,-8331312.0,2025-04-12
DXV,Lợi nhuận sau thuế của công ty mẹ,2024,-5661351.0,2025-04-12
DXV,Tổng tài sản lưu động ngắn hạn,2022,127497270.0,2025-04-12
DXV,Tổng tài sản lưu động ngắn hạn,2023,122188077.0,2025-04-12
DXV,Tổng tài sản lưu động ngắn hạn,2023,122188077.0,2025-04-12
DXV,Tổng tài sản lưu động ngắn hạn,2024,115085519.0,2025-04-12
DXV,Tổng tài sản,2022,137189950.0,2025-04-12
DXV,Tổng tài sản,2023,131009664.0,2025-04-12
DXV,Tổng tài sản,2023,131009664.0,2025-04-12
DXV,Tổng tài sản,2024,124316674.0,2025-04-12
DXV,Nợ ngắn hạn,2022,26432763.0,2025-04-12
DXV,Nợ ngắn hạn,2023,28583790.0,2025-04-12
DXV,Nợ ngắn hạn,2023,28583790.0,2025-04-12
DXV,Nợ ngắn hạn,2024,27552151.0,2025-04-12
DXV,Tổng nợ,2022,26432763.0,2025-04-12
DXV,Tổng nợ,2023,28583790.0,2025-04-12
DXV,Tổng nợ,2023,28583790.0,2025-04-12
DXV,Tổng nợ,2024,27552151.0,2025-04-12
DXV,Vốn chủ sở hữu,2022,110757186.0,2025-04-12
DXV,Vốn chủ sở hữu,2023,102425874.0,2025-04-12
DXV,Vốn chủ sở hữu,2023,102425874.0,2025-04-12
DXV,Vốn chủ sở hữu,2024,96764523.0,2025-04-12
