symbol,metric,year,value,crawled_date
EID,Doanh thu bán hàng và CCDV,2021,813212428.0,2025-04-12
EID,Doanh thu bán hàng và CCDV,2022,1029507265.0,2025-04-12
EID,Doanh thu bán hàng và CCDV,2023,1060704837.0,2025-04-12
EID,Doanh thu bán hàng và CCDV,2024,1139938529.0,2025-04-12
EID,Giá vốn hàng bán,2021,562296680.0,2025-04-12
EID,Giá vốn hàng bán,2022,732414523.0,2025-04-12
EID,Giá vốn hàng bán,2023,762984849.0,2025-04-12
EID,Giá vốn hàng bán,2024,838613803.0,2025-04-12
EID,Lợi nhuận gộp về BH và CCDV,2021,216532818.0,2025-04-12
EID,Lợi nhuận gộp về BH và CCDV,2022,281806587.0,2025-04-12
EID,Lợi nhuận gộp về BH và CCDV,2023,289691483.0,2025-04-12
EID,Lợi nhuận gộp về BH và CCDV,2024,293030510.0,2025-04-12
EID,Lợi nhuận tài chính,2021,144305.0,2025-04-12
EID,Lợi nhuận tài chính,2022,2711801.0,2025-04-12
EID,Lợi nhuận tài chính,2023,10199715.0,2025-04-12
EID,Lợi nhuận tài chính,2024,10907727.0,2025-04-12
EID,Lợi nhuận khác,2021,988621.0,2025-04-12
EID,Lợi nhuận khác,2022,3877174.0,2025-04-12
EID,Lợi nhuận khác,2023,170882.0,2025-04-12
EID,Lợi nhuận khác,2024,62999.0,2025-04-12
EID,Tổng lợi nhuận trước thuế,2021,66132852.0,2025-04-12
EID,Tổng lợi nhuận trước thuế,2022,93174926.0,2025-04-12
EID,Tổng lợi nhuận trước thuế,2023,89923746.0,2025-04-12
EID,Tổng lợi nhuận trước thuế,2024,96006102.0,2025-04-12
EID,Lợi nhuận sau thuế,2021,49496908.0,2025-04-12
EID,Lợi nhuận sau thuế,2022,74724839.0,2025-04-12
EID,Lợi nhuận sau thuế,2023,71852272.0,2025-04-12
EID,Lợi nhuận sau thuế,2024,75683767.0,2025-04-12
EID,Lợi nhuận sau thuế của công ty mẹ,2021,49313534.0,2025-04-12
EID,Lợi nhuận sau thuế của công ty mẹ,2022,74451494.0,2025-04-12
EID,Lợi nhuận sau thuế của công ty mẹ,2023,71553636.0,2025-04-12
EID,Lợi nhuận sau thuế của công ty mẹ,2024,75127790.0,2025-04-12
EID,Tổng tài sản lưu động ngắn hạn,2021,427158159.0,2025-04-12
EID,Tổng tài sản lưu động ngắn hạn,2022,463615167.0,2025-04-12
EID,Tổng tài sản lưu động ngắn hạn,2023,563280893.0,2025-04-12
EID,Tổng tài sản lưu động ngắn hạn,2024,597231337.0,2025-04-12
EID,Tổng tài sản,2021,505398961.0,2025-04-12
EID,Tổng tài sản,2022,543277181.0,2025-04-12
EID,Tổng tài sản,2023,636421904.0,2025-04-12
EID,Tổng tài sản,2024,668414976.0,2025-04-12
EID,Nợ ngắn hạn,2021,171387912.0,2025-04-12
EID,Nợ ngắn hạn,2022,164943710.0,2025-04-12
EID,Nợ ngắn hạn,2023,218522508.0,2025-04-12
EID,Nợ ngắn hạn,2024,206609094.0,2025-04-12
EID,Tổng nợ,2021,173523943.0,2025-04-12
EID,Tổng nợ,2022,166677629.0,2025-04-12
EID,Tổng nợ,2023,219802960.0,2025-04-12
EID,Tổng nợ,2024,207905773.0,2025-04-12
EID,Vốn chủ sở hữu,2021,331875018.0,2025-04-12
EID,Vốn chủ sở hữu,2022,376599552.0,2025-04-12
EID,Vốn chủ sở hữu,2023,416618945.0,2025-04-12
EID,Vốn chủ sở hữu,2024,460509203.0,2025-04-12
