symbol,metric,year,value,crawled_date
EIN,Doanh thu bán hàng và CCDV,2021,9395724.0,2025-04-12
EIN,Doanh thu bán hàng và CCDV,2022,27454919.0,2025-04-12
EIN,Doanh thu bán hàng và CCDV,2023,27090455.0,2025-04-12
EIN,Doanh thu bán hàng và CCDV,2024,40592642.0,2025-04-12
EIN,Giá vốn hàng bán,2021,11130381.0,2025-04-12
EIN,Giá vốn hàng bán,2022,28566116.0,2025-04-12
EIN,Giá vốn hàng bán,2023,23660539.0,2025-04-12
EIN,Giá vốn hàng bán,2024,32473935.0,2025-04-12
EIN,Lợi nhuận gộp về BH và CCDV,2021,-2115762.0,2025-04-12
EIN,Lợi nhuận gộp về BH và CCDV,2022,-1111197.0,2025-04-12
EIN,Lợi nhuận gộp về BH và CCDV,2023,3429916.0,2025-04-12
EIN,Lợi nhuận gộp về BH và CCDV,2024,8118707.0,2025-04-12
EIN,Lợi nhuận tài chính,2021,17644782.0,2025-04-12
EIN,Lợi nhuận tài chính,2022,7303574.0,2025-04-12
EIN,Lợi nhuận tài chính,2023,-3209518.0,2025-04-12
EIN,Lợi nhuận tài chính,2024,-12815227.0,2025-04-12
EIN,Lợi nhuận khác,2021,-36346.0,2025-04-12
EIN,Lợi nhuận khác,2022,-1502431.0,2025-04-12
EIN,Lợi nhuận khác,2023,-114640.0,2025-04-12
EIN,Lợi nhuận khác,2024,-260973.0,2025-04-12
EIN,Tổng lợi nhuận trước thuế,2021,1772649.0,2025-04-12
EIN,Tổng lợi nhuận trước thuế,2022,-48375990.0,2025-04-12
EIN,Tổng lợi nhuận trước thuế,2023,-44177665.0,2025-04-12
EIN,Tổng lợi nhuận trước thuế,2024,-31935934.0,2025-04-12
EIN,Lợi nhuận sau thuế,2021,956816.0,2025-04-12
EIN,Lợi nhuận sau thuế,2022,-48375990.0,2025-04-12
EIN,Lợi nhuận sau thuế,2023,-44466098.0,2025-04-12
EIN,Lợi nhuận sau thuế,2024,-31935934.0,2025-04-12
EIN,Lợi nhuận sau thuế của công ty mẹ,2021,956816.0,2025-04-12
EIN,Lợi nhuận sau thuế của công ty mẹ,2022,-48375990.0,2025-04-12
EIN,Lợi nhuận sau thuế của công ty mẹ,2023,-44466098.0,2025-04-12
EIN,Lợi nhuận sau thuế của công ty mẹ,2024,-31935934.0,2025-04-12
EIN,Tổng tài sản lưu động ngắn hạn,2021,1237483368.0,2025-04-12
EIN,Tổng tài sản lưu động ngắn hạn,2022,967349500.0,2025-04-12
EIN,Tổng tài sản lưu động ngắn hạn,2023,926668171.0,2025-04-12
EIN,Tổng tài sản lưu động ngắn hạn,2024,899511362.0,2025-04-12
EIN,Tổng tài sản,2021,1545634289.0,2025-04-12
EIN,Tổng tài sản,2022,1269551488.0,2025-04-12
EIN,Tổng tài sản,2023,1226794006.0,2025-04-12
EIN,Tổng tài sản,2024,1197632054.0,2025-04-12
EIN,Nợ ngắn hạn,2021,977083516.0,2025-04-12
EIN,Nợ ngắn hạn,2022,752093968.0,2025-04-12
EIN,Nợ ngắn hạn,2023,752136853.0,2025-04-12
EIN,Nợ ngắn hạn,2024,754910835.0,2025-04-12
EIN,Tổng nợ,2021,1052811034.0,2025-04-12
EIN,Tổng nợ,2022,823614396.0,2025-04-12
EIN,Tổng nợ,2023,823657281.0,2025-04-12
EIN,Tổng nợ,2024,826431263.0,2025-04-12
EIN,Vốn chủ sở hữu,2021,492823255.0,2025-04-12
EIN,Vốn chủ sở hữu,2022,445937092.0,2025-04-12
EIN,Vốn chủ sở hữu,2023,403136725.0,2025-04-12
EIN,Vốn chủ sở hữu,2024,371200791.0,2025-04-12
